,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
3486,Pair41_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3487,Pair42_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3488,Pair43_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3689,Pair25_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3691,Pair27_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3696,Pair32_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3698,Pair35_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3703,Pair41_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3705,Pair44_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3707,Pair46_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3708,Pair47_5,ENST00000562593.5,100.0,16,1,16,3158,3143,0.38,minus,ENST00000562593.5,GALNS,True,True
3711,Pair75_3,ENST00000562593.5,100.0,16,5,20,3143,3158,0.38,plus,ENST00000562593.5,GALNS,True,True
3712,Pair76_3,ENST00000562593.5,100.0,16,5,20,3143,3158,0.38,plus,ENST00000562593.5,GALNS,True,True
3713,Pair77_3,ENST00000562593.5,100.0,16,5,20,3143,3158,0.38,plus,ENST00000562593.5,GALNS,True,True
3726,Pair93_3,ENST00000562593.5,100.0,16,5,20,3143,3158,0.38,plus,ENST00000562593.5,GALNS,True,True
3728,Pair25_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3730,Pair27_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3735,Pair32_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3737,Pair35_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3742,Pair41_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3744,Pair44_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3746,Pair46_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3747,Pair47_5,ENST00000303965.9,100.0,16,1,16,6388,6373,0.38,minus,ENST00000303965.9,ARAP2,True,True
3750,Pair75_3,ENST00000303965.9,100.0,16,5,20,6373,6388,0.38,plus,ENST00000303965.9,ARAP2,True,True
3751,Pair76_3,ENST00000303965.9,100.0,16,5,20,6373,6388,0.38,plus,ENST00000303965.9,ARAP2,True,True
3752,Pair77_3,ENST00000303965.9,100.0,16,5,20,6373,6388,0.38,plus,ENST00000303965.9,ARAP2,True,True
3765,Pair93_3,ENST00000303965.9,100.0,16,5,20,6373,6388,0.38,plus,ENST00000303965.9,ARAP2,True,True
3772,Pair30_5,ENST00000437576.2,95.0,20,1,20,101,82,0.38,minus,ENST00000437576.2,TUBB4BP6,True,True
3779,Pair38_5,ENST00000437576.2,95.0,20,1,20,101,82,0.38,minus,ENST00000437576.2,TUBB4BP6,True,True
3795,Pair84_3,ENST00000437576.2,95.0,20,1,20,82,101,0.38,plus,ENST00000437576.2,TUBB4BP6,True,True
3797,Pair86_3,ENST00000437576.2,95.0,20,1,20,82,101,0.38,plus,ENST00000437576.2,TUBB4BP6,True,True
3801,Pair90_3,ENST00000437576.2,95.0,20,1,20,82,101,0.38,plus,ENST00000437576.2,TUBB4BP6,True,True
3973,Pair40_5,ENST00000486743.1,95.0,20,1,20,301,282,0.38,minus,ENST00000486743.1,SLC16A1P1,True,True
3986,Pair50_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3987,Pair51_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3988,Pair52_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3993,Pair56_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3996,Pair58_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
3998,Pair59_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
3999,Pair60_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
4000,Pair61_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
4001,Pair62_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
4002,Pair63_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
4003,Pair64_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
4004,Pair65_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
4005,Pair66_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
4009,Pair69_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
4013,Pair72_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
4014,Pair73_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
4015,Pair74_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
4059,Pair40_5,ENST00000646811.1,95.0,20,1,20,301,282,0.38,minus,ENST00000646811.1,SLC16A1P1,True,True
4072,Pair50_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4073,Pair51_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4074,Pair52_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4079,Pair56_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4082,Pair58_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
4084,Pair59_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
4085,Pair60_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
4086,Pair61_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
4087,Pair62_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4088,Pair63_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4089,Pair64_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
4090,Pair65_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
4091,Pair66_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4095,Pair69_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
4099,Pair72_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
4100,Pair73_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
4101,Pair74_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
5232,Pair30_5,ENST00000599250.1,95.0,20,1,20,495,514,0.38,plus,ENST00000599250.1,SIGLEC7,True,True
5235,Pair38_5,ENST00000599250.1,95.0,20,1,20,495,514,0.38,plus,ENST00000599250.1,SIGLEC7,True,True
5237,Pair84_3,ENST00000599250.1,95.0,20,1,20,514,495,0.38,minus,ENST00000599250.1,SIGLEC7,True,True
5239,Pair86_3,ENST00000599250.1,95.0,20,1,20,514,495,0.38,minus,ENST00000599250.1,SIGLEC7,True,True
5243,Pair90_3,ENST00000599250.1,95.0,20,1,20,514,495,0.38,minus,ENST00000599250.1,SIGLEC7,True,True
5247,Pair30_5,ENST00000600577.1,95.0,20,1,20,567,586,0.38,plus,ENST00000600577.1,SIGLEC7,True,True
5250,Pair38_5,ENST00000600577.1,95.0,20,1,20,567,586,0.38,plus,ENST00000600577.1,SIGLEC7,True,True
5252,Pair84_3,ENST00000600577.1,95.0,20,1,20,586,567,0.38,minus,ENST00000600577.1,SIGLEC7,True,True
5254,Pair86_3,ENST00000600577.1,95.0,20,1,20,586,567,0.38,minus,ENST00000600577.1,SIGLEC7,True,True
5258,Pair90_3,ENST00000600577.1,95.0,20,1,20,586,567,0.38,minus,ENST00000600577.1,SIGLEC7,True,True
5262,Pair30_5,ENST00000536156.5,95.0,20,1,20,664,683,0.38,plus,ENST00000536156.5,SIGLEC7,True,True
5265,Pair38_5,ENST00000536156.5,95.0,20,1,20,664,683,0.38,plus,ENST00000536156.5,SIGLEC7,True,True
5267,Pair84_3,ENST00000536156.5,95.0,20,1,20,683,664,0.38,minus,ENST00000536156.5,SIGLEC7,True,True
5269,Pair86_3,ENST00000536156.5,95.0,20,1,20,683,664,0.38,minus,ENST00000536156.5,SIGLEC7,True,True
5273,Pair90_3,ENST00000536156.5,95.0,20,1,20,683,664,0.38,minus,ENST00000536156.5,SIGLEC7,True,True
5277,Pair30_5,ENST00000305628.7,95.0,20,1,20,1139,1158,0.38,plus,ENST00000305628.7,SIGLEC7,True,True
5280,Pair38_5,ENST00000305628.7,95.0,20,1,20,1139,1158,0.38,plus,ENST00000305628.7,SIGLEC7,True,True
5282,Pair84_3,ENST00000305628.7,95.0,20,1,20,1158,1139,0.38,minus,ENST00000305628.7,SIGLEC7,True,True
5284,Pair86_3,ENST00000305628.7,95.0,20,1,20,1158,1139,0.38,minus,ENST00000305628.7,SIGLEC7,True,True
5288,Pair90_3,ENST00000305628.7,95.0,20,1,20,1158,1139,0.38,minus,ENST00000305628.7,SIGLEC7,True,True
5292,Pair30_5,ENST00000317643.10,95.0,20,1,20,1424,1443,0.38,plus,ENST00000317643.10,SIGLEC7,True,True
5295,Pair38_5,ENST00000317643.10,95.0,20,1,20,1424,1443,0.38,plus,ENST00000317643.10,SIGLEC7,True,True
5297,Pair84_3,ENST00000317643.10,95.0,20,1,20,1443,1424,0.38,minus,ENST00000317643.10,SIGLEC7,True,True
5299,Pair86_3,ENST00000317643.10,95.0,20,1,20,1443,1424,0.38,minus,ENST00000317643.10,SIGLEC7,True,True
5303,Pair90_3,ENST00000317643.10,95.0,20,1,20,1443,1424,0.38,minus,ENST00000317643.10,SIGLEC7,True,True
5541,Pair32_3,ENST00000502456.5,100.0,17,1,17,165,149,0.097,minus,ENST00000502456.5,IFT122,True,True
5542,Pair33_3,ENST00000502456.5,100.0,17,1,17,165,149,0.097,minus,ENST00000502456.5,IFT122,True,True
5543,Pair34_3,ENST00000502456.5,100.0,17,1,17,165,149,0.097,minus,ENST00000502456.5,IFT122,True,True
5544,Pair41_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
5545,Pair42_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
5546,Pair43_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
5547,Pair32_3,ENST00000685189.1,100.0,17,1,17,255,239,0.097,minus,ENST00000685189.1,IFT122,True,True
5548,Pair33_3,ENST00000685189.1,100.0,17,1,17,255,239,0.097,minus,ENST00000685189.1,IFT122,True,True
5549,Pair34_3,ENST00000685189.1,100.0,17,1,17,255,239,0.097,minus,ENST00000685189.1,IFT122,True,True
5550,Pair41_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
5551,Pair42_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
5552,Pair43_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
5553,Pair32_3,ENST00000512220.5,100.0,17,1,17,304,288,0.097,minus,ENST00000512220.5,IFT122,True,True
5554,Pair33_3,ENST00000512220.5,100.0,17,1,17,304,288,0.097,minus,ENST00000512220.5,IFT122,True,True
5555,Pair34_3,ENST00000512220.5,100.0,17,1,17,304,288,0.097,minus,ENST00000512220.5,IFT122,True,True
5556,Pair41_3,ENST00000512220.5,100.0,16,1,16,303,288,0.38,minus,ENST00000512220.5,IFT122,True,True
5557,Pair42_3,ENST00000512220.5,100.0,16,1,16,303,288,0.38,minus,ENST00000512220.5,IFT122,True,True
5558,Pair43_3,ENST00000512220.5,100.0,16,1,16,303,288,0.38,minus,ENST00000512220.5,IFT122,True,True
6237,Pair50_5,ENST00000598660.1,100.0,19,1,19,1454,1436,0.006,minus,ENST00000598660.1,TMEM59L,True,True
6238,Pair53_5,ENST00000598660.1,100.0,19,1,19,1454,1436,0.006,minus,ENST00000598660.1,TMEM59L,True,True
6241,Pair58_5,ENST00000598660.1,100.0,19,1,19,1454,1436,0.006,minus,ENST00000598660.1,TMEM59L,True,True
6242,Pair59_5,ENST00000598660.1,100.0,19,1,19,1454,1436,0.006,minus,ENST00000598660.1,TMEM59L,True,True
6248,Pair69_5,ENST00000598660.1,100.0,18,1,18,1453,1436,0.025,minus,ENST00000598660.1,TMEM59L,True,True
6250,Pair71_5,ENST00000598660.1,100.0,18,1,18,1453,1436,0.025,minus,ENST00000598660.1,TMEM59L,True,True
6254,Pair50_5,ENST00000262817.8,100.0,19,1,19,1359,1341,0.006,minus,ENST00000262817.8,TMEM59L,True,True
6255,Pair53_5,ENST00000262817.8,100.0,19,1,19,1359,1341,0.006,minus,ENST00000262817.8,TMEM59L,True,True
6258,Pair58_5,ENST00000262817.8,100.0,19,1,19,1359,1341,0.006,minus,ENST00000262817.8,TMEM59L,True,True
6259,Pair59_5,ENST00000262817.8,100.0,19,1,19,1359,1341,0.006,minus,ENST00000262817.8,TMEM59L,True,True
6265,Pair69_5,ENST00000262817.8,100.0,18,1,18,1358,1341,0.025,minus,ENST00000262817.8,TMEM59L,True,True
6267,Pair71_5,ENST00000262817.8,100.0,18,1,18,1358,1341,0.025,minus,ENST00000262817.8,TMEM59L,True,True
6271,Pair50_5,ENST00000600490.5,100.0,19,1,19,1455,1437,0.006,minus,ENST00000600490.5,TMEM59L,True,True
6272,Pair53_5,ENST00000600490.5,100.0,19,1,19,1455,1437,0.006,minus,ENST00000600490.5,TMEM59L,True,True
6275,Pair58_5,ENST00000600490.5,100.0,19,1,19,1455,1437,0.006,minus,ENST00000600490.5,TMEM59L,True,True
6276,Pair59_5,ENST00000600490.5,100.0,19,1,19,1455,1437,0.006,minus,ENST00000600490.5,TMEM59L,True,True
