,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
505,Pair1_5,ENST00000467365.1,100.0,16,1,16,808,793,0.23,minus,ENST00000467365.1,FAM135B,True,True
506,Pair2_5,ENST00000467365.1,100.0,16,1,16,808,793,0.23,minus,ENST00000467365.1,FAM135B,True,True
507,Pair3_5,ENST00000467365.1,100.0,16,1,16,808,793,0.23,minus,ENST00000467365.1,FAM135B,True,True
509,Pair1_5,ENST00000276737.10,100.0,16,1,16,3049,3034,0.23,minus,ENST00000276737.10,FAM135B,True,True
510,Pair2_5,ENST00000276737.10,100.0,16,1,16,3049,3034,0.23,minus,ENST00000276737.10,FAM135B,True,True
511,Pair3_5,ENST00000276737.10,100.0,16,1,16,3049,3034,0.23,minus,ENST00000276737.10,FAM135B,True,True
513,Pair1_5,ENST00000482951.6,100.0,16,1,16,3080,3065,0.23,minus,ENST00000482951.6,FAM135B,True,True
514,Pair2_5,ENST00000482951.6,100.0,16,1,16,3080,3065,0.23,minus,ENST00000482951.6,FAM135B,True,True
515,Pair3_5,ENST00000482951.6,100.0,16,1,16,3080,3065,0.23,minus,ENST00000482951.6,FAM135B,True,True
517,Pair1_5,ENST00000395297.6,100.0,16,1,16,3488,3473,0.23,minus,ENST00000395297.6,FAM135B,True,True
518,Pair2_5,ENST00000395297.6,100.0,16,1,16,3488,3473,0.23,minus,ENST00000395297.6,FAM135B,True,True
519,Pair3_5,ENST00000395297.6,100.0,16,1,16,3488,3473,0.23,minus,ENST00000395297.6,FAM135B,True,True
739,Pair4_3,ENST00000612966.3,100.0,16,4,19,304,319,0.31,plus,ENST00000612966.3,H3C3,True,True
741,Pair4_3,ENST00000621411.3,100.0,16,4,19,316,331,0.31,plus,ENST00000621411.3,H3C2,True,True
1033,Pair5_3,ENST00000478998.5,100.0,16,1,16,1079,1064,0.23,minus,ENST00000478998.5,MYH15,True,True
1035,Pair5_3,ENST00000689784.1,100.0,16,1,16,2409,2394,0.23,minus,ENST00000689784.1,MYH15,True,True
1037,Pair5_3,ENST00000273353.5,100.0,16,1,16,3144,3129,0.23,minus,ENST00000273353.5,MYH15,True,True
1039,Pair5_3,ENST00000693548.1,100.0,16,1,16,3093,3078,0.23,minus,ENST00000693548.1,MYH15,True,True
1041,Pair5_3,ENST00000338352.3,100.0,16,1,16,464,449,0.23,minus,ENST00000338352.3,OTUD6A,True,True
2896,Pair15_3,ENST00000589804.1,100.0,16,1,16,784,769,0.46,minus,ENST00000589804.1,POLR1G,True,True
2912,Pair15_3,ENST00000309424.8,100.0,16,1,16,825,810,0.46,minus,ENST00000309424.8,POLR1G,True,True
4581,Pair14_5,ENST00000463024.1,100.0,17,2,18,1334,1350,0.058,plus,ENST00000463024.1,ABCC10,True,True
4582,Pair15_5,ENST00000463024.1,100.0,17,2,18,1334,1350,0.058,plus,ENST00000463024.1,ABCC10,True,True
4583,Pair16_5,ENST00000463024.1,100.0,17,2,18,1334,1350,0.058,plus,ENST00000463024.1,ABCC10,True,True
4584,Pair17_5,ENST00000463024.1,100.0,17,3,19,1334,1350,0.078,plus,ENST00000463024.1,ABCC10,True,True
4585,Pair18_5,ENST00000463024.1,100.0,17,3,19,1334,1350,0.078,plus,ENST00000463024.1,ABCC10,True,True
4586,Pair19_5,ENST00000463024.1,100.0,17,2,18,1334,1350,0.058,plus,ENST00000463024.1,ABCC10,True,True
4587,Pair20_5,ENST00000463024.1,100.0,17,3,19,1334,1350,0.078,plus,ENST00000463024.1,ABCC10,True,True
4588,Pair21_5,ENST00000463024.1,100.0,16,3,18,1334,1349,0.23,plus,ENST00000463024.1,ABCC10,True,True
4589,Pair22_5,ENST00000463024.1,100.0,16,3,18,1334,1349,0.23,plus,ENST00000463024.1,ABCC10,True,True
4590,Pair23_5,ENST00000463024.1,100.0,16,3,18,1334,1349,0.23,plus,ENST00000463024.1,ABCC10,True,True
4591,Pair14_5,ENST00000244533.7,100.0,17,2,18,2654,2670,0.058,plus,ENST00000244533.7,ABCC10,True,True
4592,Pair15_5,ENST00000244533.7,100.0,17,2,18,2654,2670,0.058,plus,ENST00000244533.7,ABCC10,True,True
4593,Pair16_5,ENST00000244533.7,100.0,17,2,18,2654,2670,0.058,plus,ENST00000244533.7,ABCC10,True,True
4594,Pair17_5,ENST00000244533.7,100.0,17,3,19,2654,2670,0.078,plus,ENST00000244533.7,ABCC10,True,True
4595,Pair18_5,ENST00000244533.7,100.0,17,3,19,2654,2670,0.078,plus,ENST00000244533.7,ABCC10,True,True
4596,Pair19_5,ENST00000244533.7,100.0,17,2,18,2654,2670,0.058,plus,ENST00000244533.7,ABCC10,True,True
4597,Pair20_5,ENST00000244533.7,100.0,17,3,19,2654,2670,0.078,plus,ENST00000244533.7,ABCC10,True,True
4598,Pair21_5,ENST00000244533.7,100.0,16,3,18,2654,2669,0.23,plus,ENST00000244533.7,ABCC10,True,True
4599,Pair22_5,ENST00000244533.7,100.0,16,3,18,2654,2669,0.23,plus,ENST00000244533.7,ABCC10,True,True
4600,Pair23_5,ENST00000244533.7,100.0,16,3,18,2654,2669,0.23,plus,ENST00000244533.7,ABCC10,True,True
4601,Pair14_5,ENST00000372530.9,100.0,17,2,18,2607,2623,0.058,plus,ENST00000372530.9,ABCC10,True,True
4602,Pair15_5,ENST00000372530.9,100.0,17,2,18,2607,2623,0.058,plus,ENST00000372530.9,ABCC10,True,True
4603,Pair16_5,ENST00000372530.9,100.0,17,2,18,2607,2623,0.058,plus,ENST00000372530.9,ABCC10,True,True
4604,Pair17_5,ENST00000372530.9,100.0,17,3,19,2607,2623,0.078,plus,ENST00000372530.9,ABCC10,True,True
4605,Pair18_5,ENST00000372530.9,100.0,17,3,19,2607,2623,0.078,plus,ENST00000372530.9,ABCC10,True,True
4606,Pair19_5,ENST00000372530.9,100.0,17,2,18,2607,2623,0.058,plus,ENST00000372530.9,ABCC10,True,True
4607,Pair20_5,ENST00000372530.9,100.0,17,3,19,2607,2623,0.078,plus,ENST00000372530.9,ABCC10,True,True
4608,Pair21_5,ENST00000372530.9,100.0,16,3,18,2607,2622,0.23,plus,ENST00000372530.9,ABCC10,True,True
4609,Pair22_5,ENST00000372530.9,100.0,16,3,18,2607,2622,0.23,plus,ENST00000372530.9,ABCC10,True,True
4610,Pair23_5,ENST00000372530.9,100.0,16,3,18,2607,2622,0.23,plus,ENST00000372530.9,ABCC10,True,True
