,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
109,Pair7_3,NM_001357916,100.0,19,1,19,722,704,0.007,minus,NM_001357916,ENSMUST00000214624,Ppcdc,True,True
110,Pair7_3,NM_001357916,100.0,18,1,18,508,491,0.027,minus,NM_001357916,ENSMUST00000214624,Ppcdc,True,True
111,Pair9_3,NM_001357916,100.0,19,1,19,722,704,0.007,minus,NM_001357916,ENSMUST00000214624,Ppcdc,True,True
112,Pair9_3,NM_001357916,100.0,18,1,18,508,491,0.027,minus,NM_001357916,ENSMUST00000214624,Ppcdc,True,True
156,Pair7_3,XR_003946735,100.0,19,1,19,7300,7282,0.007,minus,XR_003946735,-,-,True,True
158,Pair9_3,XR_003946735,100.0,19,1,19,7300,7282,0.007,minus,XR_003946735,-,-,True,True
163,Pair79_5,XR_003946735,100.0,20,1,20,10831,10812,0.002,minus,XR_003946735,-,-,True,True
173,Pair1_3,NM_011877,100.0,17,1,17,2345,2329,0.079,minus,NM_011877,ENSMUST00000085116,Ptpn21,True,True
221,Pair1_3,XM_011244112,100.0,17,1,17,2120,2104,0.079,minus,XM_011244112,ENSMUST00000170188,Ptpn21,True,True
233,Pair1_3,XM_036157408,100.0,17,1,17,2280,2264,0.079,minus,XM_036157408,ENSMUST00000085116,Ptpn21,True,True
287,Pair1_3,NM_001146199,100.0,17,1,17,2210,2194,0.079,minus,NM_001146199,ENSMUST00000170188,Ptpn21,True,True
353,Pair1_3,XM_036157279,100.0,16,1,16,1342,1327,0.31,minus,XM_036157279,ENSMUST00000222314,Sp4,True,True
428,Pair1_3,XM_017315007,100.0,16,1,16,1478,1463,0.31,minus,XM_017315007,ENSMUST00000222314,Sp4,True,True
431,Pair1_3,NM_009239,100.0,16,1,16,1447,1432,0.31,minus,NM_009239,ENSMUST00000222314,Sp4,True,True
470,Pair1_3,NM_001166385,100.0,16,1,16,1447,1432,0.31,minus,NM_001166385,ENSMUST00000026367,Sp4,True,True
629,Pair1_3,XM_036157278,100.0,16,1,16,1303,1288,0.31,minus,XM_036157278,ENSMUST00000222314,Sp4,True,True
840,Pair2_3,NR_176973,100.0,16,1,16,240,225,0.31,minus,NR_176973,-,-,True,True
841,Pair4_3,NR_176973,100.0,16,1,16,240,225,0.42,minus,NR_176973,-,-,True,True
879,Pair2_3,XR_880994,100.0,16,1,16,139,124,0.31,minus,XR_880994,-,-,True,True
880,Pair4_3,XR_880994,100.0,16,1,16,139,124,0.42,minus,XR_880994,-,-,True,True
903,Pair2_3,NM_008995,100.0,16,1,16,203,188,0.31,minus,NM_008995,ENSMUST00000112532,Pex5,True,True
904,Pair4_3,NM_008995,100.0,16,1,16,203,188,0.42,minus,NM_008995,ENSMUST00000112532,Pex5,True,True
948,Pair2_3,NM_001277805,100.0,16,1,16,240,225,0.31,minus,NM_001277805,ENSMUST00000035861,Pex5,True,True
949,Pair4_3,NM_001277805,100.0,16,1,16,240,225,0.42,minus,NM_001277805,ENSMUST00000035861,Pex5,True,True
951,Pair2_3,NR_176972,100.0,16,1,16,240,225,0.31,minus,NR_176972,-,-,True,True
952,Pair4_3,NR_176972,100.0,16,1,16,240,225,0.42,minus,NR_176972,-,-,True,True
954,Pair2_3,NM_001410281,100.0,16,1,16,240,225,0.31,minus,NM_001410281,ENSMUST00000035861,Pex5,True,True
955,Pair4_3,NM_001410281,100.0,16,1,16,240,225,0.42,minus,NM_001410281,ENSMUST00000035861,Pex5,True,True
975,Pair2_3,NM_001410280,100.0,16,1,16,249,234,0.31,minus,NM_001410280,ENSMUST00000112532,Pex5,True,True
976,Pair4_3,NM_001410280,100.0,16,1,16,249,234,0.42,minus,NM_001410280,ENSMUST00000112532,Pex5,True,True
993,Pair2_3,NM_001277330,100.0,16,1,16,258,243,0.31,minus,NM_001277330,ENSMUST00000112531,Pex5,True,True
994,Pair4_3,NM_001277330,100.0,16,1,16,258,243,0.42,minus,NM_001277330,ENSMUST00000112531,Pex5,True,True
1005,Pair2_3,XR_880993,100.0,16,1,16,139,124,0.31,minus,XR_880993,-,-,True,True
1006,Pair4_3,XR_880993,100.0,16,1,16,139,124,0.42,minus,XR_880993,-,-,True,True
1020,Pair2_3,NM_175933,100.0,16,1,16,240,225,0.31,minus,NM_175933,ENSMUST00000080557,Pex5,True,True
1021,Pair4_3,NM_175933,100.0,16,1,16,240,225,0.42,minus,NM_175933,ENSMUST00000080557,Pex5,True,True
1065,Pair2_3,NM_001360570,100.0,16,1,16,249,234,0.31,minus,NM_001360570,ENSMUST00000080557,Pex5,True,True
1066,Pair4_3,NM_001360570,100.0,16,1,16,249,234,0.42,minus,NM_001360570,ENSMUST00000080557,Pex5,True,True
1131,Pair2_3,NM_001410279,100.0,16,1,16,258,243,0.31,minus,NM_001410279,ENSMUST00000112532,Pex5,True,True
1132,Pair4_3,NM_001410279,100.0,16,1,16,258,243,0.42,minus,NM_001410279,ENSMUST00000112532,Pex5,True,True
2596,Pair7_3,XR_004936508,100.0,19,1,19,438,456,0.007,plus,XR_004936508,ENSMUST00000180729,Gm26543,True,True
2597,Pair9_3,XR_004936508,100.0,19,1,19,438,456,0.007,plus,XR_004936508,ENSMUST00000180729,Gm26543,True,True
