,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
347,Pair0_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
348,Pair1_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
350,Pair3_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
351,Pair4_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
352,Pair5_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
353,Pair6_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
354,Pair14_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
355,Pair15_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
356,Pair16_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
360,Pair20_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
1414,Pair20_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1415,Pair24_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1416,Pair56_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1417,Pair57_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1418,Pair58_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1422,Pair62_5,ENST00000476454.5,100.0,17,5,21,340,356,0.097,plus,ENST00000476454.5,TP53BP1,True,True
1440,Pair62_5,ENST00000411702.7,100.0,16,6,21,1911,1926,0.38,plus,ENST00000411702.7,RNF213,True,True
1449,Pair62_5,ENST00000558116.5,100.0,16,6,21,3442,3457,0.38,plus,ENST00000558116.5,RNF213,True,True
3084,Pair28_5,ENST00000464620.1,100.0,16,5,20,672,687,0.38,plus,ENST00000464620.1,ARHGEF16,True,True
3087,Pair31_5,ENST00000464620.1,100.0,16,5,20,672,687,0.38,plus,ENST00000464620.1,ARHGEF16,True,True
3088,Pair32_5,ENST00000464620.1,100.0,16,5,20,672,687,0.38,plus,ENST00000464620.1,ARHGEF16,True,True
3090,Pair36_5,ENST00000464620.1,100.0,16,5,20,672,687,0.38,plus,ENST00000464620.1,ARHGEF16,True,True
3091,Pair38_5,ENST00000464620.1,100.0,16,5,20,672,687,0.38,plus,ENST00000464620.1,ARHGEF16,True,True
3092,Pair39_5,ENST00000464620.1,100.0,16,5,20,672,687,0.38,plus,ENST00000464620.1,ARHGEF16,True,True
3145,Pair28_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3146,Pair29_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3147,Pair30_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3148,Pair31_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000222,minus,ENST00000509595.2,FGF7P4,True,True
3149,Pair32_3,ENST00000509595.2,100.0,23,1,23,24,2,5.61e-05,minus,ENST00000509595.2,FGF7P4,True,True
3150,Pair33_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3151,Pair34_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3152,Pair35_3,ENST00000509595.2,100.0,20,1,20,54,35,0.002,minus,ENST00000509595.2,FGF7P4,True,True
3153,Pair36_3,ENST00000509595.2,100.0,20,1,20,54,35,0.002,minus,ENST00000509595.2,FGF7P4,True,True
3156,Pair39_3,ENST00000509595.2,100.0,20,1,20,27,8,0.002,minus,ENST00000509595.2,FGF7P4,True,True
3157,Pair41_3,ENST00000509595.2,100.0,20,1,20,58,39,0.002,minus,ENST00000509595.2,FGF7P4,True,True
3158,Pair42_5,ENST00000509595.2,100.0,24,1,24,99,122,1.03e-05,plus,ENST00000509595.2,FGF7P4,True,True
3159,Pair43_5,ENST00000509595.2,100.0,24,1,24,99,122,1.03e-05,plus,ENST00000509595.2,FGF7P4,True,True
3160,Pair43_3,ENST00000509595.2,100.0,20,1,20,290,271,0.002,minus,ENST00000509595.2,FGF7P4,True,True
3161,Pair44_5,ENST00000509595.2,100.0,24,1,24,99,122,1.03e-05,plus,ENST00000509595.2,FGF7P4,True,True
3162,Pair45_5,ENST00000509595.2,100.0,24,1,24,99,122,1.03e-05,plus,ENST00000509595.2,FGF7P4,True,True
3163,Pair46_5,ENST00000509595.2,100.0,25,1,25,99,123,2.94e-06,plus,ENST00000509595.2,FGF7P4,True,True
3164,Pair47_5,ENST00000509595.2,100.0,25,1,25,99,123,2.94e-06,plus,ENST00000509595.2,FGF7P4,True,True
3165,Pair47_3,ENST00000509595.2,100.0,20,1,20,290,271,0.002,minus,ENST00000509595.2,FGF7P4,True,True
3166,Pair48_5,ENST00000509595.2,100.0,24,1,24,99,122,1.03e-05,plus,ENST00000509595.2,FGF7P4,True,True
3167,Pair49_5,ENST00000509595.2,100.0,20,1,20,35,54,0.002,plus,ENST00000509595.2,FGF7P4,True,True
3168,Pair49_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
3170,Pair50_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
3171,Pair51_5,ENST00000509595.2,100.0,20,1,20,8,27,0.002,plus,ENST00000509595.2,FGF7P4,True,True
3172,Pair51_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
3173,Pair52_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
3174,Pair53_5,ENST00000509595.2,100.0,20,1,20,35,54,0.002,plus,ENST00000509595.2,FGF7P4,True,True
3175,Pair53_3,ENST00000509595.2,95.0,20,1,20,205,186,0.38,minus,ENST00000509595.2,FGF7P4,True,True
