,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1101,Pair5_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1102,Pair6_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1105,Pair9_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1106,Pair10_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1107,Pair11_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1108,Pair12_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1110,Pair14_5,ENST00000450534.1,100.0,20,1,20,2805,2824,0.002,plus,ENST00000450534.1,,True,True
1113,Pair17_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1114,Pair18_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1115,Pair19_5,ENST00000450534.1,100.0,20,1,20,2805,2824,0.002,plus,ENST00000450534.1,,True,True
1116,Pair20_5,ENST00000450534.1,100.0,20,1,20,2805,2824,0.002,plus,ENST00000450534.1,,True,True
1119,Pair28_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1120,Pair29_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1121,Pair30_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1122,Pair31_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1126,Pair35_5,ENST00000450534.1,100.0,20,1,20,2802,2821,0.002,plus,ENST00000450534.1,,True,True
1127,Pair36_5,ENST00000450534.1,100.0,20,1,20,2801,2820,0.002,plus,ENST00000450534.1,,True,True
1128,Pair37_5,ENST00000450534.1,100.0,20,1,20,2800,2819,0.002,plus,ENST00000450534.1,,True,True
1129,Pair38_5,ENST00000450534.1,100.0,20,1,20,2805,2824,0.002,plus,ENST00000450534.1,,True,True
1134,Pair5_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1135,Pair6_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1138,Pair9_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1139,Pair10_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1140,Pair11_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1141,Pair12_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1143,Pair14_5,ENST00000437082.5,100.0,20,1,20,2244,2263,0.002,plus,ENST00000437082.5,,True,True
1146,Pair17_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1147,Pair18_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1148,Pair19_5,ENST00000437082.5,100.0,20,1,20,2244,2263,0.002,plus,ENST00000437082.5,,True,True
1149,Pair20_5,ENST00000437082.5,100.0,20,1,20,2244,2263,0.002,plus,ENST00000437082.5,,True,True
1152,Pair28_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1153,Pair29_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1154,Pair30_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1155,Pair31_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1159,Pair35_5,ENST00000437082.5,100.0,20,1,20,2241,2260,0.002,plus,ENST00000437082.5,,True,True
1160,Pair36_5,ENST00000437082.5,100.0,20,1,20,2240,2259,0.002,plus,ENST00000437082.5,,True,True
1161,Pair37_5,ENST00000437082.5,100.0,20,1,20,2239,2258,0.002,plus,ENST00000437082.5,,True,True
1162,Pair38_5,ENST00000437082.5,100.0,20,1,20,2244,2263,0.002,plus,ENST00000437082.5,,True,True
1359,Pair32_3,ENST00000404262.2,100.0,15,6,20,202,216,1.5,plus,ENST00000404262.2,NDUFAB1P1,True,True
1362,Pair42_3,ENST00000404262.2,100.0,15,6,20,202,216,1.5,plus,ENST00000404262.2,NDUFAB1P1,True,True
1364,Pair44_3,ENST00000404262.2,100.0,15,6,20,202,216,1.5,plus,ENST00000404262.2,NDUFAB1P1,True,True
1366,Pair46_3,ENST00000404262.2,100.0,15,6,20,202,216,1.5,plus,ENST00000404262.2,NDUFAB1P1,True,True
1368,Pair48_3,ENST00000404262.2,100.0,15,6,20,202,216,1.5,plus,ENST00000404262.2,NDUFAB1P1,True,True
2038,Pair3_5,ENST00000274031.8,100.0,15,1,15,3806,3792,1.5,minus,ENST00000274031.8,SETD7,True,True
2039,Pair4_5,ENST00000274031.8,100.0,16,1,16,3807,3792,0.38,minus,ENST00000274031.8,SETD7,True,True
2040,Pair26_5,ENST00000274031.8,100.0,15,1,15,3806,3792,1.5,minus,ENST00000274031.8,SETD7,True,True
2041,Pair27_5,ENST00000274031.8,100.0,16,1,16,3807,3792,0.38,minus,ENST00000274031.8,SETD7,True,True
2042,Pair46_5,ENST00000274031.8,100.0,15,1,15,3806,3792,1.5,minus,ENST00000274031.8,SETD7,True,True
2043,Pair47_5,ENST00000274031.8,100.0,15,1,15,3806,3792,1.5,minus,ENST00000274031.8,SETD7,True,True
2044,Pair48_5,ENST00000274031.8,100.0,16,1,16,3807,3792,0.38,minus,ENST00000274031.8,SETD7,True,True
2045,Pair49_5,ENST00000274031.8,100.0,16,1,16,3807,3792,0.38,minus,ENST00000274031.8,SETD7,True,True
2046,Pair3_5,ENST00000251566.9,100.0,15,1,15,2832,2818,1.5,minus,ENST00000251566.9,UGT2A3,True,True
2048,Pair26_5,ENST00000251566.9,100.0,15,1,15,2832,2818,1.5,minus,ENST00000251566.9,UGT2A3,True,True
2050,Pair46_5,ENST00000251566.9,100.0,15,1,15,2832,2818,1.5,minus,ENST00000251566.9,UGT2A3,True,True
2051,Pair47_5,ENST00000251566.9,100.0,15,1,15,2832,2818,1.5,minus,ENST00000251566.9,UGT2A3,True,True
2054,Pair3_5,ENST00000611042.3,100.0,15,1,15,2819,2805,1.5,minus,ENST00000611042.3,UGT2A3,True,True
2056,Pair26_5,ENST00000611042.3,100.0,15,1,15,2819,2805,1.5,minus,ENST00000611042.3,UGT2A3,True,True
2058,Pair46_5,ENST00000611042.3,100.0,15,1,15,2819,2805,1.5,minus,ENST00000611042.3,UGT2A3,True,True
2059,Pair47_5,ENST00000611042.3,100.0,15,1,15,2819,2805,1.5,minus,ENST00000611042.3,UGT2A3,True,True
