,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
330,Pair21_5,ENST00000449911.2,95.0,20,1,20,283,264,0.38,minus,ENST00000449911.2,SSU72P1,True,True
336,Pair28_5,ENST00000449911.2,95.0,20,1,20,283,264,0.38,minus,ENST00000449911.2,SSU72P1,True,True
337,Pair29_5,ENST00000449911.2,95.0,20,1,20,283,264,0.38,minus,ENST00000449911.2,SSU72P1,True,True
338,Pair30_5,ENST00000449911.2,95.0,20,1,20,480,461,0.38,minus,ENST00000449911.2,SSU72P1,True,True
340,Pair31_5,ENST00000449911.2,95.0,20,1,20,480,461,0.38,minus,ENST00000449911.2,SSU72P1,True,True
341,Pair31_3,ENST00000449911.2,95.0,20,1,20,264,283,0.38,plus,ENST00000449911.2,SSU72P1,True,True
342,Pair32_5,ENST00000449911.2,100.0,18,1,18,433,416,0.025,minus,ENST00000449911.2,SSU72P1,True,True
343,Pair32_3,ENST00000449911.2,95.0,20,1,20,264,283,0.38,plus,ENST00000449911.2,SSU72P1,True,True
344,Pair33_5,ENST00000449911.2,100.0,19,1,19,434,416,0.006,minus,ENST00000449911.2,SSU72P1,True,True
345,Pair33_3,ENST00000449911.2,95.0,20,1,20,264,283,0.38,plus,ENST00000449911.2,SSU72P1,True,True
347,Pair34_3,ENST00000449911.2,95.0,20,1,20,264,283,0.38,plus,ENST00000449911.2,SSU72P1,True,True
348,Pair35_5,ENST00000449911.2,95.0,20,1,20,480,461,0.38,minus,ENST00000449911.2,SSU72P1,True,True
349,Pair36_5,ENST00000449911.2,95.0,20,1,20,481,462,0.38,minus,ENST00000449911.2,SSU72P1,True,True
351,Pair37_5,ENST00000449911.2,95.0,20,1,20,482,463,0.38,minus,ENST00000449911.2,SSU72P1,True,True
354,Pair38_3,ENST00000449911.2,95.0,20,1,20,264,283,0.38,plus,ENST00000449911.2,SSU72P1,True,True
356,Pair39_3,ENST00000449911.2,95.0,20,1,20,264,283,0.38,plus,ENST00000449911.2,SSU72P1,True,True
357,Pair40_3,ENST00000449911.2,100.0,20,1,20,470,489,0.002,plus,ENST00000449911.2,SSU72P1,True,True
358,Pair41_3,ENST00000449911.2,100.0,20,1,20,469,488,0.002,plus,ENST00000449911.2,SSU72P1,True,True
359,Pair42_3,ENST00000449911.2,100.0,19,2,20,469,487,0.006,plus,ENST00000449911.2,SSU72P1,True,True
360,Pair43_3,ENST00000449911.2,100.0,20,1,20,470,489,0.002,plus,ENST00000449911.2,SSU72P1,True,True
361,Pair44_3,ENST00000449911.2,100.0,20,1,20,469,488,0.002,plus,ENST00000449911.2,SSU72P1,True,True
362,Pair45_3,ENST00000449911.2,100.0,19,2,20,469,487,0.006,plus,ENST00000449911.2,SSU72P1,True,True
364,Pair47_3,ENST00000449911.2,100.0,20,1,20,470,489,0.002,plus,ENST00000449911.2,SSU72P1,True,True
365,Pair48_3,ENST00000449911.2,100.0,20,1,20,469,488,0.002,plus,ENST00000449911.2,SSU72P1,True,True
366,Pair49_3,ENST00000449911.2,100.0,19,2,20,469,487,0.006,plus,ENST00000449911.2,SSU72P1,True,True
369,Pair57_3,ENST00000449911.2,95.0,20,1,20,461,480,0.38,plus,ENST00000449911.2,SSU72P1,True,True
370,Pair58_3,ENST00000449911.2,95.0,20,1,20,460,479,0.38,plus,ENST00000449911.2,SSU72P1,True,True
497,Pair2_3,ENST00000377255.3,100.0,15,1,15,80,66,0.61,minus,ENST00000377255.3,ZKSCAN3,True,True
498,Pair3_3,ENST00000377255.3,100.0,15,1,15,80,66,0.61,minus,ENST00000377255.3,ZKSCAN3,True,True
499,Pair8_3,ENST00000377255.3,100.0,15,1,15,80,66,0.61,minus,ENST00000377255.3,ZKSCAN3,True,True
500,Pair2_3,ENST00000341464.9,100.0,15,1,15,80,66,0.61,minus,ENST00000341464.9,ZKSCAN3,True,True
501,Pair3_3,ENST00000341464.9,100.0,15,1,15,80,66,0.61,minus,ENST00000341464.9,ZKSCAN3,True,True
502,Pair8_3,ENST00000341464.9,100.0,15,1,15,80,66,0.61,minus,ENST00000341464.9,ZKSCAN3,True,True
503,Pair2_3,ENST00000252211.7,100.0,15,1,15,83,69,0.61,minus,ENST00000252211.7,ZKSCAN3,True,True
504,Pair3_3,ENST00000252211.7,100.0,15,1,15,83,69,0.61,minus,ENST00000252211.7,ZKSCAN3,True,True
505,Pair8_3,ENST00000252211.7,100.0,15,1,15,83,69,0.61,minus,ENST00000252211.7,ZKSCAN3,True,True
1566,Pair55_5,ENST00000640805.1,100.0,20,1,20,585,566,0.002,minus,ENST00000640805.1,SSU72P2,True,True
1583,Pair55_5,ENST00000638166.1,100.0,20,1,20,585,566,0.002,minus,ENST00000638166.1,SSU72P4,True,True
1600,Pair55_5,ENST00000639584.1,100.0,20,1,20,585,566,0.002,minus,ENST00000639584.1,SSU72P5,True,True
1617,Pair55_5,ENST00000640302.1,100.0,20,1,20,585,566,0.002,minus,ENST00000640302.1,SSU72P3,True,True
1634,Pair55_5,ENST00000524542.2,100.0,20,1,20,585,566,0.002,minus,ENST00000524542.2,SSU72P7,True,True
1768,Pair26_5,ENST00000293648.8,100.0,16,5,20,4042,4057,0.38,plus,ENST00000293648.8,ZNF562,True,True
1769,Pair35_3,ENST00000293648.8,100.0,16,1,16,4057,4042,0.38,minus,ENST00000293648.8,ZNF562,True,True
1770,Pair26_5,ENST00000453372.7,100.0,16,5,20,4300,4315,0.38,plus,ENST00000453372.7,ZNF562,True,True
1771,Pair35_3,ENST00000453372.7,100.0,16,1,16,4315,4300,0.38,minus,ENST00000453372.7,ZNF562,True,True
2572,Pair38_5,ENST00000611365.1,100.0,16,5,20,12,27,0.38,plus,ENST00000611365.1,,True,True
2575,Pair59_3,ENST00000611365.1,100.0,16,1,16,27,12,0.38,minus,ENST00000611365.1,,True,True
2749,Pair38_5,ENST00000587470.1,100.0,16,5,20,457,472,0.38,plus,ENST00000587470.1,VMP1,True,True
2752,Pair59_3,ENST00000587470.1,100.0,16,1,16,472,457,0.38,minus,ENST00000587470.1,VMP1,True,True
2756,Pair38_5,ENST00000592790.1,100.0,16,5,20,1847,1862,0.38,plus,ENST00000592790.1,VMP1,True,True
2759,Pair59_3,ENST00000592790.1,100.0,16,1,16,1862,1847,0.38,minus,ENST00000592790.1,VMP1,True,True
2763,Pair38_5,ENST00000588617.1,100.0,16,5,20,454,469,0.38,plus,ENST00000588617.1,VMP1,True,True
