,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
427,Pair0_5,ENST00000311417.7,100.0,17,4,20,7127,7143,0.097,plus,ENST00000311417.7,ZMAT3,True,True
429,Pair4_5,ENST00000311417.7,100.0,17,4,20,7127,7143,0.097,plus,ENST00000311417.7,ZMAT3,True,True
435,Pair0_5,ENST00000603543.1,100.0,16,1,16,160,145,0.38,minus,ENST00000603543.1,,True,True
438,Pair4_5,ENST00000603543.1,100.0,16,1,16,160,145,0.38,minus,ENST00000603543.1,,True,True
441,Pair0_5,ENST00000532030.1,100.0,16,1,16,304,289,0.38,minus,ENST00000532030.1,,True,True
444,Pair4_5,ENST00000532030.1,100.0,16,1,16,304,289,0.38,minus,ENST00000532030.1,,True,True
1966,Pair16_5,ENST00000358654.2,100.0,18,1,18,2215,2198,0.034,minus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
1967,Pair17_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
1968,Pair18_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
1969,Pair19_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
1970,Pair16_5,ENST00000541492.1,100.0,18,1,18,2126,2109,0.034,minus,ENST00000541492.1,SPECC1L,True,True
1971,Pair17_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
1972,Pair18_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
1973,Pair19_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
1974,Pair16_5,ENST00000416735.5,100.0,18,1,18,531,514,0.034,minus,ENST00000416735.5,SPECC1L,True,True
1975,Pair17_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
1976,Pair18_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
1977,Pair19_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
1978,Pair16_5,ENST00000651059.1,100.0,18,1,18,2333,2316,0.034,minus,ENST00000651059.1,SPECC1L,True,True
1979,Pair17_3,ENST00000651059.1,100.0,18,6,23,2316,2333,0.034,plus,ENST00000651059.1,SPECC1L,True,True
1980,Pair18_3,ENST00000651059.1,100.0,18,6,23,2316,2333,0.034,plus,ENST00000651059.1,SPECC1L,True,True
1981,Pair19_3,ENST00000651059.1,100.0,18,6,23,2316,2333,0.034,plus,ENST00000651059.1,SPECC1L,True,True
1982,Pair16_5,ENST00000314328.14,100.0,18,1,18,2282,2265,0.034,minus,ENST00000314328.14,SPECC1L,True,True
1983,Pair17_3,ENST00000314328.14,100.0,18,6,23,2265,2282,0.034,plus,ENST00000314328.14,SPECC1L,True,True
1984,Pair18_3,ENST00000314328.14,100.0,18,6,23,2265,2282,0.034,plus,ENST00000314328.14,SPECC1L,True,True
1985,Pair19_3,ENST00000314328.14,100.0,18,6,23,2265,2282,0.034,plus,ENST00000314328.14,SPECC1L,True,True
1986,Pair16_5,ENST00000421374.5,100.0,18,1,18,2187,2170,0.034,minus,ENST00000421374.5,SPECC1L,True,True
1987,Pair17_3,ENST00000421374.5,100.0,18,6,23,2170,2187,0.034,plus,ENST00000421374.5,SPECC1L,True,True
1988,Pair18_3,ENST00000421374.5,100.0,18,6,23,2170,2187,0.034,plus,ENST00000421374.5,SPECC1L,True,True
1989,Pair19_3,ENST00000421374.5,100.0,18,6,23,2170,2187,0.034,plus,ENST00000421374.5,SPECC1L,True,True
1990,Pair16_5,ENST00000437398.5,100.0,18,1,18,2192,2175,0.034,minus,ENST00000437398.5,SPECC1L,True,True
