,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
2175,Pair20_3,ENST00000575011.1,100.0,16,5,20,336,351,0.38,plus,ENST00000575011.1,MYO1C,True,True
2177,Pair20_3,ENST00000572615.1,100.0,16,5,20,96,111,0.38,plus,ENST00000572615.1,MYO1C,True,True
2179,Pair20_3,ENST00000545534.6,100.0,16,5,20,2583,2598,0.38,plus,ENST00000545534.6,MYO1C,True,True
2181,Pair20_3,ENST00000570984.7,100.0,16,5,20,2368,2383,0.38,plus,ENST00000570984.7,MYO1C,True,True
2183,Pair20_3,ENST00000646049.1,100.0,16,5,20,2495,2510,0.38,plus,ENST00000646049.1,MYO1C,True,True
2185,Pair20_3,ENST00000361007.7,100.0,16,5,20,2420,2435,0.38,plus,ENST00000361007.7,MYO1C,True,True
2187,Pair20_3,ENST00000648651.1,100.0,16,5,20,2611,2626,0.38,plus,ENST00000648651.1,MYO1C,True,True
2189,Pair20_3,ENST00000575158.5,100.0,16,5,20,2484,2499,0.38,plus,ENST00000575158.5,MYO1C,True,True
2191,Pair20_3,ENST00000648446.1,100.0,16,5,20,2404,2419,0.38,plus,ENST00000648446.1,MYO1C,True,True
4613,Pair41_3,ENST00000418303.1,95.0,20,1,20,1307,1288,0.38,minus,ENST00000418303.1,TUBG1P,True,True
4765,Pair41_3,ENST00000679484.1,95.0,20,1,20,2352,2333,0.38,minus,ENST00000679484.1,TUBG1,True,True
4769,Pair41_3,ENST00000681114.1,95.0,20,1,20,3048,3029,0.38,minus,ENST00000681114.1,TUBG1,True,True
4773,Pair41_3,ENST00000681919.1,95.0,20,1,20,3331,3312,0.38,minus,ENST00000681919.1,TUBG1,True,True
4777,Pair41_3,ENST00000680617.1,95.0,20,1,20,3131,3112,0.38,minus,ENST00000680617.1,TUBG1,True,True
4781,Pair41_3,ENST00000589688.2,95.0,20,1,20,1269,1250,0.38,minus,ENST00000589688.2,TUBG1,True,True
4785,Pair41_3,ENST00000251413.8,95.0,20,1,20,1355,1336,0.38,minus,ENST00000251413.8,TUBG1,True,True
4789,Pair41_3,ENST00000588056.2,95.0,20,1,20,1994,1975,0.38,minus,ENST00000588056.2,TUBG1,True,True
4793,Pair41_3,ENST00000680672.1,95.0,20,1,20,1512,1493,0.38,minus,ENST00000680672.1,TUBG1,True,True
4797,Pair41_3,ENST00000681413.1,95.0,20,1,20,1535,1516,0.38,minus,ENST00000681413.1,TUBG1,True,True
4801,Pair41_3,ENST00000680678.1,95.0,20,1,20,1658,1639,0.38,minus,ENST00000680678.1,TUBG1,True,True
