,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
621,Pair2_3,XM_017014338,100.0,16,5,20,1168,1183,0.62,plus,XM_017014338,ENST00000309235,ZNF483,True,True
622,Pair3_3,XM_017014338,100.0,16,5,20,1168,1183,0.62,plus,XM_017014338,ENST00000309235,ZNF483,True,True
623,Pair7_5,XM_017014338,100.0,16,1,16,1183,1168,0.62,minus,XM_017014338,ENST00000309235,ZNF483,True,True
624,Pair2_3,XM_017014337,100.0,16,5,20,1277,1292,0.62,plus,XM_017014337,ENST00000309235,ZNF483,True,True
625,Pair3_3,XM_017014337,100.0,16,5,20,1277,1292,0.62,plus,XM_017014337,ENST00000309235,ZNF483,True,True
626,Pair7_5,XM_017014337,100.0,16,1,16,1292,1277,0.62,minus,XM_017014337,ENST00000309235,ZNF483,True,True
627,Pair2_3,NM_133464,100.0,16,5,20,1060,1075,0.62,plus,NM_133464,ENST00000309235,ZNF483,True,True
628,Pair3_3,NM_133464,100.0,16,5,20,1060,1075,0.62,plus,NM_133464,ENST00000309235,ZNF483,True,True
629,Pair7_5,NM_133464,100.0,16,1,16,1075,1060,0.62,minus,NM_133464,ENST00000309235,ZNF483,True,True
630,Pair2_3,XM_011518300,100.0,16,5,20,2322,2337,0.62,plus,XM_011518300,ENST00000309235,ZNF483,True,True
631,Pair3_3,XM_011518300,100.0,16,5,20,2322,2337,0.62,plus,XM_011518300,ENST00000309235,ZNF483,True,True
632,Pair7_5,XM_011518300,100.0,16,1,16,2337,2322,0.62,minus,XM_011518300,ENST00000309235,ZNF483,True,True
633,Pair2_3,XM_047422863,100.0,16,5,20,1115,1130,0.62,plus,XM_047422863,ENST00000309235,ZNF483,True,True
634,Pair3_3,XM_047422863,100.0,16,5,20,1115,1130,0.62,plus,XM_047422863,ENST00000309235,ZNF483,True,True
635,Pair7_5,XM_047422863,100.0,16,1,16,1130,1115,0.62,minus,XM_047422863,ENST00000309235,ZNF483,True,True
3041,Pair20_3,XM_011522354,95.0,20,1,20,958,939,0.62,minus,XM_011522354,ENST00000382745,CLCN7,True,True
3042,Pair21_3,XM_011522354,95.0,20,1,20,958,939,0.62,minus,XM_011522354,ENST00000382745,CLCN7,True,True
3043,Pair22_3,XM_011522354,95.0,20,1,20,958,939,0.62,minus,XM_011522354,ENST00000382745,CLCN7,True,True
3044,Pair26_5,XM_011522354,95.0,20,1,20,939,958,0.62,plus,XM_011522354,ENST00000382745,CLCN7,True,True
3045,Pair27_5,XM_011522354,95.0,20,1,20,939,958,0.62,plus,XM_011522354,ENST00000382745,CLCN7,True,True
3046,Pair20_3,NM_001114331,95.0,20,1,20,941,922,0.62,minus,NM_001114331,ENST00000262318,CLCN7,True,True
3047,Pair21_3,NM_001114331,95.0,20,1,20,941,922,0.62,minus,NM_001114331,ENST00000262318,CLCN7,True,True
3048,Pair22_3,NM_001114331,95.0,20,1,20,941,922,0.62,minus,NM_001114331,ENST00000262318,CLCN7,True,True
3049,Pair26_5,NM_001114331,95.0,20,1,20,922,941,0.62,plus,NM_001114331,ENST00000262318,CLCN7,True,True
3050,Pair27_5,NM_001114331,95.0,20,1,20,922,941,0.62,plus,NM_001114331,ENST00000262318,CLCN7,True,True
3051,Pair20_3,NM_001287,95.0,20,1,20,1013,994,0.62,minus,NM_001287,ENST00000382745,CLCN7,True,True
3052,Pair21_3,NM_001287,95.0,20,1,20,1013,994,0.62,minus,NM_001287,ENST00000382745,CLCN7,True,True
3053,Pair22_3,NM_001287,95.0,20,1,20,1013,994,0.62,minus,NM_001287,ENST00000382745,CLCN7,True,True
3054,Pair26_5,NM_001287,95.0,20,1,20,994,1013,0.62,plus,NM_001287,ENST00000382745,CLCN7,True,True
3055,Pair27_5,NM_001287,95.0,20,1,20,994,1013,0.62,plus,NM_001287,ENST00000382745,CLCN7,True,True
3076,Pair23_3,XR_007063353,100.0,16,1,16,3887,3872,0.62,minus,XR_007063353,-,-,True,True
5791,Pair39_5,XR_007074132,100.0,16,5,20,2067,2082,0.62,plus,XR_007074132,-,-,True,True
