,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
4521,Pair8_3,ENST00000258888.6,100.0,16,4,19,2166,2181,0.31,plus,ENST00000258888.6,ALPK3,True,True
4522,Pair9_3,ENST00000258888.6,100.0,16,4,19,2166,2181,0.31,plus,ENST00000258888.6,ALPK3,True,True
4528,Pair15_3,ENST00000258888.6,100.0,19,1,19,2166,2184,0.005,plus,ENST00000258888.6,ALPK3,True,True
4529,Pair16_3,ENST00000258888.6,100.0,17,3,19,2166,2182,0.078,plus,ENST00000258888.6,ALPK3,True,True
4530,Pair17_3,ENST00000258888.6,100.0,17,4,20,2166,2182,0.097,plus,ENST00000258888.6,ALPK3,True,True
4532,Pair19_3,ENST00000258888.6,100.0,19,1,19,2166,2184,0.005,plus,ENST00000258888.6,ALPK3,True,True
4533,Pair20_3,ENST00000258888.6,100.0,17,3,19,2166,2182,0.078,plus,ENST00000258888.6,ALPK3,True,True
4534,Pair21_3,ENST00000258888.6,100.0,17,4,20,2166,2182,0.097,plus,ENST00000258888.6,ALPK3,True,True
4535,Pair22_3,ENST00000258888.6,100.0,18,2,19,2166,2183,0.02,plus,ENST00000258888.6,ALPK3,True,True
5424,Pair22_3,ENST00000222990.8,100.0,16,1,16,3916,3901,0.31,minus,ENST00000222990.8,SNX8,True,True
5427,Pair15_3,ENST00000308940.8,100.0,16,1,16,295,280,0.31,minus,ENST00000308940.8,OR10H5,True,True
5430,Pair19_3,ENST00000308940.8,100.0,16,1,16,295,280,0.31,minus,ENST00000308940.8,OR10H5,True,True
5436,Pair15_3,ENST00000642092.2,100.0,16,1,16,264,249,0.31,minus,ENST00000642092.2,OR10H5,True,True
5439,Pair19_3,ENST00000642092.2,100.0,16,1,16,264,249,0.31,minus,ENST00000642092.2,OR10H5,True,True
5451,Pair22_3,ENST00000597945.1,100.0,16,1,16,172,157,0.31,minus,ENST00000597945.1,ZNF526,True,True
5987,Pair25_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5988,Pair26_5,ENST00000591996.1,100.0,18,3,20,287,304,0.025,plus,ENST00000591996.1,PGS1,True,True
5989,Pair27_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5990,Pair28_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5991,Pair29_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5992,Pair31_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5995,Pair34_5,ENST00000591996.1,100.0,16,5,20,287,302,0.38,plus,ENST00000591996.1,PGS1,True,True
