,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
192,Pair0_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
193,Pair0_3,ENST00000487267.5,100.0,20,1,20,433,414,0.002,minus,ENST00000487267.5,IL13,True,True
194,Pair1_5,ENST00000487267.5,100.0,18,1,18,335,352,0.015,plus,ENST00000487267.5,IL13,True,True
195,Pair1_3,ENST00000487267.5,100.0,20,1,20,433,414,0.002,minus,ENST00000487267.5,IL13,True,True
196,Pair2_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
197,Pair2_3,ENST00000487267.5,100.0,21,1,21,435,415,0.000398,minus,ENST00000487267.5,IL13,True,True
198,Pair3_5,ENST00000487267.5,100.0,18,1,18,335,352,0.015,plus,ENST00000487267.5,IL13,True,True
199,Pair3_3,ENST00000487267.5,100.0,21,1,21,435,415,0.000398,minus,ENST00000487267.5,IL13,True,True
200,Pair4_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
201,Pair4_3,ENST00000487267.5,100.0,22,1,22,436,415,0.000121,minus,ENST00000487267.5,IL13,True,True
202,Pair5_5,ENST00000487267.5,100.0,18,1,18,335,352,0.015,plus,ENST00000487267.5,IL13,True,True
203,Pair5_3,ENST00000487267.5,100.0,22,1,22,436,415,0.000121,minus,ENST00000487267.5,IL13,True,True
204,Pair6_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
205,Pair6_3,ENST00000487267.5,100.0,20,1,20,433,414,0.002,minus,ENST00000487267.5,IL13,True,True
206,Pair7_5,ENST00000487267.5,100.0,19,1,19,333,351,0.005,plus,ENST00000487267.5,IL13,True,True
207,Pair7_3,ENST00000487267.5,100.0,20,1,20,433,414,0.002,minus,ENST00000487267.5,IL13,True,True
208,Pair8_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
209,Pair8_3,ENST00000487267.5,100.0,22,1,22,435,414,0.000121,minus,ENST00000487267.5,IL13,True,True
210,Pair9_5,ENST00000487267.5,100.0,18,1,18,335,352,0.015,plus,ENST00000487267.5,IL13,True,True
211,Pair9_3,ENST00000487267.5,100.0,22,1,22,435,414,0.000121,minus,ENST00000487267.5,IL13,True,True
212,Pair10_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
213,Pair10_3,ENST00000487267.5,100.0,22,1,22,433,412,0.000121,minus,ENST00000487267.5,IL13,True,True
214,Pair11_5,ENST00000487267.5,100.0,18,1,18,335,352,0.015,plus,ENST00000487267.5,IL13,True,True
215,Pair11_3,ENST00000487267.5,100.0,22,1,22,433,412,0.000121,minus,ENST00000487267.5,IL13,True,True
216,Pair12_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
217,Pair12_3,ENST00000487267.5,100.0,21,1,21,435,415,0.000398,minus,ENST00000487267.5,IL13,True,True
218,Pair13_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
219,Pair13_3,ENST00000487267.5,100.0,22,1,22,436,415,0.000121,minus,ENST00000487267.5,IL13,True,True
220,Pair14_5,ENST00000487267.5,100.0,19,1,19,336,354,0.005,plus,ENST00000487267.5,IL13,True,True
221,Pair14_3,ENST00000487267.5,100.0,20,1,20,433,414,0.002,minus,ENST00000487267.5,IL13,True,True
222,Pair15_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
223,Pair15_3,ENST00000487267.5,100.0,21,1,21,434,414,0.000398,minus,ENST00000487267.5,IL13,True,True
224,Pair16_3,ENST00000487267.5,100.0,20,1,20,376,357,0.002,minus,ENST00000487267.5,IL13,True,True
225,Pair17_3,ENST00000487267.5,100.0,20,1,20,376,357,0.002,minus,ENST00000487267.5,IL13,True,True
226,Pair18_3,ENST00000487267.5,100.0,20,1,20,376,357,0.002,minus,ENST00000487267.5,IL13,True,True
227,Pair19_3,ENST00000487267.5,100.0,20,1,20,376,357,0.002,minus,ENST00000487267.5,IL13,True,True
228,Pair20_3,ENST00000487267.5,100.0,20,1,20,376,357,0.002,minus,ENST00000487267.5,IL13,True,True
229,Pair21_3,ENST00000487267.5,100.0,20,1,20,382,363,0.002,minus,ENST00000487267.5,IL13,True,True
230,Pair22_3,ENST00000487267.5,100.0,20,1,20,376,357,0.002,minus,ENST00000487267.5,IL13,True,True
231,Pair23_3,ENST00000487267.5,100.0,20,1,20,382,363,0.002,minus,ENST00000487267.5,IL13,True,True
232,Pair24_3,ENST00000487267.5,100.0,21,1,21,383,363,0.000398,minus,ENST00000487267.5,IL13,True,True
233,Pair25_3,ENST00000487267.5,100.0,20,1,20,382,363,0.002,minus,ENST00000487267.5,IL13,True,True
234,Pair26_3,ENST00000487267.5,100.0,21,1,21,383,363,0.000398,minus,ENST00000487267.5,IL13,True,True
235,Pair27_3,ENST00000487267.5,100.0,20,1,20,382,363,0.002,minus,ENST00000487267.5,IL13,True,True
