,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1249,Pair0_5,ENST00000508559.1,95.0,20,1,20,201,220,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1250,Pair0_3,ENST00000508559.1,95.0,20,1,20,323,304,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1251,Pair1_5,ENST00000508559.1,95.0,20,1,20,304,323,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1252,Pair1_3,ENST00000508559.1,100.0,20,1,20,402,383,0.002,minus,ENST00000508559.1,BRCC3P1,True,True
1253,Pair2_5,ENST00000508559.1,95.0,20,1,20,201,220,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1254,Pair2_3,ENST00000508559.1,95.0,20,1,20,332,313,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1255,Pair3_5,ENST00000508559.1,95.0,20,1,20,304,323,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1256,Pair3_3,ENST00000508559.1,100.0,21,1,21,402,382,0.000398,minus,ENST00000508559.1,BRCC3P1,True,True
1257,Pair4_5,ENST00000508559.1,95.0,20,1,20,304,323,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1258,Pair4_3,ENST00000508559.1,100.0,21,1,21,403,383,0.000398,minus,ENST00000508559.1,BRCC3P1,True,True
1259,Pair5_5,ENST00000508559.1,95.0,20,1,20,201,220,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1260,Pair5_3,ENST00000508559.1,95.0,20,1,20,331,312,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1262,Pair6_3,ENST00000508559.1,100.0,20,1,20,402,383,0.002,minus,ENST00000508559.1,BRCC3P1,True,True
1264,Pair7_3,ENST00000508559.1,100.0,20,1,20,402,383,0.002,minus,ENST00000508559.1,BRCC3P1,True,True
1265,Pair8_5,ENST00000508559.1,95.238,21,1,21,201,221,0.097,plus,ENST00000508559.1,BRCC3P1,True,True
1266,Pair8_3,ENST00000508559.1,95.0,20,1,20,323,304,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1267,Pair9_5,ENST00000508559.1,95.238,21,1,21,200,220,0.097,plus,ENST00000508559.1,BRCC3P1,True,True
1268,Pair9_3,ENST00000508559.1,95.0,20,1,20,323,304,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1269,Pair10_5,ENST00000508559.1,95.0,20,1,20,303,322,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1270,Pair10_3,ENST00000508559.1,100.0,20,1,20,402,383,0.002,minus,ENST00000508559.1,BRCC3P1,True,True
1271,Pair11_5,ENST00000508559.1,95.0,20,1,20,201,220,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1272,Pair11_3,ENST00000508559.1,95.0,20,1,20,330,311,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1273,Pair12_5,ENST00000508559.1,95.0,20,1,20,304,323,0.38,plus,ENST00000508559.1,BRCC3P1,True,True
1274,Pair12_3,ENST00000508559.1,100.0,21,1,21,404,384,0.000398,minus,ENST00000508559.1,BRCC3P1,True,True
1275,Pair13_5,ENST00000508559.1,95.238,21,1,21,198,218,0.097,plus,ENST00000508559.1,BRCC3P1,True,True
1276,Pair13_3,ENST00000508559.1,95.0,20,1,20,323,304,0.38,minus,ENST00000508559.1,BRCC3P1,True,True
1278,Pair14_3,ENST00000508559.1,100.0,21,1,21,402,382,0.000398,minus,ENST00000508559.1,BRCC3P1,True,True
1280,Pair15_3,ENST00000508559.1,100.0,21,1,21,403,383,0.000398,minus,ENST00000508559.1,BRCC3P1,True,True
1281,Pair16_5,ENST00000508559.1,100.0,20,1,20,292,311,0.002,plus,ENST00000508559.1,BRCC3P1,True,True
1282,Pair16_3,ENST00000508559.1,100.0,20,1,20,402,383,0.002,minus,ENST00000508559.1,BRCC3P1,True,True
1283,Pair17_3,ENST00000508559.1,100.0,20,1,20,402,383,0.002,minus,ENST00000508559.1,BRCC3P1,True,True
