,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
1,Pair0_3,ENST00000438766.1,91.667,24,1,24,685,662,0.61,minus,ENST00000438766.1,YY1P2,True,True
2,Pair1_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
3,Pair1_3,ENST00000438766.1,92.0,25,1,25,686,662,0.17,minus,ENST00000438766.1,YY1P2,True,True
4,Pair2_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
5,Pair2_3,ENST00000438766.1,92.0,25,1,25,687,663,0.17,minus,ENST00000438766.1,YY1P2,True,True
6,Pair3_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
7,Pair3_3,ENST00000438766.1,91.667,24,1,24,687,664,0.61,minus,ENST00000438766.1,YY1P2,True,True
8,Pair4_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
9,Pair4_3,ENST00000438766.1,91.667,24,1,24,686,663,0.61,minus,ENST00000438766.1,YY1P2,True,True
10,Pair5_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
11,Pair5_3,ENST00000438766.1,91.667,24,1,24,685,662,0.61,minus,ENST00000438766.1,YY1P2,True,True
12,Pair6_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
13,Pair6_3,ENST00000438766.1,91.667,24,1,24,685,662,0.61,minus,ENST00000438766.1,YY1P2,True,True
14,Pair7_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
15,Pair7_3,ENST00000438766.1,92.0,25,1,25,686,662,0.17,minus,ENST00000438766.1,YY1P2,True,True
16,Pair8_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
17,Pair8_3,ENST00000438766.1,92.0,25,1,25,687,663,0.17,minus,ENST00000438766.1,YY1P2,True,True
18,Pair9_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
19,Pair9_3,ENST00000438766.1,92.0,25,1,25,686,662,0.17,minus,ENST00000438766.1,YY1P2,True,True
20,Pair10_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
21,Pair10_3,ENST00000438766.1,92.0,25,1,25,687,663,0.17,minus,ENST00000438766.1,YY1P2,True,True
22,Pair11_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
23,Pair11_3,ENST00000438766.1,100.0,18,1,18,690,673,0.039,minus,ENST00000438766.1,YY1P2,True,True
24,Pair12_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
25,Pair12_3,ENST00000438766.1,100.0,19,1,19,691,673,0.01,minus,ENST00000438766.1,YY1P2,True,True
26,Pair13_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
27,Pair13_3,ENST00000438766.1,91.667,24,1,24,687,664,0.61,minus,ENST00000438766.1,YY1P2,True,True
28,Pair14_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
29,Pair14_3,ENST00000438766.1,91.667,24,1,24,686,663,0.61,minus,ENST00000438766.1,YY1P2,True,True
30,Pair15_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
31,Pair15_3,ENST00000438766.1,91.667,24,1,24,687,664,0.61,minus,ENST00000438766.1,YY1P2,True,True
32,Pair16_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
33,Pair16_3,ENST00000438766.1,91.667,24,1,24,686,663,0.61,minus,ENST00000438766.1,YY1P2,True,True
34,Pair17_5,ENST00000438766.1,100.0,21,1,21,561,581,0.000398,plus,ENST00000438766.1,YY1P2,True,True
35,Pair17_3,ENST00000438766.1,91.667,24,1,24,685,662,0.61,minus,ENST00000438766.1,YY1P2,True,True
36,Pair18_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
37,Pair18_3,ENST00000438766.1,92.0,25,1,25,688,664,0.17,minus,ENST00000438766.1,YY1P2,True,True
38,Pair19_5,ENST00000438766.1,100.0,21,1,21,561,581,0.000398,plus,ENST00000438766.1,YY1P2,True,True
39,Pair19_3,ENST00000438766.1,92.0,25,1,25,686,662,0.17,minus,ENST00000438766.1,YY1P2,True,True
40,Pair20_5,ENST00000438766.1,100.0,21,1,21,561,581,0.000398,plus,ENST00000438766.1,YY1P2,True,True
41,Pair20_3,ENST00000438766.1,92.0,25,1,25,687,663,0.17,minus,ENST00000438766.1,YY1P2,True,True
42,Pair21_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
43,Pair21_3,ENST00000438766.1,100.0,18,1,18,690,673,0.039,minus,ENST00000438766.1,YY1P2,True,True
44,Pair22_5,ENST00000438766.1,100.0,20,1,20,562,581,0.002,plus,ENST00000438766.1,YY1P2,True,True
45,Pair22_3,ENST00000438766.1,100.0,19,1,19,691,673,0.01,minus,ENST00000438766.1,YY1P2,True,True
46,Pair23_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
47,Pair23_3,ENST00000438766.1,100.0,18,1,18,690,673,0.039,minus,ENST00000438766.1,YY1P2,True,True
48,Pair24_5,ENST00000438766.1,100.0,20,2,21,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
49,Pair24_3,ENST00000438766.1,100.0,19,1,19,691,673,0.01,minus,ENST00000438766.1,YY1P2,True,True
53,Pair39_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
54,Pair40_5,ENST00000438766.1,100.0,20,1,20,561,580,0.002,plus,ENST00000438766.1,YY1P2,True,True
2914,Pair25_5,ENST00000618147.1,95.0,20,1,20,572,591,0.38,plus,ENST00000618147.1,ZFP42,True,True
2915,Pair26_5,ENST00000618147.1,95.0,20,1,20,572,591,0.38,plus,ENST00000618147.1,ZFP42,True,True
2916,Pair27_5,ENST00000618147.1,95.0,20,1,20,571,590,0.38,plus,ENST00000618147.1,ZFP42,True,True
2917,Pair28_5,ENST00000618147.1,95.0,20,1,20,571,590,0.38,plus,ENST00000618147.1,ZFP42,True,True
2918,Pair31_5,ENST00000618147.1,95.0,20,1,20,572,591,0.38,plus,ENST00000618147.1,ZFP42,True,True
2919,Pair32_5,ENST00000618147.1,95.0,20,1,20,572,591,0.38,plus,ENST00000618147.1,ZFP42,True,True
2922,Pair43_5,ENST00000618147.1,95.0,20,1,20,571,590,0.38,plus,ENST00000618147.1,ZFP42,True,True
2923,Pair44_5,ENST00000618147.1,95.0,20,1,20,571,590,0.38,plus,ENST00000618147.1,ZFP42,True,True
2924,Pair45_5,ENST00000618147.1,95.0,20,1,20,572,591,0.38,plus,ENST00000618147.1,ZFP42,True,True
2925,Pair46_5,ENST00000618147.1,95.0,20,1,20,572,591,0.38,plus,ENST00000618147.1,ZFP42,True,True
2926,Pair47_5,ENST00000618147.1,95.238,21,1,21,570,590,0.097,plus,ENST00000618147.1,ZFP42,True,True
2927,Pair48_5,ENST00000618147.1,95.238,21,1,21,570,590,0.097,plus,ENST00000618147.1,ZFP42,True,True
2930,Pair59_3,ENST00000618147.1,95.0,20,1,20,767,748,0.38,minus,ENST00000618147.1,ZFP42,True,True
2931,Pair60_3,ENST00000618147.1,95.0,20,1,20,768,749,0.38,minus,ENST00000618147.1,ZFP42,True,True
2935,Pair68_3,ENST00000618147.1,95.0,20,1,20,767,748,0.38,minus,ENST00000618147.1,ZFP42,True,True
2936,Pair69_3,ENST00000618147.1,95.0,20,1,20,768,749,0.38,minus,ENST00000618147.1,ZFP42,True,True
2937,Pair70_3,ENST00000618147.1,95.0,20,1,20,767,748,0.38,minus,ENST00000618147.1,ZFP42,True,True
2938,Pair71_3,ENST00000618147.1,95.0,20,1,20,768,749,0.38,minus,ENST00000618147.1,ZFP42,True,True
2943,Pair85_3,ENST00000618147.1,95.0,20,1,20,767,748,0.38,minus,ENST00000618147.1,ZFP42,True,True
2944,Pair86_3,ENST00000618147.1,95.0,20,1,20,768,749,0.38,minus,ENST00000618147.1,ZFP42,True,True
2945,Pair87_3,ENST00000618147.1,95.0,20,1,20,767,748,0.38,minus,ENST00000618147.1,ZFP42,True,True
2946,Pair88_3,ENST00000618147.1,95.0,20,1,20,768,749,0.38,minus,ENST00000618147.1,ZFP42,True,True
2969,Pair25_5,ENST00000326866.5,95.0,20,1,20,880,899,0.38,plus,ENST00000326866.5,ZFP42,True,True
