,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
653,Pair0_5,ENST00000675701.1,100.0,17,7,23,1741,1757,0.14,plus,ENST00000675701.1,GATM,True,True
657,Pair4_5,ENST00000675701.1,100.0,17,7,23,1741,1757,0.14,plus,ENST00000675701.1,GATM,True,True
664,Pair0_5,ENST00000674905.1,100.0,17,7,23,1819,1835,0.14,plus,ENST00000674905.1,GATM,True,True
668,Pair4_5,ENST00000674905.1,100.0,17,7,23,1819,1835,0.14,plus,ENST00000674905.1,GATM,True,True
675,Pair0_5,ENST00000675974.1,100.0,17,7,23,4089,4105,0.14,plus,ENST00000675974.1,GATM,True,True
679,Pair4_5,ENST00000675974.1,100.0,17,7,23,4089,4105,0.14,plus,ENST00000675974.1,GATM,True,True
686,Pair0_5,ENST00000675158.1,100.0,17,7,23,1615,1631,0.14,plus,ENST00000675158.1,GATM,True,True
690,Pair4_5,ENST00000675158.1,100.0,17,7,23,1615,1631,0.14,plus,ENST00000675158.1,GATM,True,True
697,Pair0_5,ENST00000675323.1,100.0,17,7,23,3309,3325,0.14,plus,ENST00000675323.1,GATM,True,True
701,Pair4_5,ENST00000675323.1,100.0,17,7,23,3309,3325,0.14,plus,ENST00000675323.1,GATM,True,True
708,Pair0_5,ENST00000676090.1,100.0,17,7,23,2876,2892,0.14,plus,ENST00000676090.1,GATM,True,True
712,Pair4_5,ENST00000676090.1,100.0,17,7,23,2876,2892,0.14,plus,ENST00000676090.1,GATM,True,True
719,Pair0_5,ENST00000558362.5,100.0,17,7,23,3196,3212,0.14,plus,ENST00000558362.5,GATM,True,True
723,Pair4_5,ENST00000558362.5,100.0,17,7,23,3196,3212,0.14,plus,ENST00000558362.5,GATM,True,True
730,Pair0_5,ENST00000396659.8,100.0,17,7,23,1631,1647,0.14,plus,ENST00000396659.8,GATM,True,True
734,Pair4_5,ENST00000396659.8,100.0,17,7,23,1631,1647,0.14,plus,ENST00000396659.8,GATM,True,True
742,Pair2_5,ENST00000452512.6,100.0,15,1,15,2272,2258,1.5,minus,ENST00000452512.6,TYW5,True,True
745,Pair6_5,ENST00000452512.6,100.0,15,1,15,2272,2258,1.5,minus,ENST00000452512.6,TYW5,True,True
750,Pair2_5,ENST00000483328.5,100.0,15,1,15,2644,2630,1.5,minus,ENST00000483328.5,TYW5,True,True
753,Pair6_5,ENST00000483328.5,100.0,15,1,15,2644,2630,1.5,minus,ENST00000483328.5,TYW5,True,True
758,Pair2_5,ENST00000354611.9,100.0,15,1,15,2418,2404,1.5,minus,ENST00000354611.9,TYW5,True,True
761,Pair6_5,ENST00000354611.9,100.0,15,1,15,2418,2404,1.5,minus,ENST00000354611.9,TYW5,True,True
