,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
956,Pair1_3,ENST00000318203.9,100.0,15,1,15,1134,1120,1.5,minus,ENST00000318203.9,ZSCAN4,True,True
958,Pair3_3,ENST00000318203.9,100.0,15,1,15,1134,1120,1.5,minus,ENST00000318203.9,ZSCAN4,True,True
961,Pair6_3,ENST00000318203.9,100.0,15,1,15,1134,1120,1.5,minus,ENST00000318203.9,ZSCAN4,True,True
963,Pair29_3,ENST00000318203.9,100.0,15,1,15,1134,1120,1.5,minus,ENST00000318203.9,ZSCAN4,True,True
965,Pair31_3,ENST00000318203.9,100.0,15,1,15,1134,1120,1.5,minus,ENST00000318203.9,ZSCAN4,True,True
968,Pair34_3,ENST00000318203.9,100.0,15,1,15,1134,1120,1.5,minus,ENST00000318203.9,ZSCAN4,True,True
2470,Pair9_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
2471,Pair10_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
2474,Pair13_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
2477,Pair16_5,ENST00000559695.1,100.0,16,1,16,628,613,0.38,minus,ENST00000559695.1,,True,True
2478,Pair17_5,ENST00000559695.1,100.0,16,1,16,628,613,0.38,minus,ENST00000559695.1,,True,True
2479,Pair21_5,ENST00000559695.1,100.0,16,1,16,628,613,0.38,minus,ENST00000559695.1,,True,True
2484,Pair37_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
2485,Pair38_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
2488,Pair41_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
3655,Pair14_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
3657,Pair16_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
3659,Pair18_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
3660,Pair19_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
3662,Pair14_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
3664,Pair16_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
3666,Pair18_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
3667,Pair19_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
3669,Pair14_3,ENST00000396285.5,100.0,15,4,18,4604,4618,0.91,plus,ENST00000396285.5,TRPM3,True,True
