,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
640,Pair11_5,ENST00000580168.5,100.0,17,4,20,4790,4806,0.097,plus,ENST00000580168.5,HELZ,True,True
641,Pair15_5,ENST00000580168.5,100.0,17,4,20,4790,4806,0.097,plus,ENST00000580168.5,HELZ,True,True
642,Pair25_5,ENST00000580168.5,100.0,16,5,20,4790,4805,0.38,plus,ENST00000580168.5,HELZ,True,True
643,Pair34_5,ENST00000580168.5,100.0,16,5,20,4790,4805,0.38,plus,ENST00000580168.5,HELZ,True,True
644,Pair40_5,ENST00000580168.5,100.0,17,4,20,4790,4806,0.097,plus,ENST00000580168.5,HELZ,True,True
645,Pair48_5,ENST00000580168.5,100.0,16,5,20,4790,4805,0.38,plus,ENST00000580168.5,HELZ,True,True
649,Pair11_5,ENST00000579953.5,100.0,17,4,20,4833,4849,0.097,plus,ENST00000579953.5,HELZ,True,True
650,Pair15_5,ENST00000579953.5,100.0,17,4,20,4833,4849,0.097,plus,ENST00000579953.5,HELZ,True,True
651,Pair25_5,ENST00000579953.5,100.0,16,5,20,4833,4848,0.38,plus,ENST00000579953.5,HELZ,True,True
652,Pair34_5,ENST00000579953.5,100.0,16,5,20,4833,4848,0.38,plus,ENST00000579953.5,HELZ,True,True
653,Pair40_5,ENST00000579953.5,100.0,17,4,20,4833,4849,0.097,plus,ENST00000579953.5,HELZ,True,True
654,Pair48_5,ENST00000579953.5,100.0,16,5,20,4833,4848,0.38,plus,ENST00000579953.5,HELZ,True,True
658,Pair11_5,ENST00000358691.10,100.0,17,4,20,4800,4816,0.097,plus,ENST00000358691.10,HELZ,True,True
659,Pair15_5,ENST00000358691.10,100.0,17,4,20,4800,4816,0.097,plus,ENST00000358691.10,HELZ,True,True
660,Pair25_5,ENST00000358691.10,100.0,16,5,20,4800,4815,0.38,plus,ENST00000358691.10,HELZ,True,True
661,Pair34_5,ENST00000358691.10,100.0,16,5,20,4800,4815,0.38,plus,ENST00000358691.10,HELZ,True,True
