,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
780,Pair0_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
781,Pair1_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
782,Pair2_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
783,Pair3_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
784,Pair4_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
785,Pair5_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
786,Pair6_3,ENST00000586713.5,100.0,20,1,20,618,637,0.002,plus,ENST00000586713.5,CEP295NL,True,True
787,Pair7_3,ENST00000586713.5,100.0,20,1,20,618,637,0.002,plus,ENST00000586713.5,CEP295NL,True,True
788,Pair8_3,ENST00000586713.5,100.0,20,1,20,617,636,0.002,plus,ENST00000586713.5,CEP295NL,True,True
789,Pair9_3,ENST00000586713.5,100.0,20,1,20,617,636,0.002,plus,ENST00000586713.5,CEP295NL,True,True
790,Pair10_3,ENST00000586713.5,100.0,20,1,20,619,638,0.002,plus,ENST00000586713.5,CEP295NL,True,True
791,Pair11_3,ENST00000586713.5,100.0,20,1,20,619,638,0.002,plus,ENST00000586713.5,CEP295NL,True,True
792,Pair12_3,ENST00000586713.5,100.0,20,1,20,618,637,0.002,plus,ENST00000586713.5,CEP295NL,True,True
793,Pair13_3,ENST00000586713.5,100.0,20,1,20,618,637,0.002,plus,ENST00000586713.5,CEP295NL,True,True
794,Pair14_3,ENST00000586713.5,100.0,20,1,20,617,636,0.002,plus,ENST00000586713.5,CEP295NL,True,True
795,Pair15_3,ENST00000586713.5,100.0,20,1,20,617,636,0.002,plus,ENST00000586713.5,CEP295NL,True,True
796,Pair16_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
797,Pair17_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
798,Pair18_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
799,Pair19_3,ENST00000586713.5,100.0,20,1,20,619,638,0.002,plus,ENST00000586713.5,CEP295NL,True,True
800,Pair20_3,ENST00000586713.5,100.0,20,1,20,619,638,0.002,plus,ENST00000586713.5,CEP295NL,True,True
801,Pair21_3,ENST00000586713.5,100.0,21,1,21,618,638,0.000398,plus,ENST00000586713.5,CEP295NL,True,True
802,Pair22_3,ENST00000586713.5,100.0,21,1,21,618,638,0.000398,plus,ENST00000586713.5,CEP295NL,True,True
803,Pair23_3,ENST00000586713.5,100.0,20,1,20,618,637,0.002,plus,ENST00000586713.5,CEP295NL,True,True
804,Pair24_3,ENST00000586713.5,100.0,20,1,20,617,636,0.002,plus,ENST00000586713.5,CEP295NL,True,True
805,Pair25_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
806,Pair26_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
807,Pair27_3,ENST00000586713.5,100.0,20,1,20,618,637,0.002,plus,ENST00000586713.5,CEP295NL,True,True
808,Pair28_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
809,Pair29_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
810,Pair30_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
811,Pair31_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
812,Pair32_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
813,Pair33_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
814,Pair34_3,ENST00000586713.5,100.0,20,1,20,645,664,0.002,plus,ENST00000586713.5,CEP295NL,True,True
815,Pair35_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
816,Pair36_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
817,Pair37_3,ENST00000586713.5,100.0,20,1,20,642,661,0.002,plus,ENST00000586713.5,CEP295NL,True,True
818,Pair38_3,ENST00000586713.5,100.0,21,1,21,641,661,0.000398,plus,ENST00000586713.5,CEP295NL,True,True
819,Pair39_3,ENST00000586713.5,100.0,20,1,20,642,661,0.002,plus,ENST00000586713.5,CEP295NL,True,True
820,Pair40_3,ENST00000586713.5,100.0,21,1,21,641,661,0.000398,plus,ENST00000586713.5,CEP295NL,True,True
821,Pair41_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
822,Pair42_3,ENST00000586713.5,100.0,20,1,20,643,662,0.002,plus,ENST00000586713.5,CEP295NL,True,True
823,Pair43_3,ENST00000586713.5,100.0,20,1,20,644,663,0.002,plus,ENST00000586713.5,CEP295NL,True,True
