,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
192,Pair0_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
193,Pair0_3,ENST00000487267.5,100.0,20,1,20,440,421,0.002,minus,ENST00000487267.5,IL13,True,True
194,Pair1_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
195,Pair1_3,ENST00000487267.5,100.0,20,1,20,472,453,0.002,minus,ENST00000487267.5,IL13,True,True
196,Pair2_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
197,Pair2_3,ENST00000487267.5,100.0,20,1,20,471,452,0.002,minus,ENST00000487267.5,IL13,True,True
198,Pair3_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
199,Pair3_3,ENST00000487267.5,100.0,20,1,20,473,454,0.002,minus,ENST00000487267.5,IL13,True,True
200,Pair4_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
201,Pair4_3,ENST00000487267.5,100.0,20,1,20,465,446,0.002,minus,ENST00000487267.5,IL13,True,True
202,Pair5_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
203,Pair5_3,ENST00000487267.5,100.0,20,1,20,428,409,0.002,minus,ENST00000487267.5,IL13,True,True
204,Pair6_5,ENST00000487267.5,100.0,19,1,19,333,351,0.005,plus,ENST00000487267.5,IL13,True,True
205,Pair6_3,ENST00000487267.5,100.0,20,1,20,440,421,0.002,minus,ENST00000487267.5,IL13,True,True
206,Pair7_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
207,Pair7_3,ENST00000487267.5,100.0,20,1,20,470,451,0.002,minus,ENST00000487267.5,IL13,True,True
208,Pair8_5,ENST00000487267.5,100.0,19,1,19,333,351,0.005,plus,ENST00000487267.5,IL13,True,True
209,Pair8_3,ENST00000487267.5,100.0,20,1,20,472,453,0.002,minus,ENST00000487267.5,IL13,True,True
210,Pair9_5,ENST00000487267.5,100.0,19,1,19,333,351,0.005,plus,ENST00000487267.5,IL13,True,True
211,Pair9_3,ENST00000487267.5,100.0,20,1,20,471,452,0.002,minus,ENST00000487267.5,IL13,True,True
212,Pair10_5,ENST00000487267.5,100.0,19,1,19,333,351,0.005,plus,ENST00000487267.5,IL13,True,True
213,Pair10_3,ENST00000487267.5,100.0,20,1,20,473,454,0.002,minus,ENST00000487267.5,IL13,True,True
214,Pair11_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
215,Pair11_3,ENST00000487267.5,100.0,20,1,20,480,461,0.002,minus,ENST00000487267.5,IL13,True,True
216,Pair12_5,ENST00000487267.5,100.0,19,1,19,332,350,0.005,plus,ENST00000487267.5,IL13,True,True
217,Pair12_3,ENST00000487267.5,100.0,20,1,20,481,462,0.002,minus,ENST00000487267.5,IL13,True,True
218,Pair13_5,ENST00000487267.5,100.0,19,1,19,333,351,0.005,plus,ENST00000487267.5,IL13,True,True
219,Pair13_3,ENST00000487267.5,100.0,20,1,20,465,446,0.002,minus,ENST00000487267.5,IL13,True,True
220,Pair14_5,ENST00000487267.5,100.0,18,1,18,337,354,0.015,plus,ENST00000487267.5,IL13,True,True
221,Pair14_3,ENST00000487267.5,100.0,20,1,20,440,421,0.002,minus,ENST00000487267.5,IL13,True,True
222,Pair15_5,ENST00000487267.5,100.0,18,1,18,336,353,0.015,plus,ENST00000487267.5,IL13,True,True
223,Pair15_3,ENST00000487267.5,100.0,20,1,20,440,421,0.002,minus,ENST00000487267.5,IL13,True,True
224,Pair16_3,ENST00000487267.5,100.0,20,1,20,394,375,0.002,minus,ENST00000487267.5,IL13,True,True
225,Pair17_3,ENST00000487267.5,100.0,20,1,20,381,362,0.002,minus,ENST00000487267.5,IL13,True,True
226,Pair18_3,ENST00000487267.5,100.0,20,1,20,401,382,0.002,minus,ENST00000487267.5,IL13,True,True
227,Pair19_5,ENST00000487267.5,100.0,20,1,20,299,318,0.002,plus,ENST00000487267.5,IL13,True,True
228,Pair19_3,ENST00000487267.5,100.0,20,1,20,440,421,0.002,minus,ENST00000487267.5,IL13,True,True
229,Pair20_5,ENST00000487267.5,100.0,20,1,20,298,317,0.002,plus,ENST00000487267.5,IL13,True,True
230,Pair20_3,ENST00000487267.5,100.0,20,1,20,440,421,0.002,minus,ENST00000487267.5,IL13,True,True
231,Pair21_5,ENST00000487267.5,100.0,20,1,20,299,318,0.002,plus,ENST00000487267.5,IL13,True,True
232,Pair21_3,ENST00000487267.5,100.0,20,1,20,406,387,0.002,minus,ENST00000487267.5,IL13,True,True
233,Pair22_5,ENST00000487267.5,100.0,20,1,20,298,317,0.002,plus,ENST00000487267.5,IL13,True,True
234,Pair22_3,ENST00000487267.5,100.0,20,1,20,406,387,0.002,minus,ENST00000487267.5,IL13,True,True
235,Pair23_5,ENST00000487267.5,100.0,20,1,20,299,318,0.002,plus,ENST00000487267.5,IL13,True,True
236,Pair23_3,ENST00000487267.5,100.0,20,1,20,394,375,0.002,minus,ENST00000487267.5,IL13,True,True
237,Pair24_5,ENST00000487267.5,100.0,20,1,20,298,317,0.002,plus,ENST00000487267.5,IL13,True,True
238,Pair24_3,ENST00000487267.5,100.0,20,1,20,394,375,0.002,minus,ENST00000487267.5,IL13,True,True
239,Pair25_5,ENST00000487267.5,100.0,20,1,20,299,318,0.002,plus,ENST00000487267.5,IL13,True,True
240,Pair25_3,ENST00000487267.5,100.0,20,1,20,381,362,0.002,minus,ENST00000487267.5,IL13,True,True
241,Pair26_5,ENST00000487267.5,100.0,20,1,20,298,317,0.002,plus,ENST00000487267.5,IL13,True,True
242,Pair26_3,ENST00000487267.5,100.0,20,1,20,381,362,0.002,minus,ENST00000487267.5,IL13,True,True
243,Pair27_3,ENST00000487267.5,100.0,20,1,20,406,387,0.002,minus,ENST00000487267.5,IL13,True,True
244,Pair28_3,ENST00000487267.5,100.0,20,1,20,394,375,0.002,minus,ENST00000487267.5,IL13,True,True
245,Pair29_3,ENST00000487267.5,100.0,20,1,20,394,375,0.002,minus,ENST00000487267.5,IL13,True,True
246,Pair30_3,ENST00000487267.5,100.0,20,1,20,381,362,0.002,minus,ENST00000487267.5,IL13,True,True
247,Pair31_3,ENST00000487267.5,100.0,20,1,20,381,362,0.002,minus,ENST00000487267.5,IL13,True,True
248,Pair32_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
249,Pair32_3,ENST00000487267.5,100.0,20,1,20,512,493,0.002,minus,ENST00000487267.5,IL13,True,True
250,Pair33_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
251,Pair33_3,ENST00000487267.5,100.0,20,1,20,472,453,0.002,minus,ENST00000487267.5,IL13,True,True
252,Pair34_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
253,Pair34_3,ENST00000487267.5,100.0,20,1,20,471,452,0.002,minus,ENST00000487267.5,IL13,True,True
254,Pair35_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
255,Pair35_3,ENST00000487267.5,100.0,20,1,20,473,454,0.002,minus,ENST00000487267.5,IL13,True,True
256,Pair36_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
257,Pair36_3,ENST00000487267.5,100.0,20,1,20,538,519,0.002,minus,ENST00000487267.5,IL13,True,True
258,Pair37_5,ENST00000487267.5,100.0,20,1,20,386,405,0.002,plus,ENST00000487267.5,IL13,True,True
259,Pair37_3,ENST00000487267.5,100.0,20,1,20,512,493,0.002,minus,ENST00000487267.5,IL13,True,True
260,Pair38_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
261,Pair38_3,ENST00000487267.5,100.0,20,1,20,544,525,0.002,minus,ENST00000487267.5,IL13,True,True
262,Pair39_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
263,Pair39_3,ENST00000487267.5,100.0,20,1,20,527,508,0.002,minus,ENST00000487267.5,IL13,True,True
264,Pair40_5,ENST00000487267.5,100.0,20,1,20,385,404,0.002,plus,ENST00000487267.5,IL13,True,True
265,Pair40_3,ENST00000487267.5,100.0,20,1,20,512,493,0.002,minus,ENST00000487267.5,IL13,True,True
266,Pair41_5,ENST00000487267.5,100.0,20,1,20,387,406,0.002,plus,ENST00000487267.5,IL13,True,True
267,Pair41_3,ENST00000487267.5,100.0,20,1,20,523,504,0.002,minus,ENST00000487267.5,IL13,True,True
268,Pair42_5,ENST00000487267.5,100.0,20,1,20,386,405,0.002,plus,ENST00000487267.5,IL13,True,True
269,Pair42_3,ENST00000487267.5,100.0,20,1,20,472,453,0.002,minus,ENST00000487267.5,IL13,True,True
270,Pair43_5,ENST00000487267.5,100.0,20,1,20,386,405,0.002,plus,ENST00000487267.5,IL13,True,True
271,Pair43_3,ENST00000487267.5,100.0,20,1,20,471,452,0.002,minus,ENST00000487267.5,IL13,True,True
272,Pair44_5,ENST00000487267.5,100.0,20,1,20,386,405,0.002,plus,ENST00000487267.5,IL13,True,True
273,Pair44_3,ENST00000487267.5,100.0,20,1,20,473,454,0.002,minus,ENST00000487267.5,IL13,True,True
274,Pair45_5,ENST00000487267.5,100.0,20,1,20,386,405,0.002,plus,ENST00000487267.5,IL13,True,True
275,Pair45_3,ENST00000487267.5,100.0,20,1,20,538,519,0.002,minus,ENST00000487267.5,IL13,True,True
276,Pair46_5,ENST00000487267.5,100.0,20,1,20,386,405,0.002,plus,ENST00000487267.5,IL13,True,True
277,Pair46_3,ENST00000487267.5,100.0,20,1,20,465,446,0.002,minus,ENST00000487267.5,IL13,True,True
278,Pair47_5,ENST00000487267.5,100.0,20,1,20,385,404,0.002,plus,ENST00000487267.5,IL13,True,True
279,Pair47_3,ENST00000487267.5,100.0,20,1,20,472,453,0.002,minus,ENST00000487267.5,IL13,True,True
280,Pair48_5,ENST00000487267.5,100.0,20,1,20,375,394,0.002,plus,ENST00000487267.5,IL13,True,True
281,Pair48_3,ENST00000487267.5,100.0,20,1,20,512,493,0.002,minus,ENST00000487267.5,IL13,True,True
282,Pair49_5,ENST00000487267.5,100.0,20,1,20,362,381,0.002,plus,ENST00000487267.5,IL13,True,True
283,Pair49_3,ENST00000487267.5,100.0,20,1,20,512,493,0.002,minus,ENST00000487267.5,IL13,True,True
284,Pair50_5,ENST00000487267.5,100.0,20,1,20,375,394,0.002,plus,ENST00000487267.5,IL13,True,True
285,Pair50_3,ENST00000487267.5,100.0,20,1,20,472,453,0.002,minus,ENST00000487267.5,IL13,True,True
286,Pair51_5,ENST00000487267.5,100.0,20,1,20,375,394,0.002,plus,ENST00000487267.5,IL13,True,True
287,Pair51_3,ENST00000487267.5,100.0,20,1,20,471,452,0.002,minus,ENST00000487267.5,IL13,True,True
288,Pair52_5,ENST00000487267.5,100.0,20,1,20,375,394,0.002,plus,ENST00000487267.5,IL13,True,True
289,Pair52_3,ENST00000487267.5,100.0,20,1,20,473,454,0.002,minus,ENST00000487267.5,IL13,True,True
