,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
76,Pair0_5,ENST00000287482.6,100.0,16,1,16,2323,2308,0.38,minus,ENST00000287482.6,SASS6,True,True
78,Pair2_5,ENST00000287482.6,100.0,16,1,16,2323,2308,0.46,minus,ENST00000287482.6,SASS6,True,True
79,Pair3_5,ENST00000287482.6,100.0,15,1,15,2322,2308,1.8,minus,ENST00000287482.6,SASS6,True,True
85,Pair0_5,ENST00000462159.1,100.0,16,1,16,2440,2425,0.38,minus,ENST00000462159.1,SASS6,True,True
87,Pair2_5,ENST00000462159.1,100.0,16,1,16,2440,2425,0.46,minus,ENST00000462159.1,SASS6,True,True
88,Pair3_5,ENST00000462159.1,100.0,15,1,15,2439,2425,1.8,minus,ENST00000462159.1,SASS6,True,True
95,Pair0_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
97,Pair1_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
99,Pair2_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
101,Pair3_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
102,Pair4_5,ENST00000463212.1,100.0,20,1,20,85,104,0.002,plus,ENST00000463212.1,KLHL17,True,True
103,Pair4_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
104,Pair5_5,ENST00000463212.1,100.0,20,1,20,81,100,0.002,plus,ENST00000463212.1,KLHL17,True,True
105,Pair5_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
106,Pair6_5,ENST00000463212.1,100.0,20,1,20,83,102,0.002,plus,ENST00000463212.1,KLHL17,True,True
107,Pair6_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
108,Pair7_5,ENST00000463212.1,100.0,20,1,20,85,104,0.002,plus,ENST00000463212.1,KLHL17,True,True
109,Pair7_3,ENST00000463212.1,100.0,19,1,19,340,322,0.005,minus,ENST00000463212.1,KLHL17,True,True
110,Pair8_5,ENST00000463212.1,100.0,18,1,18,71,88,0.015,plus,ENST00000463212.1,KLHL17,True,True
111,Pair8_3,ENST00000463212.1,100.0,18,1,18,317,300,0.015,minus,ENST00000463212.1,KLHL17,True,True
112,Pair9_5,ENST00000463212.1,100.0,20,1,20,85,104,0.002,plus,ENST00000463212.1,KLHL17,True,True
113,Pair9_3,ENST00000463212.1,100.0,20,1,20,340,321,0.002,minus,ENST00000463212.1,KLHL17,True,True
114,Pair10_5,ENST00000463212.1,100.0,20,1,20,81,100,0.002,plus,ENST00000463212.1,KLHL17,True,True
