,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000341028.8,100.0,20,1,20,69,50,0.002,minus,ENST00000341028.8,CDK11B,True,True
1,Pair1_5,ENST00000341028.8,100.0,20,1,20,68,49,0.002,minus,ENST00000341028.8,CDK11B,True,True
2,Pair2_5,ENST00000341028.8,100.0,21,1,21,70,50,0.000398,minus,ENST00000341028.8,CDK11B,True,True
3,Pair3_5,ENST00000341028.8,100.0,19,1,19,249,231,0.006,minus,ENST00000341028.8,CDK11B,True,True
4,Pair3_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
5,Pair4_5,ENST00000341028.8,100.0,20,1,20,250,231,0.002,minus,ENST00000341028.8,CDK11B,True,True
6,Pair4_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
7,Pair5_5,ENST00000341028.8,100.0,19,1,19,249,231,0.006,minus,ENST00000341028.8,CDK11B,True,True
8,Pair5_3,ENST00000341028.8,100.0,20,1,20,49,68,0.002,plus,ENST00000341028.8,CDK11B,True,True
9,Pair6_5,ENST00000341028.8,100.0,20,1,20,250,231,0.002,minus,ENST00000341028.8,CDK11B,True,True
10,Pair6_3,ENST00000341028.8,100.0,20,1,20,49,68,0.002,plus,ENST00000341028.8,CDK11B,True,True
11,Pair7_5,ENST00000341028.8,100.0,19,1,19,67,49,0.005,minus,ENST00000341028.8,CDK11B,True,True
12,Pair8_5,ENST00000341028.8,100.0,20,1,20,251,232,0.002,minus,ENST00000341028.8,CDK11B,True,True
13,Pair8_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
14,Pair9_5,ENST00000341028.8,100.0,20,1,20,251,232,0.002,minus,ENST00000341028.8,CDK11B,True,True
15,Pair9_3,ENST00000341028.8,100.0,20,1,20,49,68,0.002,plus,ENST00000341028.8,CDK11B,True,True
16,Pair10_5,ENST00000341028.8,100.0,21,1,21,71,51,0.000398,minus,ENST00000341028.8,CDK11B,True,True
17,Pair11_5,ENST00000341028.8,100.0,19,1,19,249,231,0.006,minus,ENST00000341028.8,CDK11B,True,True
18,Pair11_3,ENST00000341028.8,100.0,21,1,21,50,70,0.000398,plus,ENST00000341028.8,CDK11B,True,True
19,Pair12_5,ENST00000341028.8,100.0,20,1,20,250,231,0.002,minus,ENST00000341028.8,CDK11B,True,True
20,Pair12_3,ENST00000341028.8,100.0,21,1,21,50,70,0.000398,plus,ENST00000341028.8,CDK11B,True,True
21,Pair13_5,ENST00000341028.8,100.0,20,1,20,69,50,0.002,minus,ENST00000341028.8,CDK11B,True,True
22,Pair14_5,ENST00000341028.8,100.0,20,1,20,250,231,0.002,minus,ENST00000341028.8,CDK11B,True,True
23,Pair14_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
24,Pair15_5,ENST00000341028.8,100.0,20,1,20,252,233,0.002,minus,ENST00000341028.8,CDK11B,True,True
25,Pair15_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
26,Pair16_5,ENST00000341028.8,100.0,20,1,20,68,49,0.002,minus,ENST00000341028.8,CDK11B,True,True
27,Pair17_5,ENST00000341028.8,100.0,20,1,20,250,231,0.002,minus,ENST00000341028.8,CDK11B,True,True
28,Pair17_3,ENST00000341028.8,100.0,20,1,20,49,68,0.002,plus,ENST00000341028.8,CDK11B,True,True
29,Pair18_5,ENST00000341028.8,100.0,19,1,19,249,231,0.006,minus,ENST00000341028.8,CDK11B,True,True
30,Pair18_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
31,Pair19_5,ENST00000341028.8,100.0,20,1,20,252,233,0.002,minus,ENST00000341028.8,CDK11B,True,True
32,Pair19_3,ENST00000341028.8,100.0,20,1,20,49,68,0.002,plus,ENST00000341028.8,CDK11B,True,True
33,Pair20_5,ENST00000341028.8,100.0,19,1,19,249,231,0.006,minus,ENST00000341028.8,CDK11B,True,True
34,Pair20_3,ENST00000341028.8,100.0,20,1,20,49,68,0.002,plus,ENST00000341028.8,CDK11B,True,True
35,Pair21_5,ENST00000341028.8,100.0,20,1,20,69,50,0.002,minus,ENST00000341028.8,CDK11B,True,True
36,Pair22_5,ENST00000341028.8,100.0,19,1,19,249,231,0.006,minus,ENST00000341028.8,CDK11B,True,True
37,Pair22_3,ENST00000341028.8,100.0,19,1,19,49,67,0.005,plus,ENST00000341028.8,CDK11B,True,True
38,Pair23_5,ENST00000341028.8,100.0,20,1,20,250,231,0.002,minus,ENST00000341028.8,CDK11B,True,True
39,Pair23_3,ENST00000341028.8,100.0,19,1,19,49,67,0.005,plus,ENST00000341028.8,CDK11B,True,True
40,Pair24_5,ENST00000341028.8,100.0,21,1,21,155,135,0.000398,minus,ENST00000341028.8,CDK11B,True,True
41,Pair24_3,ENST00000341028.8,100.0,20,1,20,50,69,0.002,plus,ENST00000341028.8,CDK11B,True,True
42,Pair25_5,ENST00000341028.8,100.0,22,1,22,96,75,0.000121,minus,ENST00000341028.8,CDK11B,True,True
43,Pair26_5,ENST00000341028.8,100.0,22,1,22,95,74,0.000121,minus,ENST00000341028.8,CDK11B,True,True
44,Pair27_5,ENST00000341028.8,100.0,22,1,22,97,76,0.000121,minus,ENST00000341028.8,CDK11B,True,True
45,Pair28_5,ENST00000341028.8,100.0,22,1,22,96,75,0.000121,minus,ENST00000341028.8,CDK11B,True,True
46,Pair29_5,ENST00000341028.8,100.0,22,1,22,96,75,0.000121,minus,ENST00000341028.8,CDK11B,True,True
47,Pair30_5,ENST00000341028.8,100.0,21,1,21,155,135,0.000398,minus,ENST00000341028.8,CDK11B,True,True
48,Pair31_5,ENST00000341028.8,100.0,23,1,23,95,73,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
49,Pair32_5,ENST00000341028.8,100.0,23,1,23,98,76,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
50,Pair33_5,ENST00000341028.8,100.0,23,1,23,89,67,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
51,Pair34_5,ENST00000341028.8,100.0,23,1,23,91,69,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
52,Pair35_5,ENST00000341028.8,100.0,22,1,22,95,74,0.000121,minus,ENST00000341028.8,CDK11B,True,True
53,Pair36_5,ENST00000341028.8,100.0,21,1,21,156,136,0.000398,minus,ENST00000341028.8,CDK11B,True,True
54,Pair37_5,ENST00000341028.8,100.0,22,1,22,95,74,0.000121,minus,ENST00000341028.8,CDK11B,True,True
55,Pair38_5,ENST00000341028.8,100.0,23,1,23,93,71,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
56,Pair39_5,ENST00000341028.8,100.0,23,1,23,94,72,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
57,Pair40_5,ENST00000341028.8,100.0,22,1,22,97,76,0.000121,minus,ENST00000341028.8,CDK11B,True,True
58,Pair41_5,ENST00000341028.8,100.0,22,1,22,96,75,0.000121,minus,ENST00000341028.8,CDK11B,True,True
59,Pair42_5,ENST00000341028.8,100.0,23,1,23,90,68,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
60,Pair43_5,ENST00000341028.8,100.0,23,1,23,92,70,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
61,Pair44_5,ENST00000341028.8,100.0,21,1,21,154,134,0.000398,minus,ENST00000341028.8,CDK11B,True,True
62,Pair45_5,ENST00000341028.8,100.0,23,1,23,103,81,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
63,Pair46_5,ENST00000341028.8,100.0,23,1,23,108,86,3.57e-05,minus,ENST00000341028.8,CDK11B,True,True
64,Pair47_5,ENST00000341028.8,100.0,24,1,24,89,66,1.03e-05,minus,ENST00000341028.8,CDK11B,True,True
65,Pair48_5,ENST00000341028.8,100.0,24,1,24,99,76,1.03e-05,minus,ENST00000341028.8,CDK11B,True,True
66,Pair49_5,ENST00000341028.8,100.0,22,1,22,97,76,0.000121,minus,ENST00000341028.8,CDK11B,True,True
67,Pair0_5,ENST00000629312.2,100.0,20,1,20,109,90,0.002,minus,ENST00000629312.2,CDK11B,True,True
68,Pair0_3,ENST00000629312.2,100.0,20,1,20,9,28,0.002,plus,ENST00000629312.2,CDK11B,True,True
69,Pair1_5,ENST00000629312.2,100.0,20,1,20,108,89,0.002,minus,ENST00000629312.2,CDK11B,True,True
70,Pair1_3,ENST00000629312.2,100.0,20,1,20,9,28,0.002,plus,ENST00000629312.2,CDK11B,True,True
71,Pair2_5,ENST00000629312.2,100.0,21,1,21,110,90,0.000398,minus,ENST00000629312.2,CDK11B,True,True
72,Pair2_3,ENST00000629312.2,100.0,20,1,20,9,28,0.002,plus,ENST00000629312.2,CDK11B,True,True
73,Pair3_5,ENST00000629312.2,100.0,20,1,20,242,223,0.002,minus,ENST00000629312.2,CDK11B,True,True
74,Pair3_3,ENST00000629312.2,100.0,20,1,20,90,109,0.002,plus,ENST00000629312.2,CDK11B,True,True
75,Pair4_5,ENST00000629312.2,100.0,20,1,20,243,224,0.002,minus,ENST00000629312.2,CDK11B,True,True
76,Pair4_3,ENST00000629312.2,100.0,20,1,20,90,109,0.002,plus,ENST00000629312.2,CDK11B,True,True
77,Pair5_5,ENST00000629312.2,100.0,20,1,20,242,223,0.002,minus,ENST00000629312.2,CDK11B,True,True
78,Pair5_3,ENST00000629312.2,100.0,20,1,20,89,108,0.002,plus,ENST00000629312.2,CDK11B,True,True
79,Pair6_5,ENST00000629312.2,100.0,20,1,20,243,224,0.002,minus,ENST00000629312.2,CDK11B,True,True
80,Pair6_3,ENST00000629312.2,100.0,20,1,20,89,108,0.002,plus,ENST00000629312.2,CDK11B,True,True
81,Pair7_5,ENST00000629312.2,100.0,19,1,19,107,89,0.005,minus,ENST00000629312.2,CDK11B,True,True
82,Pair7_3,ENST00000629312.2,100.0,20,1,20,9,28,0.002,plus,ENST00000629312.2,CDK11B,True,True
83,Pair8_5,ENST00000629312.2,100.0,20,1,20,244,225,0.002,minus,ENST00000629312.2,CDK11B,True,True
84,Pair8_3,ENST00000629312.2,100.0,20,1,20,90,109,0.002,plus,ENST00000629312.2,CDK11B,True,True
85,Pair9_5,ENST00000629312.2,100.0,20,1,20,244,225,0.002,minus,ENST00000629312.2,CDK11B,True,True
86,Pair9_3,ENST00000629312.2,100.0,20,1,20,89,108,0.002,plus,ENST00000629312.2,CDK11B,True,True
87,Pair10_5,ENST00000629312.2,100.0,21,1,21,111,91,0.000398,minus,ENST00000629312.2,CDK11B,True,True
88,Pair10_3,ENST00000629312.2,100.0,20,1,20,9,28,0.002,plus,ENST00000629312.2,CDK11B,True,True
89,Pair11_5,ENST00000629312.2,100.0,20,1,20,242,223,0.002,minus,ENST00000629312.2,CDK11B,True,True
90,Pair11_3,ENST00000629312.2,100.0,21,1,21,90,110,0.000398,plus,ENST00000629312.2,CDK11B,True,True
91,Pair12_5,ENST00000629312.2,100.0,20,1,20,243,224,0.002,minus,ENST00000629312.2,CDK11B,True,True
92,Pair12_3,ENST00000629312.2,100.0,21,1,21,90,110,0.000398,plus,ENST00000629312.2,CDK11B,True,True
93,Pair13_5,ENST00000629312.2,100.0,20,1,20,109,90,0.002,minus,ENST00000629312.2,CDK11B,True,True
94,Pair13_3,ENST00000629312.2,100.0,19,1,19,11,29,0.005,plus,ENST00000629312.2,CDK11B,True,True
95,Pair14_5,ENST00000629312.2,100.0,21,1,21,243,223,0.000398,minus,ENST00000629312.2,CDK11B,True,True
96,Pair14_3,ENST00000629312.2,100.0,20,1,20,90,109,0.002,plus,ENST00000629312.2,CDK11B,True,True
97,Pair15_5,ENST00000629312.2,100.0,20,1,20,245,226,0.002,minus,ENST00000629312.2,CDK11B,True,True
98,Pair15_3,ENST00000629312.2,100.0,20,1,20,90,109,0.002,plus,ENST00000629312.2,CDK11B,True,True
99,Pair16_5,ENST00000629312.2,100.0,20,1,20,108,89,0.002,minus,ENST00000629312.2,CDK11B,True,True
100,Pair16_3,ENST00000629312.2,100.0,19,1,19,11,29,0.005,plus,ENST00000629312.2,CDK11B,True,True
101,Pair17_5,ENST00000629312.2,100.0,21,1,21,243,223,0.000398,minus,ENST00000629312.2,CDK11B,True,True
102,Pair17_3,ENST00000629312.2,100.0,20,1,20,89,108,0.002,plus,ENST00000629312.2,CDK11B,True,True
103,Pair18_5,ENST00000629312.2,100.0,21,1,21,242,222,0.000398,minus,ENST00000629312.2,CDK11B,True,True
