,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1046,Pair2_3,ENST00000428639.1,100.0,15,1,15,422,408,1.5,minus,ENST00000428639.1,WASF5P,True,True
1047,Pair2_3,ENST00000414327.1,100.0,15,1,15,422,408,1.5,minus,ENST00000414327.1,WASF5P,True,True
1048,Pair2_3,ENST00000441826.1,100.0,15,1,15,422,408,1.5,minus,ENST00000441826.1,WASF5P,True,True
1049,Pair2_3,ENST00000438744.1,100.0,15,1,15,422,408,1.5,minus,ENST00000438744.1,WASF5P,True,True
1050,Pair2_3,ENST00000456141.1,100.0,15,1,15,422,408,1.5,minus,ENST00000456141.1,WASF5P,True,True
1051,Pair2_3,ENST00000420590.1,100.0,15,1,15,422,408,1.5,minus,ENST00000420590.1,WASF5P,True,True
1052,Pair2_3,ENST00000411428.1,100.0,15,1,15,422,408,1.5,minus,ENST00000411428.1,WASF5P,True,True
1231,Pair3_5,ENST00000423821.2,100.0,15,1,15,189,175,1.5,minus,ENST00000423821.2,,True,True
1232,Pair4_5,ENST00000423821.2,100.0,15,1,15,189,175,1.5,minus,ENST00000423821.2,,True,True
1800,Pair4_3,ENST00000566076.1,100.0,15,1,15,350,336,1.5,minus,ENST00000566076.1,PLA2G4B,True,True
1802,Pair9_5,ENST00000566076.1,100.0,15,6,20,336,350,1.5,plus,ENST00000566076.1,PLA2G4B,True,True
1804,Pair11_5,ENST00000566076.1,100.0,15,6,20,336,350,1.5,plus,ENST00000566076.1,PLA2G4B,True,True
1806,Pair4_3,ENST00000483748.5,100.0,15,1,15,2192,2178,1.5,minus,ENST00000483748.5,PLA2G4B,True,True
1808,Pair9_5,ENST00000483748.5,100.0,15,6,20,2178,2192,1.5,plus,ENST00000483748.5,PLA2G4B,True,True
1810,Pair11_5,ENST00000483748.5,100.0,15,6,20,2178,2192,1.5,plus,ENST00000483748.5,PLA2G4B,True,True
1812,Pair4_3,ENST00000458483.4,100.0,15,1,15,1850,1836,1.5,minus,ENST00000458483.4,PLA2G4B,True,True
1814,Pair9_5,ENST00000458483.4,100.0,15,6,20,1836,1850,1.5,plus,ENST00000458483.4,PLA2G4B,True,True
1816,Pair11_5,ENST00000458483.4,100.0,15,6,20,1836,1850,1.5,plus,ENST00000458483.4,PLA2G4B,True,True
1818,Pair4_3,ENST00000452633.5,100.0,15,1,15,2135,2121,1.5,minus,ENST00000452633.5,PLA2G4B,True,True
1820,Pair9_5,ENST00000452633.5,100.0,15,6,20,2121,2135,1.5,plus,ENST00000452633.5,PLA2G4B,True,True
1822,Pair11_5,ENST00000452633.5,100.0,15,6,20,2121,2135,1.5,plus,ENST00000452633.5,PLA2G4B,True,True
1824,Pair4_3,ENST00000487292.1,100.0,15,1,15,2332,2318,1.5,minus,ENST00000487292.1,JMJD7-PLA2G4B,True,True
1826,Pair9_5,ENST00000487292.1,100.0,15,6,20,2318,2332,1.5,plus,ENST00000487292.1,JMJD7-PLA2G4B,True,True
1828,Pair11_5,ENST00000487292.1,100.0,15,6,20,2318,2332,1.5,plus,ENST00000487292.1,JMJD7-PLA2G4B,True,True
