,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
192,Pair0_5,XR_940887,100.0,16,1,16,26531,26516,0.62,minus,XR_940887,-,-,True,True
193,Pair2_5,XR_940887,100.0,16,1,16,26531,26516,0.62,minus,XR_940887,-,-,True,True
196,Pair0_5,XR_007095937,100.0,16,1,16,26462,26447,0.62,minus,XR_007095937,-,-,True,True
197,Pair2_5,XR_007095937,100.0,16,1,16,26462,26447,0.62,minus,XR_007095937,-,-,True,True
200,Pair0_5,XR_007073551,100.0,16,1,16,26466,26451,0.62,minus,XR_007073551,-,-,True,True
201,Pair2_5,XR_007073551,100.0,16,1,16,26466,26451,0.62,minus,XR_007073551,-,-,True,True
204,Pair0_5,XR_007073550,100.0,16,1,16,26536,26521,0.62,minus,XR_007073550,-,-,True,True
205,Pair2_5,XR_007073550,100.0,16,1,16,26536,26521,0.62,minus,XR_007073550,-,-,True,True
208,Pair0_5,XR_007095936,100.0,16,1,16,26520,26505,0.62,minus,XR_007095936,-,-,True,True
209,Pair2_5,XR_007095936,100.0,16,1,16,26520,26505,0.62,minus,XR_007095936,-,-,True,True
212,Pair0_5,XR_007073549,100.0,16,1,16,26524,26509,0.62,minus,XR_007073549,-,-,True,True
213,Pair2_5,XR_007073549,100.0,16,1,16,26524,26509,0.62,minus,XR_007073549,-,-,True,True
555,Pair6_5,XM_017022584,95.0,20,1,20,6701,6682,0.62,minus,XM_017022584,ENST00000357769,THSD4,True,True
613,Pair6_5,NM_024817,95.0,20,1,20,7860,7841,0.62,minus,NM_024817,ENST00000261862,THSD4,True,True
616,Pair6_5,XM_017022582,95.0,20,1,20,6776,6757,0.62,minus,XM_017022582,ENST00000357769,THSD4,True,True
689,Pair6_5,NM_001286429,95.0,20,1,20,6647,6628,0.62,minus,NM_001286429,ENST00000357769,THSD4,True,True
697,Pair6_5,XM_011522043,95.0,20,1,20,8398,8379,0.62,minus,XM_011522043,ENST00000357769,THSD4,True,True
706,Pair6_5,XM_011522044,95.0,20,1,20,7010,6991,0.62,minus,XM_011522044,ENST00000357769,THSD4,True,True
726,Pair6_5,NM_001394532,95.0,20,1,20,7745,7726,0.62,minus,NM_001394532,ENST00000355327,THSD4,True,True
739,Pair6_5,XM_017022585,95.0,20,1,20,6609,6590,0.62,minus,XM_017022585,ENST00000357769,THSD4,True,True
745,Pair6_5,XM_047433080,95.0,20,1,20,7651,7632,0.62,minus,XM_047433080,ENST00000261862,THSD4,True,True
762,Pair6_5,XM_017022586,95.0,20,1,20,6826,6807,0.62,minus,XM_017022586,ENST00000357769,THSD4,True,True
5438,Pair30_3,NR_038370,100.0,16,1,16,348,333,0.62,minus,NR_038370,ENST00000373773,NDRG3,True,True
5459,Pair30_3,NM_032013,100.0,16,1,16,575,560,0.62,minus,NM_032013,ENST00000349004,NDRG3,True,True
5480,Pair30_3,NM_022477,100.0,16,1,16,539,524,0.62,minus,NM_022477,ENST00000359675,NDRG3,True,True
5487,Pair30_3,XM_006723837,100.0,16,1,16,575,560,0.62,minus,XM_006723837,ENST00000373803,NDRG3,True,True
5522,Pair30_3,XM_011528927,100.0,16,1,16,539,524,0.62,minus,XM_011528927,ENST00000373803,NDRG3,True,True
5529,Pair30_3,XM_011528926,100.0,16,1,16,478,463,0.62,minus,XM_011528926,ENST00000359675,NDRG3,True,True
5536,Pair30_3,XM_017027979,100.0,16,1,16,1121,1106,0.62,minus,XM_017027979,ENST00000349004,NDRG3,True,True
5581,Pair30_3,XM_017027980,100.0,16,1,16,562,547,0.62,minus,XM_017027980,ENST00000359675,NDRG3,True,True
5588,Pair30_3,XM_006723838,100.0,16,1,16,562,547,0.62,minus,XM_006723838,ENST00000373803,NDRG3,True,True
5616,Pair30_3,XM_011528925,100.0,16,1,16,478,463,0.62,minus,XM_011528925,ENST00000373803,NDRG3,True,True
5637,Pair30_3,XM_011528928,100.0,16,1,16,348,333,0.62,minus,XM_011528928,ENST00000373773,NDRG3,True,True
5644,Pair30_3,XM_017027978,100.0,16,1,16,863,848,0.62,minus,XM_017027978,ENST00000373803,NDRG3,True,True
5978,Pair32_3,XM_011539924,100.0,16,5,20,3110,3125,0.62,plus,XM_011539924,ENST00000371947,RNLS,True,True
5979,Pair32_3,XM_017016382,100.0,16,5,20,2861,2876,0.62,plus,XM_017016382,ENST00000371947,RNLS,True,True
6042,Pair43_3,XR_001737677,100.0,16,1,16,1028,1013,0.62,minus,XR_001737677,ENST00000669398,PKN2-AS1,True,True
6043,Pair44_3,XR_001737677,100.0,16,1,16,1028,1013,0.62,minus,XR_001737677,ENST00000669398,PKN2-AS1,True,True
6044,Pair43_3,XR_007070412,100.0,16,1,16,1028,1013,0.62,minus,XR_007070412,-,-,True,True
6045,Pair44_3,XR_007070412,100.0,16,1,16,1028,1013,0.62,minus,XR_007070412,-,-,True,True
