,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
968,Pair4_5,ENST00000484512.1,100.0,17,1,17,1516,1500,0.097,minus,ENST00000484512.1,PIFO,True,True
979,Pair56_3,ENST00000484512.1,100.0,17,4,20,1500,1516,0.097,plus,ENST00000484512.1,PIFO,True,True
980,Pair58_3,ENST00000484512.1,100.0,17,4,20,1500,1516,0.097,plus,ENST00000484512.1,PIFO,True,True
982,Pair63_3,ENST00000484512.1,100.0,17,4,20,1500,1516,0.097,plus,ENST00000484512.1,PIFO,True,True
984,Pair66_3,ENST00000484512.1,100.0,17,4,20,1500,1516,0.097,plus,ENST00000484512.1,PIFO,True,True
987,Pair71_3,ENST00000484512.1,100.0,17,4,20,1500,1516,0.097,plus,ENST00000484512.1,PIFO,True,True
988,Pair74_3,ENST00000484512.1,100.0,17,4,20,1500,1516,0.097,plus,ENST00000484512.1,PIFO,True,True
989,Pair0_5,ENST00000700561.1,100.0,16,5,20,2024,2039,0.38,plus,ENST00000700561.1,PKP2,True,True
990,Pair1_5,ENST00000700561.1,100.0,16,5,20,2024,2039,0.38,plus,ENST00000700561.1,PKP2,True,True
994,Pair12_5,ENST00000700561.1,100.0,16,5,20,2024,2039,0.38,plus,ENST00000700561.1,PKP2,True,True
1004,Pair62_3,ENST00000700561.1,100.0,16,1,16,2039,2024,0.38,minus,ENST00000700561.1,PKP2,True,True
1006,Pair65_3,ENST00000700561.1,100.0,16,1,16,2039,2024,0.38,minus,ENST00000700561.1,PKP2,True,True
1008,Pair68_3,ENST00000700561.1,100.0,16,1,16,2039,2024,0.38,minus,ENST00000700561.1,PKP2,True,True
1009,Pair69_3,ENST00000700561.1,100.0,16,1,16,2039,2024,0.38,minus,ENST00000700561.1,PKP2,True,True
2385,Pair5_5,ENST00000392217.3,100.0,16,1,16,327,312,0.31,minus,ENST00000392217.3,FXYD5,True,True
2386,Pair6_5,ENST00000392217.3,100.0,16,1,16,327,312,0.38,minus,ENST00000392217.3,FXYD5,True,True
2391,Pair14_5,ENST00000392217.3,100.0,16,1,16,327,312,0.31,minus,ENST00000392217.3,FXYD5,True,True
