,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
200,Pair0_5,ENST00000535390.1,100.0,20,1,20,428,409,0.002,minus,ENST00000535390.1,FGF6,True,True
201,Pair1_5,ENST00000535390.1,100.0,20,1,20,421,402,0.002,minus,ENST00000535390.1,FGF6,True,True
202,Pair2_5,ENST00000535390.1,100.0,20,1,20,389,370,0.002,minus,ENST00000535390.1,FGF6,True,True
203,Pair3_5,ENST00000535390.1,100.0,20,1,20,390,371,0.002,minus,ENST00000535390.1,FGF6,True,True
204,Pair4_5,ENST00000535390.1,100.0,20,1,20,429,410,0.002,minus,ENST00000535390.1,FGF6,True,True
205,Pair5_5,ENST00000535390.1,100.0,20,1,20,441,422,0.002,minus,ENST00000535390.1,FGF6,True,True
206,Pair6_5,ENST00000535390.1,100.0,20,1,20,438,419,0.002,minus,ENST00000535390.1,FGF6,True,True
207,Pair7_5,ENST00000535390.1,100.0,20,1,20,399,380,0.002,minus,ENST00000535390.1,FGF6,True,True
208,Pair8_5,ENST00000535390.1,100.0,20,1,20,400,381,0.002,minus,ENST00000535390.1,FGF6,True,True
209,Pair9_5,ENST00000535390.1,100.0,20,1,20,401,382,0.002,minus,ENST00000535390.1,FGF6,True,True
210,Pair10_5,ENST00000535390.1,100.0,20,1,20,402,383,0.002,minus,ENST00000535390.1,FGF6,True,True
211,Pair11_5,ENST00000535390.1,100.0,20,1,20,436,417,0.002,minus,ENST00000535390.1,FGF6,True,True
212,Pair12_5,ENST00000535390.1,100.0,20,1,20,437,418,0.002,minus,ENST00000535390.1,FGF6,True,True
213,Pair13_5,ENST00000535390.1,100.0,20,1,20,403,384,0.002,minus,ENST00000535390.1,FGF6,True,True
214,Pair14_5,ENST00000535390.1,100.0,20,1,20,422,403,0.002,minus,ENST00000535390.1,FGF6,True,True
215,Pair15_5,ENST00000535390.1,100.0,20,1,20,428,409,0.002,minus,ENST00000535390.1,FGF6,True,True
216,Pair16_5,ENST00000535390.1,100.0,20,1,20,421,402,0.002,minus,ENST00000535390.1,FGF6,True,True
217,Pair17_5,ENST00000535390.1,100.0,20,1,20,430,411,0.002,minus,ENST00000535390.1,FGF6,True,True
218,Pair18_5,ENST00000535390.1,100.0,20,1,20,431,412,0.002,minus,ENST00000535390.1,FGF6,True,True
219,Pair19_5,ENST00000535390.1,100.0,20,1,20,440,421,0.002,minus,ENST00000535390.1,FGF6,True,True
220,Pair20_5,ENST00000535390.1,100.0,20,1,20,445,426,0.002,minus,ENST00000535390.1,FGF6,True,True
221,Pair21_5,ENST00000535390.1,100.0,21,1,21,425,405,0.000398,minus,ENST00000535390.1,FGF6,True,True
222,Pair22_5,ENST00000535390.1,100.0,19,1,19,388,370,0.005,minus,ENST00000535390.1,FGF6,True,True
223,Pair23_5,ENST00000535390.1,100.0,19,1,19,438,420,0.005,minus,ENST00000535390.1,FGF6,True,True
224,Pair24_5,ENST00000535390.1,100.0,20,1,20,435,416,0.002,minus,ENST00000535390.1,FGF6,True,True
