,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000477645.1,100.0,20,1,20,273,254,0.002,minus,ENST00000477645.1,IL2,True,True
1,Pair1_5,ENST00000477645.1,100.0,20,1,20,273,254,0.002,minus,ENST00000477645.1,IL2,True,True
2,Pair1_3,ENST00000477645.1,100.0,20,1,20,8,27,0.002,plus,ENST00000477645.1,IL2,True,True
3,Pair2_5,ENST00000477645.1,100.0,20,1,20,273,254,0.002,minus,ENST00000477645.1,IL2,True,True
4,Pair3_5,ENST00000477645.1,100.0,20,1,20,273,254,0.002,minus,ENST00000477645.1,IL2,True,True
5,Pair3_3,ENST00000477645.1,100.0,20,1,20,15,34,0.002,plus,ENST00000477645.1,IL2,True,True
6,Pair4_5,ENST00000477645.1,100.0,20,1,20,309,290,0.002,minus,ENST00000477645.1,IL2,True,True
7,Pair5_5,ENST00000477645.1,100.0,20,1,20,309,290,0.002,minus,ENST00000477645.1,IL2,True,True
8,Pair5_3,ENST00000477645.1,100.0,20,1,20,8,27,0.002,plus,ENST00000477645.1,IL2,True,True
9,Pair6_5,ENST00000477645.1,100.0,20,1,20,274,255,0.002,minus,ENST00000477645.1,IL2,True,True
10,Pair7_5,ENST00000477645.1,100.0,20,1,20,309,290,0.002,minus,ENST00000477645.1,IL2,True,True
11,Pair8_5,ENST00000477645.1,100.0,20,1,20,274,255,0.002,minus,ENST00000477645.1,IL2,True,True
12,Pair8_3,ENST00000477645.1,100.0,20,1,20,8,27,0.002,plus,ENST00000477645.1,IL2,True,True
13,Pair9_5,ENST00000477645.1,100.0,20,1,20,309,290,0.002,minus,ENST00000477645.1,IL2,True,True
14,Pair9_3,ENST00000477645.1,100.0,20,1,20,88,107,0.002,plus,ENST00000477645.1,IL2,True,True
15,Pair10_5,ENST00000477645.1,100.0,20,1,20,309,290,0.002,minus,ENST00000477645.1,IL2,True,True
