,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
392,Pair0_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
393,Pair0_3,XM_047422546,100.0,20,1,20,219,200,0.003,minus,XM_047422546,-,-,True,True
394,Pair1_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
395,Pair1_3,XM_047422546,100.0,20,1,20,219,200,0.003,minus,XM_047422546,-,-,True,True
396,Pair2_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
397,Pair2_3,XM_047422546,100.0,20,1,20,219,200,0.003,minus,XM_047422546,-,-,True,True
398,Pair3_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
399,Pair3_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
400,Pair4_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
401,Pair4_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
402,Pair5_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
403,Pair5_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
404,Pair6_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
405,Pair6_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
406,Pair7_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
407,Pair7_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
408,Pair8_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
409,Pair8_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
410,Pair9_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
411,Pair9_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
