,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
703,Pair0_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
704,Pair1_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
705,Pair2_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
706,Pair3_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
707,Pair4_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
708,Pair5_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
709,Pair6_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
710,Pair7_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
711,Pair8_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
712,Pair9_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
713,Pair10_3,ENST00000614259.2,100.0,21,1,21,28,8,0.000398,minus,ENST00000614259.2,BRCA2,True,True
714,Pair11_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
715,Pair12_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
716,Pair13_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
717,Pair14_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
718,Pair15_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
719,Pair16_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
720,Pair17_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
721,Pair18_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
722,Pair19_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
723,Pair20_3,ENST00000614259.2,100.0,19,1,19,65,47,0.005,minus,ENST00000614259.2,BRCA2,True,True
724,Pair21_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
725,Pair22_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
726,Pair23_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
727,Pair24_3,ENST00000614259.2,100.0,21,1,21,28,8,0.000398,minus,ENST00000614259.2,BRCA2,True,True
728,Pair25_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
729,Pair26_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
730,Pair27_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
731,Pair28_3,ENST00000614259.2,100.0,21,1,21,28,8,0.000398,minus,ENST00000614259.2,BRCA2,True,True
732,Pair29_3,ENST00000614259.2,100.0,19,1,19,66,48,0.005,minus,ENST00000614259.2,BRCA2,True,True
733,Pair30_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
734,Pair31_3,ENST00000614259.2,100.0,21,1,21,29,9,0.000398,minus,ENST00000614259.2,BRCA2,True,True
735,Pair32_3,ENST00000614259.2,100.0,21,1,21,30,10,0.000398,minus,ENST00000614259.2,BRCA2,True,True
736,Pair33_3,ENST00000614259.2,100.0,21,1,21,65,45,0.000398,minus,ENST00000614259.2,BRCA2,True,True
737,Pair34_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
738,Pair35_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
739,Pair36_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
740,Pair37_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
741,Pair38_3,ENST00000614259.2,100.0,19,1,19,65,47,0.005,minus,ENST00000614259.2,BRCA2,True,True
742,Pair39_3,ENST00000614259.2,100.0,19,1,19,27,9,0.005,minus,ENST00000614259.2,BRCA2,True,True
743,Pair40_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
744,Pair41_3,ENST00000614259.2,100.0,22,1,22,27,6,0.000121,minus,ENST00000614259.2,BRCA2,True,True
745,Pair42_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
746,Pair43_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
747,Pair44_3,ENST00000614259.2,100.0,18,1,18,66,49,0.015,minus,ENST00000614259.2,BRCA2,True,True
748,Pair45_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
749,Pair46_3,ENST00000614259.2,100.0,21,1,21,33,13,0.000398,minus,ENST00000614259.2,BRCA2,True,True
