,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
160,Pair0_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
161,Pair0_3,ENST00000696201.1,100.0,21,1,21,78,98,0.000398,plus,ENST00000696201.1,F12,True,True
162,Pair1_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
163,Pair1_3,ENST00000696201.1,100.0,22,1,22,77,98,0.000121,plus,ENST00000696201.1,F12,True,True
164,Pair2_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
165,Pair2_3,ENST00000696201.1,100.0,22,1,22,73,94,0.000121,plus,ENST00000696201.1,F12,True,True
166,Pair3_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
167,Pair3_3,ENST00000696201.1,100.0,22,1,22,70,91,0.000121,plus,ENST00000696201.1,F12,True,True
168,Pair4_5,ENST00000696201.1,100.0,21,1,21,213,193,0.000398,minus,ENST00000696201.1,F12,True,True
169,Pair4_3,ENST00000696201.1,100.0,21,1,21,78,98,0.000398,plus,ENST00000696201.1,F12,True,True
170,Pair5_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
171,Pair5_3,ENST00000696201.1,100.0,22,1,22,76,97,0.000121,plus,ENST00000696201.1,F12,True,True
172,Pair6_5,ENST00000696201.1,100.0,21,1,21,217,197,0.000398,minus,ENST00000696201.1,F12,True,True
173,Pair6_3,ENST00000696201.1,100.0,21,1,21,78,98,0.000398,plus,ENST00000696201.1,F12,True,True
174,Pair7_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
175,Pair7_3,ENST00000696201.1,100.0,23,1,23,69,91,3.57e-05,plus,ENST00000696201.1,F12,True,True
176,Pair8_5,ENST00000696201.1,100.0,21,1,21,213,193,0.000398,minus,ENST00000696201.1,F12,True,True
177,Pair8_3,ENST00000696201.1,100.0,22,1,22,77,98,0.000121,plus,ENST00000696201.1,F12,True,True
178,Pair9_5,ENST00000696201.1,100.0,21,1,21,213,193,0.000398,minus,ENST00000696201.1,F12,True,True
179,Pair9_3,ENST00000696201.1,100.0,22,1,22,73,94,0.000121,plus,ENST00000696201.1,F12,True,True
180,Pair10_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
181,Pair10_3,ENST00000696201.1,100.0,22,1,22,72,93,0.000121,plus,ENST00000696201.1,F12,True,True
182,Pair11_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
183,Pair11_3,ENST00000696201.1,100.0,23,1,23,75,97,3.57e-05,plus,ENST00000696201.1,F12,True,True
184,Pair12_5,ENST00000696201.1,100.0,22,1,22,216,195,0.000121,minus,ENST00000696201.1,F12,True,True
185,Pair12_3,ENST00000696201.1,100.0,21,1,21,78,98,0.000398,plus,ENST00000696201.1,F12,True,True
186,Pair13_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
187,Pair13_3,ENST00000696201.1,100.0,21,1,21,79,99,0.000398,plus,ENST00000696201.1,F12,True,True
188,Pair14_5,ENST00000696201.1,100.0,21,1,21,213,193,0.000398,minus,ENST00000696201.1,F12,True,True
189,Pair14_3,ENST00000696201.1,100.0,22,1,22,70,91,0.000121,plus,ENST00000696201.1,F12,True,True
190,Pair15_5,ENST00000696201.1,100.0,21,1,21,217,197,0.000398,minus,ENST00000696201.1,F12,True,True
191,Pair15_3,ENST00000696201.1,100.0,22,1,22,77,98,0.000121,plus,ENST00000696201.1,F12,True,True
192,Pair16_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
193,Pair16_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
194,Pair17_5,ENST00000696201.1,100.0,20,1,20,146,127,0.002,minus,ENST00000696201.1,F12,True,True
195,Pair17_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
196,Pair18_5,ENST00000696201.1,100.0,20,1,20,148,129,0.002,minus,ENST00000696201.1,F12,True,True
197,Pair18_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
198,Pair19_5,ENST00000696201.1,100.0,21,1,21,213,193,0.000398,minus,ENST00000696201.1,F12,True,True
199,Pair19_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
200,Pair20_5,ENST00000696201.1,100.0,21,1,21,217,197,0.000398,minus,ENST00000696201.1,F12,True,True
201,Pair20_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
202,Pair21_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
203,Pair21_3,ENST00000696201.1,100.0,23,1,23,63,85,3.57e-05,plus,ENST00000696201.1,F12,True,True
204,Pair22_5,ENST00000696201.1,100.0,22,1,22,216,195,0.000121,minus,ENST00000696201.1,F12,True,True
205,Pair22_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
206,Pair23_5,ENST00000696201.1,100.0,21,1,21,214,194,0.000398,minus,ENST00000696201.1,F12,True,True
207,Pair23_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
208,Pair24_5,ENST00000696201.1,100.0,22,1,22,218,197,0.000121,minus,ENST00000696201.1,F12,True,True
209,Pair24_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
210,Pair25_5,ENST00000696201.1,100.0,20,1,20,146,127,0.002,minus,ENST00000696201.1,F12,True,True
211,Pair25_3,ENST00000696201.1,100.0,23,1,23,63,85,3.57e-05,plus,ENST00000696201.1,F12,True,True
212,Pair26_5,ENST00000696201.1,100.0,22,1,22,219,198,0.000121,minus,ENST00000696201.1,F12,True,True
213,Pair26_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
214,Pair27_5,ENST00000696201.1,100.0,22,1,22,214,193,0.000121,minus,ENST00000696201.1,F12,True,True
215,Pair27_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
216,Pair28_5,ENST00000696201.1,100.0,22,1,22,215,194,0.000121,minus,ENST00000696201.1,F12,True,True
217,Pair28_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
218,Pair29_5,ENST00000696201.1,100.0,20,1,20,212,193,0.002,minus,ENST00000696201.1,F12,True,True
219,Pair29_3,ENST00000696201.1,100.0,21,1,21,61,81,0.000398,plus,ENST00000696201.1,F12,True,True
220,Pair30_5,ENST00000696201.1,100.0,20,1,20,148,129,0.002,minus,ENST00000696201.1,F12,True,True
221,Pair30_3,ENST00000696201.1,100.0,23,1,23,63,85,3.57e-05,plus,ENST00000696201.1,F12,True,True
222,Pair31_5,ENST00000696201.1,100.0,23,1,23,220,198,3.57e-05,minus,ENST00000696201.1,F12,True,True
223,Pair31_3,ENST00000696201.1,100.0,22,1,22,64,85,0.000121,plus,ENST00000696201.1,F12,True,True
224,Pair32_5,ENST00000696201.1,100.0,20,1,20,1588,1569,0.002,minus,ENST00000696201.1,F12,True,True
225,Pair32_3,ENST00000696201.1,100.0,17,1,17,1507,1523,0.039,plus,ENST00000696201.1,F12,True,True
226,Pair33_5,ENST00000696201.1,100.0,20,1,20,1588,1569,0.002,minus,ENST00000696201.1,F12,True,True
227,Pair33_3,ENST00000696201.1,100.0,17,1,17,1506,1522,0.039,plus,ENST00000696201.1,F12,True,True
228,Pair34_5,ENST00000696201.1,100.0,21,1,21,1589,1569,0.000398,minus,ENST00000696201.1,F12,True,True
229,Pair34_3,ENST00000696201.1,100.0,17,1,17,1510,1526,0.039,plus,ENST00000696201.1,F12,True,True
230,Pair35_5,ENST00000696201.1,100.0,21,1,21,1589,1569,0.000398,minus,ENST00000696201.1,F12,True,True
231,Pair35_3,ENST00000696201.1,100.0,17,1,17,1507,1523,0.039,plus,ENST00000696201.1,F12,True,True
232,Pair36_5,ENST00000696201.1,100.0,21,1,21,1589,1569,0.000398,minus,ENST00000696201.1,F12,True,True
233,Pair36_3,ENST00000696201.1,100.0,17,1,17,1506,1522,0.039,plus,ENST00000696201.1,F12,True,True
234,Pair37_5,ENST00000696201.1,100.0,20,1,20,1587,1568,0.002,minus,ENST00000696201.1,F12,True,True
235,Pair37_3,ENST00000696201.1,100.0,17,1,17,1507,1523,0.039,plus,ENST00000696201.1,F12,True,True
236,Pair38_5,ENST00000696201.1,100.0,20,1,20,1587,1568,0.002,minus,ENST00000696201.1,F12,True,True
237,Pair38_3,ENST00000696201.1,100.0,17,1,17,1506,1522,0.039,plus,ENST00000696201.1,F12,True,True
238,Pair39_3,ENST00000696201.1,100.0,17,1,17,1516,1532,0.039,plus,ENST00000696201.1,F12,True,True
239,Pair40_3,ENST00000696201.1,100.0,17,1,17,1516,1532,0.039,plus,ENST00000696201.1,F12,True,True
240,Pair41_3,ENST00000696201.1,100.0,17,1,17,1512,1528,0.039,plus,ENST00000696201.1,F12,True,True
241,Pair42_3,ENST00000696201.1,100.0,17,1,17,1516,1532,0.039,plus,ENST00000696201.1,F12,True,True
242,Pair43_3,ENST00000696201.1,100.0,17,1,17,1516,1532,0.039,plus,ENST00000696201.1,F12,True,True
243,Pair44_3,ENST00000696201.1,100.0,18,1,18,1515,1532,0.015,plus,ENST00000696201.1,F12,True,True
244,Pair45_3,ENST00000696201.1,100.0,18,1,18,1515,1532,0.015,plus,ENST00000696201.1,F12,True,True
