,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1962,Pair13_3,ENST00000455883.2,100.0,17,4,20,1113,1129,0.097,plus,ENST00000455883.2,CSMD3,True,True
1963,Pair14_3,ENST00000455883.2,100.0,17,4,20,1113,1129,0.097,plus,ENST00000455883.2,CSMD3,True,True
1964,Pair15_3,ENST00000455883.2,100.0,17,4,20,1113,1129,0.097,plus,ENST00000455883.2,CSMD3,True,True
1965,Pair16_3,ENST00000455883.2,100.0,17,4,20,1113,1129,0.097,plus,ENST00000455883.2,CSMD3,True,True
1975,Pair13_3,ENST00000297405.10,100.0,17,4,20,1481,1497,0.097,plus,ENST00000297405.10,CSMD3,True,True
1976,Pair14_3,ENST00000297405.10,100.0,17,4,20,1481,1497,0.097,plus,ENST00000297405.10,CSMD3,True,True
1977,Pair15_3,ENST00000297405.10,100.0,17,4,20,1481,1497,0.097,plus,ENST00000297405.10,CSMD3,True,True
1978,Pair16_3,ENST00000297405.10,100.0,17,4,20,1481,1497,0.097,plus,ENST00000297405.10,CSMD3,True,True
1988,Pair13_3,ENST00000343508.7,100.0,17,4,20,1447,1463,0.097,plus,ENST00000343508.7,CSMD3,True,True
1989,Pair14_3,ENST00000343508.7,100.0,17,4,20,1447,1463,0.097,plus,ENST00000343508.7,CSMD3,True,True
1990,Pair15_3,ENST00000343508.7,100.0,17,4,20,1447,1463,0.097,plus,ENST00000343508.7,CSMD3,True,True
1991,Pair16_3,ENST00000343508.7,100.0,17,4,20,1447,1463,0.097,plus,ENST00000343508.7,CSMD3,True,True
2001,Pair13_3,ENST00000452194.5,100.0,16,5,20,694,709,0.38,plus,ENST00000452194.5,HSF2,True,True
2002,Pair14_3,ENST00000452194.5,100.0,16,5,20,694,709,0.38,plus,ENST00000452194.5,HSF2,True,True
2003,Pair15_3,ENST00000452194.5,100.0,16,5,20,694,709,0.38,plus,ENST00000452194.5,HSF2,True,True
2004,Pair16_3,ENST00000452194.5,100.0,16,5,20,694,709,0.38,plus,ENST00000452194.5,HSF2,True,True
2005,Pair13_3,ENST00000368455.9,100.0,16,5,20,593,608,0.38,plus,ENST00000368455.9,HSF2,True,True
2006,Pair14_3,ENST00000368455.9,100.0,16,5,20,593,608,0.38,plus,ENST00000368455.9,HSF2,True,True
2007,Pair15_3,ENST00000368455.9,100.0,16,5,20,593,608,0.38,plus,ENST00000368455.9,HSF2,True,True
2008,Pair16_3,ENST00000368455.9,100.0,16,5,20,593,608,0.38,plus,ENST00000368455.9,HSF2,True,True
2518,Pair22_5,ENST00000439140.6,100.0,16,1,16,1944,1929,0.77,minus,ENST00000439140.6,C2CD6,True,True
2541,Pair22_5,ENST00000598607.1,95.0,20,1,20,360,341,0.77,minus,ENST00000598607.1,GTF2F1,True,True
2544,Pair22_5,ENST00000595047.5,95.0,20,1,20,591,572,0.77,minus,ENST00000595047.5,GTF2F1,True,True
2547,Pair22_5,ENST00000593678.5,95.0,20,1,20,92,73,0.77,minus,ENST00000593678.5,GTF2F1,True,True
2550,Pair22_5,ENST00000394456.10,95.0,20,1,20,342,323,0.77,minus,ENST00000394456.10,GTF2F1,True,True
2576,Pair18_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
2577,Pair19_3,ENST00000358654.2,100.0,19,6,24,2198,2216,0.01,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
2579,Pair21_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
2580,Pair22_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
2581,Pair23_3,ENST00000358654.2,100.0,18,6,23,2198,2215,0.034,plus,ENST00000358654.2,SPECC1L-ADORA2A,True,True
2582,Pair18_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
2583,Pair19_3,ENST00000541492.1,100.0,19,6,24,2109,2127,0.01,plus,ENST00000541492.1,SPECC1L,True,True
2585,Pair21_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
2586,Pair22_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
2587,Pair23_3,ENST00000541492.1,100.0,18,6,23,2109,2126,0.034,plus,ENST00000541492.1,SPECC1L,True,True
2588,Pair18_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
2589,Pair19_3,ENST00000416735.5,100.0,19,6,24,514,532,0.01,plus,ENST00000416735.5,SPECC1L,True,True
2591,Pair21_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
2592,Pair22_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
2593,Pair23_3,ENST00000416735.5,100.0,18,6,23,514,531,0.034,plus,ENST00000416735.5,SPECC1L,True,True
2594,Pair18_3,ENST00000651059.1,100.0,18,6,23,2316,2333,0.034,plus,ENST00000651059.1,SPECC1L,True,True
2595,Pair19_3,ENST00000651059.1,100.0,19,6,24,2316,2334,0.01,plus,ENST00000651059.1,SPECC1L,True,True
2597,Pair21_3,ENST00000651059.1,100.0,18,6,23,2316,2333,0.034,plus,ENST00000651059.1,SPECC1L,True,True
2598,Pair22_3,ENST00000651059.1,100.0,18,6,23,2316,2333,0.034,plus,ENST00000651059.1,SPECC1L,True,True
