query id	subject id	identity	alignment length	q. start	q. end	s. start	s. end	evalue	strand	transcript_id	gene_symbol
Pair0_5	ENST00000544455.6	100.0	28	1	28	44	71	6.36e-08	plus	ENST00000544455.6	BRCA2
Pair0_3	ENST00000544455.6	100.0	20	1	20	129	110	0.002	minus	ENST00000544455.6	BRCA2
Pair1_5	ENST00000544455.6	100.0	29	1	29	43	71	1.74e-08	plus	ENST00000544455.6	BRCA2
Pair1_3	ENST00000544455.6	100.0	20	1	20	129	110	0.002	minus	ENST00000544455.6	BRCA2
Pair2_5	ENST00000544455.6	100.0	28	1	28	44	71	6.36e-08	plus	ENST00000544455.6	BRCA2
Pair2_3	ENST00000544455.6	100.0	21	1	21	130	110	0.000398	minus	ENST00000544455.6	BRCA2
Pair3_5	ENST00000544455.6	100.0	29	1	29	43	71	1.74e-08	plus	ENST00000544455.6	BRCA2
Pair3_3	ENST00000544455.6	100.0	21	1	21	130	110	0.000398	minus	ENST00000544455.6	BRCA2
Pair4_5	ENST00000544455.6	100.0	28	1	28	44	71	6.36e-08	plus	ENST00000544455.6	BRCA2
Pair4_3	ENST00000544455.6	100.0	22	1	22	131	110	0.000121	minus	ENST00000544455.6	BRCA2
Pair5_5	ENST00000544455.6	100.0	29	1	29	42	70	1.74e-08	plus	ENST00000544455.6	BRCA2
Pair5_3	ENST00000544455.6	100.0	20	1	20	129	110	0.002	minus	ENST00000544455.6	BRCA2
Pair6_5	ENST00000544455.6	100.0	29	1	29	43	71	1.74e-08	plus	ENST00000544455.6	BRCA2
Pair6_3	ENST00000544455.6	100.0	22	1	22	131	110	0.000121	minus	ENST00000544455.6	BRCA2
Pair7_5	ENST00000544455.6	100.0	30	1	30	41	70	4.75e-09	plus	ENST00000544455.6	BRCA2
Pair7_3	ENST00000544455.6	100.0	20	1	20	129	110	0.002	minus	ENST00000544455.6	BRCA2
Pair8_5	ENST00000544455.6	100.0	28	1	28	44	71	6.36e-08	plus	ENST00000544455.6	BRCA2
Pair8_3	ENST00000544455.6	100.0	22	1	22	123	102	0.000121	minus	ENST00000544455.6	BRCA2
Pair9_5	ENST00000544455.6	100.0	28	1	28	44	71	6.36e-08	plus	ENST00000544455.6	BRCA2
