,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000593537.2,100.0,20,1,20,1151,1132,0.002,minus,ENST00000593537.2,NTF4,True,True
1,Pair1_5,ENST00000593537.2,100.0,20,1,20,1148,1129,0.002,minus,ENST00000593537.2,NTF4,True,True
2,Pair2_5,ENST00000593537.2,100.0,20,1,20,1163,1144,0.002,minus,ENST00000593537.2,NTF4,True,True
3,Pair3_5,ENST00000593537.2,100.0,20,1,20,1164,1145,0.002,minus,ENST00000593537.2,NTF4,True,True
4,Pair4_5,ENST00000593537.2,100.0,20,1,20,1165,1146,0.002,minus,ENST00000593537.2,NTF4,True,True
5,Pair5_5,ENST00000593537.2,100.0,20,1,20,1152,1133,0.002,minus,ENST00000593537.2,NTF4,True,True
6,Pair6_5,ENST00000593537.2,100.0,20,1,20,1167,1148,0.002,minus,ENST00000593537.2,NTF4,True,True
7,Pair7_5,ENST00000593537.2,100.0,20,1,20,1168,1149,0.002,minus,ENST00000593537.2,NTF4,True,True
8,Pair8_5,ENST00000593537.2,100.0,20,1,20,1151,1132,0.002,minus,ENST00000593537.2,NTF4,True,True
9,Pair9_5,ENST00000593537.2,100.0,20,1,20,1194,1175,0.002,minus,ENST00000593537.2,NTF4,True,True
10,Pair10_5,ENST00000593537.2,100.0,20,1,20,1198,1179,0.002,minus,ENST00000593537.2,NTF4,True,True
11,Pair11_5,ENST00000593537.2,100.0,20,1,20,1169,1150,0.002,minus,ENST00000593537.2,NTF4,True,True
12,Pair12_5,ENST00000593537.2,100.0,20,1,20,1163,1144,0.002,minus,ENST00000593537.2,NTF4,True,True
13,Pair13_5,ENST00000593537.2,100.0,20,1,20,1163,1144,0.002,minus,ENST00000593537.2,NTF4,True,True
14,Pair14_5,ENST00000593537.2,100.0,20,1,20,1164,1145,0.002,minus,ENST00000593537.2,NTF4,True,True
15,Pair15_5,ENST00000593537.2,100.0,20,1,20,1164,1145,0.002,minus,ENST00000593537.2,NTF4,True,True
16,Pair16_5,ENST00000593537.2,100.0,20,1,20,1165,1146,0.002,minus,ENST00000593537.2,NTF4,True,True
17,Pair17_5,ENST00000593537.2,100.0,20,1,20,1165,1146,0.002,minus,ENST00000593537.2,NTF4,True,True
18,Pair18_5,ENST00000593537.2,100.0,20,1,20,1220,1201,0.002,minus,ENST00000593537.2,NTF4,True,True
19,Pair19_5,ENST00000593537.2,100.0,20,1,20,1220,1201,0.002,minus,ENST00000593537.2,NTF4,True,True
20,Pair20_5,ENST00000593537.2,100.0,20,1,20,1221,1202,0.002,minus,ENST00000593537.2,NTF4,True,True
21,Pair21_5,ENST00000593537.2,100.0,20,1,20,1152,1133,0.002,minus,ENST00000593537.2,NTF4,True,True
22,Pair22_5,ENST00000593537.2,100.0,20,1,20,1152,1133,0.002,minus,ENST00000593537.2,NTF4,True,True
23,Pair23_5,ENST00000593537.2,100.0,20,1,20,1166,1147,0.002,minus,ENST00000593537.2,NTF4,True,True
24,Pair24_5,ENST00000593537.2,100.0,20,1,20,1167,1148,0.002,minus,ENST00000593537.2,NTF4,True,True
25,Pair25_5,ENST00000593537.2,100.0,20,1,20,1167,1148,0.002,minus,ENST00000593537.2,NTF4,True,True
26,Pair26_5,ENST00000593537.2,100.0,20,1,20,1168,1149,0.002,minus,ENST00000593537.2,NTF4,True,True
27,Pair27_5,ENST00000593537.2,100.0,20,1,20,1168,1149,0.002,minus,ENST00000593537.2,NTF4,True,True
28,Pair28_5,ENST00000593537.2,100.0,20,1,20,1194,1175,0.002,minus,ENST00000593537.2,NTF4,True,True
29,Pair29_5,ENST00000593537.2,100.0,20,1,20,1194,1175,0.002,minus,ENST00000593537.2,NTF4,True,True
30,Pair30_5,ENST00000593537.2,100.0,20,1,20,1198,1179,0.002,minus,ENST00000593537.2,NTF4,True,True
31,Pair31_5,ENST00000593537.2,100.0,20,1,20,1198,1179,0.002,minus,ENST00000593537.2,NTF4,True,True
32,Pair32_5,ENST00000593537.2,100.0,20,1,20,1150,1131,0.002,minus,ENST00000593537.2,NTF4,True,True
33,Pair33_5,ENST00000593537.2,100.0,20,1,20,1169,1150,0.002,minus,ENST00000593537.2,NTF4,True,True
34,Pair34_5,ENST00000593537.2,100.0,20,1,20,1169,1150,0.002,minus,ENST00000593537.2,NTF4,True,True
35,Pair35_5,ENST00000593537.2,100.0,20,1,20,1149,1130,0.002,minus,ENST00000593537.2,NTF4,True,True
36,Pair36_5,ENST00000593537.2,100.0,20,1,20,1166,1147,0.002,minus,ENST00000593537.2,NTF4,True,True
37,Pair37_5,ENST00000593537.2,100.0,20,1,20,1166,1147,0.002,minus,ENST00000593537.2,NTF4,True,True
38,Pair38_5,ENST00000593537.2,100.0,20,1,20,1174,1155,0.002,minus,ENST00000593537.2,NTF4,True,True
39,Pair39_5,ENST00000593537.2,100.0,20,1,20,1173,1154,0.002,minus,ENST00000593537.2,NTF4,True,True
40,Pair40_5,ENST00000593537.2,100.0,20,1,20,1163,1144,0.002,minus,ENST00000593537.2,NTF4,True,True
41,Pair41_5,ENST00000593537.2,100.0,20,1,20,1164,1145,0.002,minus,ENST00000593537.2,NTF4,True,True
42,Pair42_5,ENST00000593537.2,100.0,20,1,20,1165,1146,0.002,minus,ENST00000593537.2,NTF4,True,True
43,Pair43_5,ENST00000593537.2,100.0,20,1,20,1220,1201,0.002,minus,ENST00000593537.2,NTF4,True,True
44,Pair44_5,ENST00000593537.2,100.0,20,1,20,1221,1202,0.002,minus,ENST00000593537.2,NTF4,True,True
45,Pair45_5,ENST00000593537.2,100.0,20,1,20,1174,1155,0.002,minus,ENST00000593537.2,NTF4,True,True
46,Pair46_5,ENST00000593537.2,100.0,20,1,20,1174,1155,0.002,minus,ENST00000593537.2,NTF4,True,True
47,Pair47_5,ENST00000593537.2,100.0,20,1,20,1173,1154,0.002,minus,ENST00000593537.2,NTF4,True,True
48,Pair48_5,ENST00000593537.2,100.0,20,1,20,1173,1154,0.002,minus,ENST00000593537.2,NTF4,True,True
49,Pair49_5,ENST00000593537.2,100.0,20,1,20,1184,1165,0.002,minus,ENST00000593537.2,NTF4,True,True
50,Pair0_5,ENST00000696091.1,100.0,20,1,20,321,302,0.002,minus,ENST00000696091.1,NTF4,True,True
51,Pair1_5,ENST00000696091.1,100.0,20,1,20,318,299,0.002,minus,ENST00000696091.1,NTF4,True,True
52,Pair2_5,ENST00000696091.1,100.0,20,1,20,333,314,0.002,minus,ENST00000696091.1,NTF4,True,True
53,Pair3_5,ENST00000696091.1,100.0,20,1,20,334,315,0.002,minus,ENST00000696091.1,NTF4,True,True
54,Pair4_5,ENST00000696091.1,100.0,20,1,20,335,316,0.002,minus,ENST00000696091.1,NTF4,True,True
55,Pair5_5,ENST00000696091.1,100.0,20,1,20,322,303,0.002,minus,ENST00000696091.1,NTF4,True,True
56,Pair6_5,ENST00000696091.1,100.0,20,1,20,337,318,0.002,minus,ENST00000696091.1,NTF4,True,True
57,Pair7_5,ENST00000696091.1,100.0,20,1,20,338,319,0.002,minus,ENST00000696091.1,NTF4,True,True
58,Pair8_5,ENST00000696091.1,100.0,20,1,20,321,302,0.002,minus,ENST00000696091.1,NTF4,True,True
59,Pair9_5,ENST00000696091.1,100.0,20,1,20,364,345,0.002,minus,ENST00000696091.1,NTF4,True,True
60,Pair10_5,ENST00000696091.1,100.0,20,1,20,368,349,0.002,minus,ENST00000696091.1,NTF4,True,True
61,Pair11_5,ENST00000696091.1,100.0,20,1,20,339,320,0.002,minus,ENST00000696091.1,NTF4,True,True
62,Pair12_5,ENST00000696091.1,100.0,20,1,20,333,314,0.002,minus,ENST00000696091.1,NTF4,True,True
63,Pair13_5,ENST00000696091.1,100.0,20,1,20,333,314,0.002,minus,ENST00000696091.1,NTF4,True,True
64,Pair14_5,ENST00000696091.1,100.0,20,1,20,334,315,0.002,minus,ENST00000696091.1,NTF4,True,True
65,Pair15_5,ENST00000696091.1,100.0,20,1,20,334,315,0.002,minus,ENST00000696091.1,NTF4,True,True
66,Pair16_5,ENST00000696091.1,100.0,20,1,20,335,316,0.002,minus,ENST00000696091.1,NTF4,True,True
67,Pair17_5,ENST00000696091.1,100.0,20,1,20,335,316,0.002,minus,ENST00000696091.1,NTF4,True,True
68,Pair18_5,ENST00000696091.1,100.0,20,1,20,390,371,0.002,minus,ENST00000696091.1,NTF4,True,True
