,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
151,Pair1_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
156,Pair6_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
158,Pair8_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
159,Pair9_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
163,Pair13_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
166,Pair16_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
169,Pair19_5,XR_007072549,100.0,17,8,24,558,574,0.31,plus,XR_007072549,-,-,True,True
700,Pair0_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
701,Pair1_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
702,Pair2_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
703,Pair3_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
704,Pair4_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
705,Pair5_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
706,Pair6_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
707,Pair7_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
708,Pair8_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
709,Pair9_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
710,Pair10_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
711,Pair11_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
712,Pair12_3,XM_047445872,100.0,20,1,20,58,39,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
713,Pair13_3,XM_047445872,100.0,20,1,20,58,39,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
714,Pair14_3,XM_047445872,100.0,20,1,20,58,39,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
715,Pair15_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
716,Pair16_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
717,Pair17_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
718,Pair18_3,XM_047445872,100.0,21,1,21,60,40,0.000801,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
719,Pair19_3,XM_047445872,100.0,21,1,21,60,40,0.000801,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
720,Pair20_3,XM_047445872,100.0,21,1,21,60,40,0.000801,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
721,Pair21_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
722,Pair22_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
723,Pair23_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
724,Pair24_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
725,Pair25_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
726,Pair26_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
727,Pair27_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
728,Pair28_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
729,Pair29_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
730,Pair30_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
731,Pair31_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
732,Pair32_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
733,Pair33_3,XM_047445872,100.0,17,1,17,48,32,0.2,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
734,Pair34_3,XM_047445872,100.0,17,1,17,48,32,0.16,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
735,Pair35_3,XM_047445872,100.0,17,1,17,48,32,0.2,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
736,Pair36_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
737,Pair37_3,XM_047445872,100.0,18,1,18,49,32,0.049,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
738,Pair38_3,XM_047445872,100.0,17,1,17,48,32,0.2,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
739,Pair39_3,XM_047445872,100.0,17,1,17,48,32,0.16,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
740,Pair40_3,XM_047445872,100.0,17,1,17,48,32,0.16,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
741,Pair41_3,XM_047445872,100.0,19,1,19,50,32,0.013,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
742,Pair42_3,XM_047445872,100.0,17,1,17,48,32,0.2,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
743,Pair43_3,XM_047445872,100.0,18,1,18,49,32,0.04,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
744,Pair44_3,XM_047445872,100.0,17,1,17,48,32,0.2,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
745,Pair45_3,XM_047445872,100.0,19,1,19,50,32,0.013,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
746,Pair46_3,XM_047445872,100.0,17,1,17,48,32,0.16,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
747,Pair47_3,XM_047445872,100.0,17,1,17,48,32,0.16,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
748,Pair48_3,XM_047445872,100.0,19,1,19,50,32,0.013,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
749,Pair49_3,XM_047445872,100.0,19,1,19,50,32,0.015,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
750,Pair50_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
751,Pair51_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
752,Pair52_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
753,Pair53_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
754,Pair54_3,XM_047445872,100.0,20,1,20,237,218,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
755,Pair55_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
756,Pair56_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
757,Pair57_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
758,Pair58_3,XM_047445872,100.0,20,1,20,237,218,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
759,Pair59_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
760,Pair60_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
761,Pair61_3,XM_047445872,100.0,20,1,20,58,39,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
762,Pair62_3,XM_047445872,100.0,21,1,21,60,40,0.000801,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
763,Pair63_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
764,Pair64_3,XM_047445872,100.0,20,1,20,245,226,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
765,Pair65_3,XM_047445872,100.0,20,1,20,58,39,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
766,Pair66_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
767,Pair67_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
768,Pair68_3,XM_047445872,100.0,20,1,20,59,40,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
769,Pair69_3,XM_047445872,100.0,20,1,20,240,221,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
770,Pair70_3,XM_047445872,100.0,20,1,20,146,127,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
771,Pair71_3,XM_047445872,100.0,20,1,20,58,39,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
772,Pair72_3,XM_047445872,100.0,20,1,20,147,128,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
773,Pair73_3,XM_047445872,100.0,21,1,21,60,40,0.000801,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
774,Pair74_3,XM_047445872,100.0,20,1,20,245,226,0.003,minus,XM_047445872,ENST00000673274-ENST00000650172,OR4F4,True,True
775,Pair0_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
776,Pair1_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
777,Pair2_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
778,Pair3_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
779,Pair4_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
780,Pair5_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
781,Pair6_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
782,Pair7_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
783,Pair8_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
784,Pair9_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
785,Pair10_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
786,Pair11_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
787,Pair12_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
788,Pair13_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
789,Pair14_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
790,Pair15_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
791,Pair16_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
792,Pair17_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
793,Pair18_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
794,Pair19_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
795,Pair20_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
796,Pair21_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
797,Pair22_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
798,Pair23_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
799,Pair24_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
800,Pair25_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
801,Pair25_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
802,Pair26_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
803,Pair26_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
804,Pair27_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
805,Pair27_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
806,Pair28_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
807,Pair28_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
808,Pair29_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
809,Pair29_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
810,Pair30_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
811,Pair30_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
812,Pair31_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
813,Pair31_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
814,Pair32_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
815,Pair32_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
816,Pair33_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
817,Pair33_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
818,Pair34_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
819,Pair34_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
820,Pair35_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
821,Pair35_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
822,Pair36_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
823,Pair36_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
824,Pair37_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
825,Pair37_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
826,Pair38_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
827,Pair38_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
828,Pair39_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
829,Pair39_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
830,Pair40_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
831,Pair40_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
832,Pair41_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
833,Pair41_3,NM_001005240,100.0,19,1,19,153,135,0.013,minus,NM_001005240,ENST00000585993,OR4F17,True,True
834,Pair42_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
835,Pair42_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
836,Pair43_5,NM_001005240,100.0,23,1,23,9,31,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
837,Pair43_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
838,Pair44_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
839,Pair44_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
840,Pair45_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
841,Pair45_3,NM_001005240,100.0,19,1,19,153,135,0.013,minus,NM_001005240,ENST00000585993,OR4F17,True,True
842,Pair46_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
843,Pair46_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
844,Pair47_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
845,Pair47_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
846,Pair48_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
847,Pair48_3,NM_001005240,100.0,19,1,19,153,135,0.013,minus,NM_001005240,ENST00000585993,OR4F17,True,True
848,Pair49_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
849,Pair49_3,NM_001005240,100.0,19,1,19,153,135,0.015,minus,NM_001005240,ENST00000585993,OR4F17,True,True
850,Pair50_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
851,Pair50_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
852,Pair51_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
853,Pair51_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
854,Pair52_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
855,Pair52_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
856,Pair53_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
857,Pair53_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
858,Pair54_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
859,Pair54_3,NM_001005240,100.0,20,1,20,340,321,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
860,Pair55_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
861,Pair55_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
862,Pair56_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
863,Pair56_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
864,Pair57_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
865,Pair57_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
866,Pair58_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
867,Pair58_3,NM_001005240,100.0,20,1,20,340,321,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
868,Pair59_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
869,Pair59_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
870,Pair60_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
871,Pair60_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
872,Pair61_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
873,Pair61_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
874,Pair62_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
875,Pair62_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
876,Pair63_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
877,Pair63_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
878,Pair64_5,NM_001005240,100.0,24,1,24,26,49,2.08e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
879,Pair64_3,NM_001005240,100.0,20,1,20,348,329,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
880,Pair65_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
881,Pair65_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
882,Pair66_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
883,Pair66_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
884,Pair67_5,NM_001005240,100.0,23,1,23,7,29,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
885,Pair67_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
886,Pair68_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
887,Pair68_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
888,Pair69_5,NM_001005240,100.0,24,1,24,26,49,2.08e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
889,Pair69_3,NM_001005240,100.0,20,1,20,343,324,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
890,Pair70_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
891,Pair70_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
892,Pair71_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
893,Pair71_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
894,Pair72_5,NM_001005240,100.0,23,1,23,6,28,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
895,Pair72_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
896,Pair73_5,NM_001005240,100.0,23,1,23,8,30,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
897,Pair73_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
898,Pair74_5,NM_001005240,100.0,23,1,23,23,45,7.19e-05,plus,NM_001005240,ENST00000585993,OR4F17,True,True
899,Pair74_3,NM_001005240,100.0,20,1,20,348,329,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
6377,Pair64_3,NM_194248,100.0,17,4,20,5084,5100,0.16,plus,NM_194248,ENST00000272371,OTOF,True,True
6379,Pair74_3,NM_194248,100.0,17,4,20,5084,5100,0.16,plus,NM_194248,ENST00000272371,OTOF,True,True
