,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
1327,Pair0_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1328,Pair1_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1329,Pair2_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1331,Pair4_5,XR_007064608,100.0,16,6,21,4318,4333,0.77,plus,XR_007064608,-,-,True,True
1333,Pair6_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1335,Pair8_5,XR_007064608,100.0,16,6,21,4318,4333,0.77,plus,XR_007064608,-,-,True,True
1337,Pair12_5,XR_007064608,100.0,16,6,21,4318,4333,0.77,plus,XR_007064608,-,-,True,True
1338,Pair13_5,XR_007064608,100.0,17,5,21,4318,4334,0.2,plus,XR_007064608,-,-,True,True
1342,Pair19_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1345,Pair33_5,XR_007064608,100.0,16,6,21,4318,4333,0.77,plus,XR_007064608,-,-,True,True
1346,Pair34_5,XR_007064608,100.0,16,6,21,4318,4333,0.77,plus,XR_007064608,-,-,True,True
1347,Pair44_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1348,Pair45_5,XR_007064608,100.0,17,5,21,4318,4334,0.2,plus,XR_007064608,-,-,True,True
1351,Pair52_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1352,Pair55_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1354,Pair58_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1356,Pair63_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1358,Pair65_5,XR_007064608,100.0,16,6,21,4318,4333,0.77,plus,XR_007064608,-,-,True,True
1360,Pair74_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1362,Pair76_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1365,Pair85_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1366,Pair86_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1368,Pair92_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1370,Pair94_5,XR_007064608,100.0,17,4,20,4318,4334,0.16,plus,XR_007064608,-,-,True,True
1371,Pair95_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
1372,Pair99_5,XR_007064608,100.0,16,5,20,4318,4333,0.62,plus,XR_007064608,-,-,True,True
