,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
100,Pair0_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
101,Pair1_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
102,Pair2_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
103,Pair3_5,ENST00000535390.1,100.0,20,1,20,389,370,0.002,minus,ENST00000535390.1,FGF6,True,True
104,Pair4_5,ENST00000535390.1,100.0,20,1,20,390,371,0.002,minus,ENST00000535390.1,FGF6,True,True
105,Pair5_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
106,Pair6_5,ENST00000535390.1,100.0,20,1,20,340,321,0.002,minus,ENST00000535390.1,FGF6,True,True
107,Pair7_5,ENST00000535390.1,100.0,20,1,20,389,370,0.002,minus,ENST00000535390.1,FGF6,True,True
108,Pair8_5,ENST00000535390.1,100.0,20,1,20,390,371,0.002,minus,ENST00000535390.1,FGF6,True,True
109,Pair9_5,ENST00000535390.1,100.0,20,1,20,327,308,0.002,minus,ENST00000535390.1,FGF6,True,True
110,Pair10_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
111,Pair11_5,ENST00000535390.1,100.0,20,1,20,340,321,0.002,minus,ENST00000535390.1,FGF6,True,True
112,Pair12_5,ENST00000535390.1,100.0,20,1,20,399,380,0.002,minus,ENST00000535390.1,FGF6,True,True
113,Pair13_5,ENST00000535390.1,100.0,20,1,20,400,381,0.002,minus,ENST00000535390.1,FGF6,True,True
114,Pair14_5,ENST00000535390.1,100.0,20,1,20,401,382,0.002,minus,ENST00000535390.1,FGF6,True,True
115,Pair15_5,ENST00000535390.1,100.0,20,1,20,402,383,0.002,minus,ENST00000535390.1,FGF6,True,True
116,Pair16_5,ENST00000535390.1,100.0,20,1,20,403,384,0.002,minus,ENST00000535390.1,FGF6,True,True
117,Pair17_5,ENST00000535390.1,100.0,20,1,20,389,370,0.002,minus,ENST00000535390.1,FGF6,True,True
118,Pair18_5,ENST00000535390.1,100.0,20,1,20,390,371,0.002,minus,ENST00000535390.1,FGF6,True,True
119,Pair19_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
120,Pair20_5,ENST00000535390.1,100.0,20,1,20,342,323,0.002,minus,ENST00000535390.1,FGF6,True,True
121,Pair21_5,ENST00000535390.1,100.0,20,1,20,399,380,0.002,minus,ENST00000535390.1,FGF6,True,True
122,Pair22_5,ENST00000535390.1,100.0,20,1,20,400,381,0.002,minus,ENST00000535390.1,FGF6,True,True
123,Pair23_5,ENST00000535390.1,100.0,20,1,20,401,382,0.002,minus,ENST00000535390.1,FGF6,True,True
124,Pair24_5,ENST00000535390.1,100.0,20,1,20,402,383,0.002,minus,ENST00000535390.1,FGF6,True,True
125,Pair25_5,ENST00000535390.1,100.0,20,1,20,340,321,0.002,minus,ENST00000535390.1,FGF6,True,True
126,Pair26_5,ENST00000535390.1,100.0,20,1,20,389,370,0.002,minus,ENST00000535390.1,FGF6,True,True
127,Pair27_5,ENST00000535390.1,100.0,20,1,20,390,371,0.002,minus,ENST00000535390.1,FGF6,True,True
128,Pair28_5,ENST00000535390.1,100.0,20,1,20,403,384,0.002,minus,ENST00000535390.1,FGF6,True,True
129,Pair29_5,ENST00000535390.1,100.0,20,1,20,340,321,0.002,minus,ENST00000535390.1,FGF6,True,True
130,Pair30_5,ENST00000535390.1,100.0,20,1,20,326,307,0.002,minus,ENST00000535390.1,FGF6,True,True
131,Pair31_5,ENST00000535390.1,100.0,20,1,20,389,370,0.002,minus,ENST00000535390.1,FGF6,True,True
132,Pair32_5,ENST00000535390.1,100.0,20,1,20,390,371,0.002,minus,ENST00000535390.1,FGF6,True,True
133,Pair33_5,ENST00000535390.1,100.0,20,1,20,327,308,0.002,minus,ENST00000535390.1,FGF6,True,True
134,Pair34_5,ENST00000535390.1,100.0,20,1,20,399,380,0.002,minus,ENST00000535390.1,FGF6,True,True
135,Pair35_5,ENST00000535390.1,100.0,20,1,20,400,381,0.002,minus,ENST00000535390.1,FGF6,True,True
136,Pair36_5,ENST00000535390.1,100.0,20,1,20,401,382,0.002,minus,ENST00000535390.1,FGF6,True,True
137,Pair37_5,ENST00000535390.1,100.0,20,1,20,402,383,0.002,minus,ENST00000535390.1,FGF6,True,True
138,Pair38_5,ENST00000535390.1,100.0,20,1,20,403,384,0.002,minus,ENST00000535390.1,FGF6,True,True
139,Pair39_5,ENST00000535390.1,100.0,20,1,20,340,321,0.002,minus,ENST00000535390.1,FGF6,True,True
140,Pair40_5,ENST00000535390.1,100.0,20,1,20,399,380,0.002,minus,ENST00000535390.1,FGF6,True,True
