,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
4907,Pair7_3,NR_170552,95.0,20,1,20,592,573,0.62,minus,NR_170552,-,-,True,True
4911,Pair9_3,NR_170552,95.0,20,1,20,592,573,0.62,minus,NR_170552,-,-,True,True
4931,Pair7_3,NM_001387107,95.0,20,1,20,1972,1953,0.62,minus,NM_001387107,ENST00000267068,N4BP2L2,True,True
4935,Pair9_3,NM_001387107,95.0,20,1,20,1972,1953,0.62,minus,NM_001387107,ENST00000267068,N4BP2L2,True,True
4955,Pair7_3,NM_001387083,95.0,20,1,20,709,690,0.62,minus,NM_001387083,ENST00000674180,N4BP2L2,True,True
4959,Pair9_3,NM_001387083,95.0,20,1,20,709,690,0.62,minus,NM_001387083,ENST00000674180,N4BP2L2,True,True
4979,Pair7_3,NM_001387103,95.0,20,1,20,2058,2039,0.62,minus,NM_001387103,ENST00000267068,N4BP2L2,True,True
4983,Pair9_3,NM_001387103,95.0,20,1,20,2058,2039,0.62,minus,NM_001387103,ENST00000267068,N4BP2L2,True,True
5003,Pair7_3,NM_014887,95.0,20,1,20,2061,2042,0.62,minus,NM_014887,ENST00000267068,N4BP2L2,True,True
5007,Pair9_3,NM_014887,95.0,20,1,20,2061,2042,0.62,minus,NM_014887,ENST00000267068,N4BP2L2,True,True
5027,Pair7_3,NM_001387108,95.0,20,1,20,1879,1860,0.62,minus,NM_001387108,ENST00000267068,N4BP2L2,True,True
5031,Pair9_3,NM_001387108,95.0,20,1,20,1879,1860,0.62,minus,NM_001387108,ENST00000267068,N4BP2L2,True,True
5051,Pair7_3,NR_170551,95.0,20,1,20,1843,1824,0.62,minus,NR_170551,ENST00000267068,N4BP2L2,True,True
5055,Pair9_3,NR_170551,95.0,20,1,20,1843,1824,0.62,minus,NR_170551,ENST00000267068,N4BP2L2,True,True
5075,Pair7_3,NR_170554,95.0,20,1,20,759,740,0.62,minus,NR_170554,ENST00000267068,N4BP2L2,True,True
5079,Pair9_3,NR_170554,95.0,20,1,20,759,740,0.62,minus,NR_170554,ENST00000267068,N4BP2L2,True,True
5099,Pair7_3,NM_001387059,95.0,20,1,20,608,589,0.62,minus,NM_001387059,ENST00000674428,N4BP2L2,True,True
5103,Pair9_3,NM_001387059,95.0,20,1,20,608,589,0.62,minus,NM_001387059,ENST00000674428,N4BP2L2,True,True
5123,Pair7_3,NR_170546,95.0,20,1,20,2046,2027,0.62,minus,NR_170546,ENST00000267068,N4BP2L2,True,True
5127,Pair9_3,NR_170546,95.0,20,1,20,2046,2027,0.62,minus,NR_170546,ENST00000267068,N4BP2L2,True,True
5147,Pair7_3,NR_170549,95.0,20,1,20,1946,1927,0.62,minus,NR_170549,ENST00000267068,N4BP2L2,True,True
5151,Pair9_3,NR_170549,95.0,20,1,20,1946,1927,0.62,minus,NR_170549,ENST00000267068,N4BP2L2,True,True
5171,Pair7_3,NM_001387060,95.0,20,1,20,1677,1658,0.62,minus,NM_001387060,ENST00000674377,N4BP2L2,True,True
5175,Pair9_3,NM_001387060,95.0,20,1,20,1677,1658,0.62,minus,NM_001387060,ENST00000674377,N4BP2L2,True,True
5195,Pair7_3,NM_001395224,95.0,20,1,20,636,617,0.62,minus,NM_001395224,ENST00000674437,N4BP2L2,True,True
5199,Pair9_3,NM_001395224,95.0,20,1,20,636,617,0.62,minus,NM_001395224,ENST00000674437,N4BP2L2,True,True
