,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
3185,Pair0_3,ENST00000650172.1,100.0,20,1,20,112,93,0.002,minus,ENST00000650172.1,OR4F4,True,True
3186,Pair1_3,ENST00000650172.1,100.0,20,1,20,113,94,0.002,minus,ENST00000650172.1,OR4F4,True,True
3187,Pair2_3,ENST00000650172.1,100.0,21,1,21,112,92,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3188,Pair3_3,ENST00000650172.1,100.0,21,1,21,111,91,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3189,Pair4_3,ENST00000650172.1,100.0,21,1,21,113,93,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3190,Pair5_3,ENST00000650172.1,100.0,21,1,21,110,90,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3191,Pair6_3,ENST00000650172.1,100.0,22,1,22,111,90,0.000121,minus,ENST00000650172.1,OR4F4,True,True
3192,Pair7_3,ENST00000650172.1,100.0,22,1,22,109,88,0.000121,minus,ENST00000650172.1,OR4F4,True,True
3193,Pair8_3,ENST00000650172.1,100.0,22,1,22,159,138,0.000121,minus,ENST00000650172.1,OR4F4,True,True
3194,Pair9_3,ENST00000650172.1,100.0,22,1,22,161,140,0.000121,minus,ENST00000650172.1,OR4F4,True,True
3195,Pair10_3,ENST00000650172.1,100.0,21,1,21,109,89,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3196,Pair11_3,ENST00000650172.1,100.0,21,1,21,158,138,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3197,Pair12_3,ENST00000650172.1,100.0,21,1,21,161,141,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3198,Pair13_3,ENST00000650172.1,100.0,21,1,21,157,137,0.000398,minus,ENST00000650172.1,OR4F4,True,True
3199,Pair14_3,ENST00000650172.1,100.0,22,1,22,110,89,0.000121,minus,ENST00000650172.1,OR4F4,True,True
3200,Pair15_3,ENST00000650172.1,100.0,22,1,22,162,141,0.000121,minus,ENST00000650172.1,OR4F4,True,True
