,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
3530,Pair0_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3531,Pair1_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3532,Pair2_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3533,Pair3_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3534,Pair4_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3535,Pair5_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3536,Pair6_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3537,Pair7_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3538,Pair8_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3539,Pair9_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3540,Pair10_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3541,Pair11_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3542,Pair12_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3543,Pair13_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3544,Pair14_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3545,Pair15_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3546,Pair16_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3547,Pair17_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3548,Pair18_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3549,Pair19_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3550,Pair20_5,ENST00000404344.2,100.0,16,8,23,838,853,0.54,plus,ENST00000404344.2,B3GALNT2P1,True,True
3551,Pair21_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3552,Pair22_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3553,Pair23_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3554,Pair24_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3555,Pair25_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3556,Pair26_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3557,Pair27_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3558,Pair28_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3559,Pair29_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3560,Pair30_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3561,Pair31_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3562,Pair32_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3563,Pair33_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3564,Pair34_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3565,Pair35_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
3566,Pair36_3,ENST00000404344.2,100.0,16,1,16,853,838,0.54,minus,ENST00000404344.2,B3GALNT2P1,True,True
