,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
570,Pair0_5,ENST00000422556.1,94.737,19,2,20,765,783,1.5,plus,ENST00000422556.1,SPATA2,True,True
571,Pair1_5,ENST00000422556.1,94.737,19,2,20,765,783,1.5,plus,ENST00000422556.1,SPATA2,True,True
574,Pair0_5,ENST00000289431.10,94.737,19,2,20,667,685,1.5,plus,ENST00000289431.10,SPATA2,True,True
575,Pair1_5,ENST00000289431.10,94.737,19,2,20,667,685,1.5,plus,ENST00000289431.10,SPATA2,True,True
620,Pair0_3,ENST00000392132.7,100.0,15,1,15,2818,2804,1.5,minus,ENST00000392132.7,XRCC5,True,True
621,Pair2_3,ENST00000392132.7,100.0,15,1,15,2818,2804,1.5,minus,ENST00000392132.7,XRCC5,True,True
622,Pair3_3,ENST00000392132.7,100.0,15,1,15,2818,2804,1.5,minus,ENST00000392132.7,XRCC5,True,True
623,Pair0_3,ENST00000392133.7,100.0,15,1,15,3190,3176,1.5,minus,ENST00000392133.7,XRCC5,True,True
624,Pair2_3,ENST00000392133.7,100.0,15,1,15,3190,3176,1.5,minus,ENST00000392133.7,XRCC5,True,True
625,Pair3_3,ENST00000392133.7,100.0,15,1,15,3190,3176,1.5,minus,ENST00000392133.7,XRCC5,True,True
873,Pair8_5,ENST00000587663.1,94.737,19,1,19,87,69,1.5,minus,ENST00000587663.1,ACTBP9,True,True
875,Pair8_5,ENST00000427183.6,100.0,15,1,15,689,675,1.5,minus,ENST00000427183.6,HDLBP,True,True
877,Pair8_5,ENST00000430918.5,100.0,15,1,15,572,558,1.5,minus,ENST00000430918.5,HDLBP,True,True
879,Pair8_5,ENST00000444092.5,100.0,15,1,15,542,528,1.5,minus,ENST00000444092.5,HDLBP,True,True
881,Pair8_5,ENST00000452065.5,100.0,15,1,15,889,875,1.5,minus,ENST00000452065.5,HDLBP,True,True
883,Pair8_5,ENST00000428482.5,100.0,15,1,15,818,804,1.5,minus,ENST00000428482.5,HDLBP,True,True
885,Pair8_5,ENST00000422933.5,100.0,15,1,15,640,626,1.5,minus,ENST00000422933.5,HDLBP,True,True
887,Pair8_5,ENST00000453141.5,100.0,15,1,15,87,73,1.5,minus,ENST00000453141.5,HDLBP,True,True
889,Pair8_5,ENST00000373292.8,100.0,15,1,15,17,3,1.5,minus,ENST00000373292.8,HDLBP,True,True
891,Pair8_5,ENST00000310931.10,100.0,15,1,15,590,576,1.5,minus,ENST00000310931.10,HDLBP,True,True
893,Pair8_5,ENST00000391976.6,100.0,15,1,15,678,664,1.5,minus,ENST00000391976.6,HDLBP,True,True
895,Pair8_5,ENST00000391975.5,100.0,15,1,15,613,599,1.5,minus,ENST00000391975.5,HDLBP,True,True
896,Pair5_5,ENST00000543505.5,100.0,15,6,20,731,745,1.5,plus,ENST00000543505.5,PGA3,True,True
900,Pair5_5,ENST00000477505.1,94.737,19,1,19,215,197,1.5,minus,ENST00000477505.1,TGM6,True,True
902,Pair5_5,ENST00000381423.1,94.737,19,1,19,645,627,1.5,minus,ENST00000381423.1,TGM6,True,True
904,Pair5_5,ENST00000202625.7,94.737,19,1,19,652,634,1.5,minus,ENST00000202625.7,TGM6,True,True
1020,Pair5_3,ENST00000374676.4,94.737,19,1,19,251,233,1.5,minus,ENST00000374676.4,HSPG2,True,True
1021,Pair7_3,ENST00000374676.4,94.737,19,1,19,251,233,1.5,minus,ENST00000374676.4,HSPG2,True,True
1022,Pair8_3,ENST00000374676.4,94.737,19,1,19,251,233,1.5,minus,ENST00000374676.4,HSPG2,True,True
1023,Pair9_3,ENST00000374676.4,94.737,19,1,19,251,233,1.5,minus,ENST00000374676.4,HSPG2,True,True
1024,Pair10_3,ENST00000374676.4,94.737,19,1,19,251,233,1.5,minus,ENST00000374676.4,HSPG2,True,True
1025,Pair11_3,ENST00000374676.4,94.737,19,1,19,251,233,1.5,minus,ENST00000374676.4,HSPG2,True,True
1026,Pair5_3,ENST00000471322.2,94.737,19,1,19,185,167,1.5,minus,ENST00000471322.2,HSPG2,True,True
1027,Pair7_3,ENST00000471322.2,94.737,19,1,19,185,167,1.5,minus,ENST00000471322.2,HSPG2,True,True
1028,Pair8_3,ENST00000471322.2,94.737,19,1,19,185,167,1.5,minus,ENST00000471322.2,HSPG2,True,True
1029,Pair9_3,ENST00000471322.2,94.737,19,1,19,185,167,1.5,minus,ENST00000471322.2,HSPG2,True,True
1030,Pair10_3,ENST00000471322.2,94.737,19,1,19,185,167,1.5,minus,ENST00000471322.2,HSPG2,True,True
1031,Pair11_3,ENST00000471322.2,94.737,19,1,19,185,167,1.5,minus,ENST00000471322.2,HSPG2,True,True
1032,Pair5_3,ENST00000374695.8,94.737,19,1,19,10517,10499,1.5,minus,ENST00000374695.8,HSPG2,True,True
1033,Pair7_3,ENST00000374695.8,94.737,19,1,19,10517,10499,1.5,minus,ENST00000374695.8,HSPG2,True,True
1034,Pair8_3,ENST00000374695.8,94.737,19,1,19,10517,10499,1.5,minus,ENST00000374695.8,HSPG2,True,True
1035,Pair9_3,ENST00000374695.8,94.737,19,1,19,10517,10499,1.5,minus,ENST00000374695.8,HSPG2,True,True
1036,Pair10_3,ENST00000374695.8,94.737,19,1,19,10517,10499,1.5,minus,ENST00000374695.8,HSPG2,True,True
1037,Pair11_3,ENST00000374695.8,94.737,19,1,19,10517,10499,1.5,minus,ENST00000374695.8,HSPG2,True,True
1160,Pair10_5,ENST00000673903.1,100.0,15,6,20,961,975,1.5,plus,ENST00000673903.1,PCSK9,True,True
1162,Pair10_5,ENST00000302118.5,100.0,15,6,20,1349,1363,1.5,plus,ENST00000302118.5,PCSK9,True,True
1603,Pair14_5,ENST00000366706.7,94.737,19,2,20,512,530,1.5,plus,ENST00000366706.7,OBSCN,True,True
1605,Pair22_5,ENST00000366706.7,94.737,19,2,20,512,530,1.5,plus,ENST00000366706.7,OBSCN,True,True
1607,Pair14_5,ENST00000636476.2,94.737,19,2,20,6968,6986,1.5,plus,ENST00000636476.2,OBSCN,True,True
1609,Pair22_5,ENST00000636476.2,94.737,19,2,20,6968,6986,1.5,plus,ENST00000636476.2,OBSCN,True,True
1611,Pair14_5,ENST00000662438.1,94.737,19,2,20,6968,6986,1.5,plus,ENST00000662438.1,OBSCN,True,True
1613,Pair22_5,ENST00000662438.1,94.737,19,2,20,6968,6986,1.5,plus,ENST00000662438.1,OBSCN,True,True
1615,Pair14_5,ENST00000366704.2,94.737,19,2,20,6968,6986,1.5,plus,ENST00000366704.2,OBSCN,True,True
1617,Pair22_5,ENST00000366704.2,94.737,19,2,20,6968,6986,1.5,plus,ENST00000366704.2,OBSCN,True,True
