,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
73,Pair3_5,ENST00000556922.1,95.0,20,1,20,827,846,0.38,plus,ENST00000556922.1,,True,True
75,Pair8_5,ENST00000556922.1,95.0,20,1,20,826,845,0.38,plus,ENST00000556922.1,,True,True
77,Pair12_5,ENST00000556922.1,94.737,19,1,19,827,845,1.2,plus,ENST00000556922.1,,True,True
79,Pair21_5,ENST00000556922.1,95.0,20,1,20,827,846,0.38,plus,ENST00000556922.1,,True,True
81,Pair3_5,ENST00000555147.2,95.0,20,1,20,1130,1149,0.38,plus,ENST00000555147.2,MC1R,True,True
83,Pair8_5,ENST00000555147.2,95.0,20,1,20,1129,1148,0.38,plus,ENST00000555147.2,MC1R,True,True
85,Pair12_5,ENST00000555147.2,94.737,19,1,19,1130,1148,1.2,plus,ENST00000555147.2,MC1R,True,True
87,Pair21_5,ENST00000555147.2,95.0,20,1,20,1130,1149,0.38,plus,ENST00000555147.2,MC1R,True,True
89,Pair3_5,ENST00000639847.1,95.0,20,1,20,1607,1626,0.38,plus,ENST00000639847.1,MC1R,True,True
91,Pair8_5,ENST00000639847.1,95.0,20,1,20,1606,1625,0.38,plus,ENST00000639847.1,MC1R,True,True
93,Pair12_5,ENST00000639847.1,94.737,19,1,19,1607,1625,1.2,plus,ENST00000639847.1,MC1R,True,True
95,Pair21_5,ENST00000639847.1,95.0,20,1,20,1607,1626,0.38,plus,ENST00000639847.1,MC1R,True,True
97,Pair3_5,ENST00000555427.1,95.0,20,1,20,3036,3055,0.38,plus,ENST00000555427.1,MC1R,True,True
99,Pair8_5,ENST00000555427.1,95.0,20,1,20,3035,3054,0.38,plus,ENST00000555427.1,MC1R,True,True
101,Pair12_5,ENST00000555427.1,94.737,19,1,19,3036,3054,1.2,plus,ENST00000555427.1,MC1R,True,True
103,Pair21_5,ENST00000555427.1,95.0,20,1,20,3036,3055,0.38,plus,ENST00000555427.1,MC1R,True,True
124,Pair0_5,ENST00000530611.1,100.0,15,5,19,1646,1660,1.2,plus,ENST00000530611.1,,True,True
132,Pair20_5,ENST00000530611.1,100.0,15,5,19,1646,1660,1.2,plus,ENST00000530611.1,,True,True
134,Pair0_5,ENST00000531406.1,100.0,15,5,19,484,498,1.2,plus,ENST00000531406.1,TM9SF1,True,True
142,Pair20_5,ENST00000531406.1,100.0,15,5,19,484,498,1.2,plus,ENST00000531406.1,TM9SF1,True,True
144,Pair0_5,ENST00000396854.8,100.0,15,5,19,1275,1289,1.2,plus,ENST00000396854.8,TM9SF1,True,True
152,Pair20_5,ENST00000396854.8,100.0,15,5,19,1275,1289,1.2,plus,ENST00000396854.8,TM9SF1,True,True
154,Pair0_5,ENST00000524835.5,100.0,15,5,19,1088,1102,1.2,plus,ENST00000524835.5,TM9SF1,True,True
162,Pair20_5,ENST00000524835.5,100.0,15,5,19,1088,1102,1.2,plus,ENST00000524835.5,TM9SF1,True,True
164,Pair0_5,ENST00000529332.5,100.0,15,5,19,1110,1124,1.2,plus,ENST00000529332.5,TM9SF1,True,True
172,Pair20_5,ENST00000529332.5,100.0,15,5,19,1110,1124,1.2,plus,ENST00000529332.5,TM9SF1,True,True
174,Pair0_5,ENST00000261789.9,100.0,15,5,19,1098,1112,1.2,plus,ENST00000261789.9,TM9SF1,True,True
182,Pair20_5,ENST00000261789.9,100.0,15,5,19,1098,1112,1.2,plus,ENST00000261789.9,TM9SF1,True,True
184,Pair0_5,ENST00000528669.5,100.0,15,5,19,1374,1388,1.2,plus,ENST00000528669.5,TM9SF1,True,True
192,Pair20_5,ENST00000528669.5,100.0,15,5,19,1374,1388,1.2,plus,ENST00000528669.5,TM9SF1,True,True
194,Pair0_5,ENST00000646763.1,100.0,15,5,19,1646,1660,1.2,plus,ENST00000646763.1,ENSG00000285502.1,True,True
