,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
2937,Pair5_3,ENST00000526570.5,94.737,19,1,19,726,708,1.5,minus,ENST00000526570.5,FGFR1,True,True
2939,Pair8_3,ENST00000526570.5,94.737,19,1,19,726,708,1.5,minus,ENST00000526570.5,FGFR1,True,True
2940,Pair10_3,ENST00000526570.5,94.737,19,1,19,726,708,1.5,minus,ENST00000526570.5,FGFR1,True,True
2953,Pair43_3,ENST00000526570.5,94.737,19,1,19,726,708,1.5,minus,ENST00000526570.5,FGFR1,True,True
2954,Pair44_3,ENST00000526570.5,94.737,19,1,19,726,708,1.5,minus,ENST00000526570.5,FGFR1,True,True
3447,Pair7_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3450,Pair11_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3451,Pair14_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3458,Pair49_3,ENST00000342992.11,100.0,16,1,16,10587,10572,0.38,minus,ENST00000342992.11,TTN,True,True
3466,Pair33_5,ENST00000486743.1,95.0,20,1,20,301,282,0.38,minus,ENST00000486743.1,SLC16A1P1,True,True
3473,Pair48_5,ENST00000486743.1,95.0,20,1,20,301,282,0.38,minus,ENST00000486743.1,SLC16A1P1,True,True
3477,Pair50_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3478,Pair51_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3479,Pair52_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3480,Pair53_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3481,Pair54_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3482,Pair55_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3490,Pair62_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3491,Pair63_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3493,Pair65_3,ENST00000486743.1,100.0,20,1,20,350,369,0.002,plus,ENST00000486743.1,SLC16A1P1,True,True
3497,Pair68_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
3499,Pair69_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
3500,Pair70_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
3501,Pair71_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
3502,Pair72_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
3503,Pair73_3,ENST00000486743.1,100.0,18,3,20,350,367,0.025,plus,ENST00000486743.1,SLC16A1P1,True,True
3504,Pair74_3,ENST00000486743.1,100.0,19,2,20,350,368,0.006,plus,ENST00000486743.1,SLC16A1P1,True,True
3524,Pair33_5,ENST00000646811.1,95.0,20,1,20,301,282,0.38,minus,ENST00000646811.1,SLC16A1P1,True,True
3531,Pair48_5,ENST00000646811.1,95.0,20,1,20,301,282,0.38,minus,ENST00000646811.1,SLC16A1P1,True,True
3535,Pair50_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3536,Pair51_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3537,Pair52_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3538,Pair53_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3539,Pair54_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3540,Pair55_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3548,Pair62_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3549,Pair63_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3551,Pair65_3,ENST00000646811.1,100.0,20,1,20,350,369,0.002,plus,ENST00000646811.1,SLC16A1P1,True,True
3555,Pair68_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
3557,Pair69_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
3558,Pair70_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
3559,Pair71_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
3560,Pair72_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
3561,Pair73_3,ENST00000646811.1,100.0,18,3,20,350,367,0.025,plus,ENST00000646811.1,SLC16A1P1,True,True
3562,Pair74_3,ENST00000646811.1,100.0,19,2,20,350,368,0.006,plus,ENST00000646811.1,SLC16A1P1,True,True
3575,Pair7_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
3576,Pair11_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
3577,Pair14_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
3578,Pair17_3,ENST00000502456.5,100.0,17,1,17,165,149,0.097,minus,ENST00000502456.5,IFT122,True,True
3579,Pair24_3,ENST00000502456.5,100.0,17,1,17,165,149,0.097,minus,ENST00000502456.5,IFT122,True,True
3580,Pair49_3,ENST00000502456.5,100.0,16,1,16,164,149,0.38,minus,ENST00000502456.5,IFT122,True,True
3581,Pair7_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
3582,Pair11_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
3583,Pair14_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
3584,Pair17_3,ENST00000685189.1,100.0,17,1,17,255,239,0.097,minus,ENST00000685189.1,IFT122,True,True
3585,Pair24_3,ENST00000685189.1,100.0,17,1,17,255,239,0.097,minus,ENST00000685189.1,IFT122,True,True
3586,Pair49_3,ENST00000685189.1,100.0,16,1,16,254,239,0.38,minus,ENST00000685189.1,IFT122,True,True
3587,Pair7_3,ENST00000512220.5,100.0,16,1,16,303,288,0.38,minus,ENST00000512220.5,IFT122,True,True
3588,Pair11_3,ENST00000512220.5,100.0,16,1,16,303,288,0.38,minus,ENST00000512220.5,IFT122,True,True
3589,Pair14_3,ENST00000512220.5,100.0,16,1,16,303,288,0.38,minus,ENST00000512220.5,IFT122,True,True
