,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000683914.1,100.0,20,1,20,32,51,0.002,plus,ENST00000683914.1,ATM,True,True
1,Pair0_3,ENST00000683914.1,100.0,20,1,20,119,100,0.002,minus,ENST00000683914.1,ATM,True,True
2,Pair1_5,ENST00000683914.1,100.0,20,1,20,32,51,0.002,plus,ENST00000683914.1,ATM,True,True
3,Pair1_3,ENST00000683914.1,100.0,20,1,20,112,93,0.002,minus,ENST00000683914.1,ATM,True,True
4,Pair2_5,ENST00000683914.1,100.0,20,1,20,30,49,0.002,plus,ENST00000683914.1,ATM,True,True
5,Pair2_3,ENST00000683914.1,100.0,20,1,20,119,100,0.002,minus,ENST00000683914.1,ATM,True,True
6,Pair3_5,ENST00000683914.1,100.0,20,1,20,30,49,0.002,plus,ENST00000683914.1,ATM,True,True
7,Pair3_3,ENST00000683914.1,100.0,20,1,20,112,93,0.002,minus,ENST00000683914.1,ATM,True,True
8,Pair4_3,ENST00000683914.1,100.0,20,1,20,50,31,0.002,minus,ENST00000683914.1,ATM,True,True
9,Pair5_3,ENST00000683914.1,100.0,20,1,20,52,33,0.002,minus,ENST00000683914.1,ATM,True,True
10,Pair6_3,ENST00000683914.1,100.0,21,1,21,53,33,0.000398,minus,ENST00000683914.1,ATM,True,True
11,Pair7_5,ENST00000683914.1,100.0,20,1,20,32,51,0.002,plus,ENST00000683914.1,ATM,True,True
12,Pair7_3,ENST00000683914.1,100.0,21,1,21,121,101,0.000398,minus,ENST00000683914.1,ATM,True,True
13,Pair8_3,ENST00000683914.1,100.0,20,1,20,48,29,0.002,minus,ENST00000683914.1,ATM,True,True
14,Pair9_5,ENST00000683914.1,100.0,20,1,20,32,51,0.002,plus,ENST00000683914.1,ATM,True,True
15,Pair9_3,ENST00000683914.1,100.0,22,1,22,114,93,0.000121,minus,ENST00000683914.1,ATM,True,True
16,Pair10_5,ENST00000683914.1,100.0,20,1,20,32,51,0.002,plus,ENST00000683914.1,ATM,True,True
17,Pair10_3,ENST00000683914.1,100.0,22,1,22,184,163,0.000121,minus,ENST00000683914.1,ATM,True,True
18,Pair11_5,ENST00000683914.1,100.0,20,1,20,32,51,0.002,plus,ENST00000683914.1,ATM,True,True
19,Pair11_3,ENST00000683914.1,100.0,21,1,21,113,93,0.000398,minus,ENST00000683914.1,ATM,True,True
