,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1966,Pair37_5,ENST00000553398.1,100.0,15,1,15,674,660,1.8,minus,ENST00000553398.1,IRAG2,True,True
1976,Pair0_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1977,Pair2_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1978,Pair3_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1980,Pair9_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1981,Pair10_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1982,Pair12_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1984,Pair14_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1985,Pair19_5,ENST00000268616.9,100.0,16,1,16,6541,6526,0.38,minus,ENST00000268616.9,ZCCHC14,True,True
1989,Pair23_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1991,Pair25_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1992,Pair31_5,ENST00000268616.9,100.0,15,1,15,6540,6526,1.5,minus,ENST00000268616.9,ZCCHC14,True,True
1995,Pair41_5,ENST00000268616.9,100.0,16,1,16,6541,6526,0.38,minus,ENST00000268616.9,ZCCHC14,True,True
1999,Pair45_5,ENST00000268616.9,100.0,16,1,16,6541,6526,0.46,minus,ENST00000268616.9,ZCCHC14,True,True
2004,Pair0_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2005,Pair2_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2006,Pair3_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2008,Pair9_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2009,Pair10_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2010,Pair12_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2012,Pair14_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2013,Pair19_5,ENST00000568020.6,100.0,16,1,16,5883,5868,0.38,minus,ENST00000568020.6,ZCCHC14,True,True
2017,Pair23_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2019,Pair25_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2020,Pair31_5,ENST00000568020.6,100.0,15,1,15,5882,5868,1.5,minus,ENST00000568020.6,ZCCHC14,True,True
2023,Pair41_5,ENST00000568020.6,100.0,16,1,16,5883,5868,0.38,minus,ENST00000568020.6,ZCCHC14,True,True
2027,Pair45_5,ENST00000568020.6,100.0,16,1,16,5883,5868,0.46,minus,ENST00000568020.6,ZCCHC14,True,True
2032,Pair0_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2033,Pair2_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2034,Pair3_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2036,Pair9_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2037,Pair10_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2038,Pair12_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2040,Pair14_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2041,Pair19_5,ENST00000671377.2,100.0,16,1,16,7711,7696,0.38,minus,ENST00000671377.2,ZCCHC14,True,True
2045,Pair23_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2047,Pair25_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2048,Pair31_5,ENST00000671377.2,100.0,15,1,15,7710,7696,1.5,minus,ENST00000671377.2,ZCCHC14,True,True
2051,Pair41_5,ENST00000671377.2,100.0,16,1,16,7711,7696,0.38,minus,ENST00000671377.2,ZCCHC14,True,True
2055,Pair45_5,ENST00000671377.2,100.0,16,1,16,7711,7696,0.46,minus,ENST00000671377.2,ZCCHC14,True,True
3150,Pair7_5,ENST00000554555.1,100.0,15,1,15,304,290,1.5,minus,ENST00000554555.1,TTC6,True,True
3157,Pair16_5,ENST00000554555.1,100.0,15,1,15,304,290,1.5,minus,ENST00000554555.1,TTC6,True,True
3164,Pair28_5,ENST00000554555.1,100.0,15,1,15,304,290,1.5,minus,ENST00000554555.1,TTC6,True,True
3172,Pair39_5,ENST00000554555.1,100.0,15,1,15,304,290,1.5,minus,ENST00000554555.1,TTC6,True,True
3728,Pair0_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3729,Pair1_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3730,Pair2_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3732,Pair4_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3734,Pair6_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3735,Pair7_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3736,Pair8_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3737,Pair9_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3739,Pair11_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3740,Pair12_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3747,Pair19_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3748,Pair20_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3749,Pair21_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3750,Pair22_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3751,Pair24_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3753,Pair27_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3754,Pair28_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3755,Pair29_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.61,minus,ENST00000607197.6,HEBP2,True,True
3756,Pair30_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3758,Pair33_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3759,Pair34_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3760,Pair35_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3761,Pair36_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3762,Pair37_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3770,Pair45_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3771,Pair47_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3772,Pair48_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
3773,Pair49_3,ENST00000607197.6,100.0,16,1,16,7271,7256,0.54,minus,ENST00000607197.6,HEBP2,True,True
6778,Pair30_5,ENST00000697858.1,100.0,15,1,15,535,521,1.8,minus,ENST00000697858.1,SLX4,True,True
6800,Pair30_5,ENST00000486524.1,100.0,15,1,15,2748,2734,1.8,minus,ENST00000486524.1,SLX4,True,True
6822,Pair30_5,ENST00000510246.1,100.0,15,1,15,123,109,1.8,minus,ENST00000510246.1,EME1,True,True
6844,Pair30_5,ENST00000511648.6,100.0,15,1,15,626,612,1.8,minus,ENST00000511648.6,EME1,True,True
6866,Pair30_5,ENST00000338165.9,100.0,15,1,15,675,661,1.8,minus,ENST00000338165.9,EME1,True,True
6888,Pair30_5,ENST00000393271.6,100.0,15,1,15,684,670,1.8,minus,ENST00000393271.6,EME1,True,True
6902,Pair6_5,ENST00000620195.4,100.0,15,1,15,9835,9821,1.5,minus,ENST00000620195.4,ZNF778,True,True
6903,Pair6_5,ENST00000620195.4,100.0,15,1,15,10167,10153,1.5,minus,ENST00000620195.4,ZNF778,True,True
6912,Pair15_5,ENST00000620195.4,100.0,15,1,15,9835,9821,1.5,minus,ENST00000620195.4,ZNF778,True,True
6913,Pair15_5,ENST00000620195.4,100.0,15,1,15,10167,10153,1.5,minus,ENST00000620195.4,ZNF778,True,True
6924,Pair27_5,ENST00000620195.4,100.0,15,1,15,9835,9821,1.5,minus,ENST00000620195.4,ZNF778,True,True
6925,Pair27_5,ENST00000620195.4,100.0,15,1,15,10167,10153,1.5,minus,ENST00000620195.4,ZNF778,True,True
6942,Pair38_5,ENST00000620195.4,100.0,15,1,15,9835,9821,1.5,minus,ENST00000620195.4,ZNF778,True,True
6943,Pair38_5,ENST00000620195.4,100.0,15,1,15,10167,10153,1.5,minus,ENST00000620195.4,ZNF778,True,True
6956,Pair6_5,ENST00000433976.7,100.0,15,1,15,9926,9912,1.5,minus,ENST00000433976.7,ZNF778,True,True
6957,Pair6_5,ENST00000433976.7,100.0,15,1,15,10258,10244,1.5,minus,ENST00000433976.7,ZNF778,True,True
6966,Pair15_5,ENST00000433976.7,100.0,15,1,15,9926,9912,1.5,minus,ENST00000433976.7,ZNF778,True,True
6967,Pair15_5,ENST00000433976.7,100.0,15,1,15,10258,10244,1.5,minus,ENST00000433976.7,ZNF778,True,True
6978,Pair27_5,ENST00000433976.7,100.0,15,1,15,9926,9912,1.5,minus,ENST00000433976.7,ZNF778,True,True
6979,Pair27_5,ENST00000433976.7,100.0,15,1,15,10258,10244,1.5,minus,ENST00000433976.7,ZNF778,True,True
6996,Pair38_5,ENST00000433976.7,100.0,15,1,15,9926,9912,1.5,minus,ENST00000433976.7,ZNF778,True,True
6997,Pair38_5,ENST00000433976.7,100.0,15,1,15,10258,10244,1.5,minus,ENST00000433976.7,ZNF778,True,True
7007,Pair6_5,ENST00000359271.4,100.0,15,1,15,1216,1202,1.5,minus,ENST00000359271.4,SLC2A10,True,True
7012,Pair15_5,ENST00000359271.4,100.0,15,1,15,1216,1202,1.5,minus,ENST00000359271.4,SLC2A10,True,True
7018,Pair27_5,ENST00000359271.4,100.0,15,1,15,1216,1202,1.5,minus,ENST00000359271.4,SLC2A10,True,True
7027,Pair38_5,ENST00000359271.4,100.0,15,1,15,1216,1202,1.5,minus,ENST00000359271.4,SLC2A10,True,True
7051,Pair34_5,ENST00000537109.1,100.0,15,8,22,539,553,1.8,plus,ENST00000537109.1,DNAJC4,True,True
7076,Pair37_5,ENST00000503118.2,100.0,15,8,22,91,105,1.8,plus,ENST00000503118.2,LRRC59,True,True
8743,Pair35_5,ENST00000355295.5,100.0,15,1,15,479,465,1.8,minus,ENST00000355295.5,TDRD7,True,True
8748,Pair7_5,ENST00000547837.5,100.0,15,7,21,1348,1362,1.5,plus,ENST00000547837.5,SPRYD3,True,True
8751,Pair16_5,ENST00000547837.5,100.0,15,7,21,1348,1362,1.5,plus,ENST00000547837.5,SPRYD3,True,True
8754,Pair28_5,ENST00000547837.5,100.0,15,7,21,1348,1362,1.5,plus,ENST00000547837.5,SPRYD3,True,True
8759,Pair39_5,ENST00000547837.5,100.0,15,7,21,1348,1362,1.5,plus,ENST00000547837.5,SPRYD3,True,True
8762,Pair7_5,ENST00000547257.1,100.0,15,7,21,45,59,1.5,plus,ENST00000547257.1,SPRYD3,True,True
8765,Pair16_5,ENST00000547257.1,100.0,15,7,21,45,59,1.5,plus,ENST00000547257.1,SPRYD3,True,True
8768,Pair28_5,ENST00000547257.1,100.0,15,7,21,45,59,1.5,plus,ENST00000547257.1,SPRYD3,True,True
8773,Pair39_5,ENST00000547257.1,100.0,15,7,21,45,59,1.5,plus,ENST00000547257.1,SPRYD3,True,True
8776,Pair7_5,ENST00000301463.9,100.0,15,7,21,1250,1264,1.5,plus,ENST00000301463.9,SPRYD3,True,True
8779,Pair16_5,ENST00000301463.9,100.0,15,7,21,1250,1264,1.5,plus,ENST00000301463.9,SPRYD3,True,True
8782,Pair28_5,ENST00000301463.9,100.0,15,7,21,1250,1264,1.5,plus,ENST00000301463.9,SPRYD3,True,True
8787,Pair39_5,ENST00000301463.9,100.0,15,7,21,1250,1264,1.5,plus,ENST00000301463.9,SPRYD3,True,True
9143,Pair35_5,ENST00000376143.5,95.238,21,1,21,870,850,0.12,minus,ENST00000376143.5,FGF14,True,True
9145,Pair35_5,ENST00000376131.8,95.238,21,1,21,681,661,0.12,minus,ENST00000376131.8,FGF14,True,True
9263,Pair83_5,ENST00000361545.9,100.0,16,1,16,4416,4401,0.38,minus,ENST00000361545.9,CLIP2,True,True
9264,Pair84_5,ENST00000361545.9,100.0,16,1,16,4416,4401,0.38,minus,ENST00000361545.9,CLIP2,True,True
9265,Pair85_5,ENST00000361545.9,100.0,16,1,16,4416,4401,0.38,minus,ENST00000361545.9,CLIP2,True,True
9266,Pair86_5,ENST00000361545.9,100.0,16,1,16,4416,4401,0.38,minus,ENST00000361545.9,CLIP2,True,True
9273,Pair95_5,ENST00000361545.9,100.0,16,1,16,4416,4401,0.38,minus,ENST00000361545.9,CLIP2,True,True
9291,Pair83_5,ENST00000223398.11,100.0,16,1,16,4589,4574,0.38,minus,ENST00000223398.11,CLIP2,True,True
