,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
928,Pair0_5,ENST00000413631.1,95.0,20,1,20,293,274,0.38,minus,ENST00000413631.1,PARP1P1,True,True
930,Pair1_5,ENST00000413631.1,95.0,20,1,20,293,274,0.38,minus,ENST00000413631.1,PARP1P1,True,True
935,Pair6_5,ENST00000413631.1,100.0,20,1,20,546,527,0.002,minus,ENST00000413631.1,PARP1P1,True,True
936,Pair7_5,ENST00000413631.1,100.0,20,1,20,510,491,0.002,minus,ENST00000413631.1,PARP1P1,True,True
937,Pair7_3,ENST00000413631.1,95.0,20,1,20,323,342,0.38,plus,ENST00000413631.1,PARP1P1,True,True
938,Pair8_5,ENST00000413631.1,95.455,22,1,22,633,612,0.029,minus,ENST00000413631.1,PARP1P1,True,True
939,Pair8_3,ENST00000413631.1,95.0,20,1,20,419,438,0.38,plus,ENST00000413631.1,PARP1P1,True,True
940,Pair9_5,ENST00000413631.1,95.455,22,1,22,632,611,0.029,minus,ENST00000413631.1,PARP1P1,True,True
941,Pair9_3,ENST00000413631.1,95.0,20,1,20,419,438,0.38,plus,ENST00000413631.1,PARP1P1,True,True
942,Pair10_5,ENST00000413631.1,100.0,16,1,16,642,627,0.38,minus,ENST00000413631.1,PARP1P1,True,True
943,Pair10_3,ENST00000413631.1,95.0,20,1,20,419,438,0.38,plus,ENST00000413631.1,PARP1P1,True,True
944,Pair11_5,ENST00000413631.1,95.0,20,1,20,665,646,0.38,minus,ENST00000413631.1,PARP1P1,True,True
945,Pair11_3,ENST00000413631.1,95.0,20,1,20,419,438,0.38,plus,ENST00000413631.1,PARP1P1,True,True
946,Pair12_3,ENST00000413631.1,100.0,16,5,20,627,642,0.38,plus,ENST00000413631.1,PARP1P1,True,True
947,Pair13_3,ENST00000413631.1,95.0,20,1,20,646,665,0.38,plus,ENST00000413631.1,PARP1P1,True,True
948,Pair14_3,ENST00000413631.1,100.0,18,1,18,828,845,0.015,plus,ENST00000413631.1,PARP1P1,True,True
949,Pair15_3,ENST00000413631.1,100.0,18,1,18,828,845,0.015,plus,ENST00000413631.1,PARP1P1,True,True
951,Pair16_3,ENST00000413631.1,100.0,20,1,20,737,756,0.002,plus,ENST00000413631.1,PARP1P1,True,True
953,Pair17_3,ENST00000413631.1,100.0,20,1,20,737,756,0.002,plus,ENST00000413631.1,PARP1P1,True,True
955,Pair22_5,ENST00000413631.1,96.154,26,1,26,1174,1149,0.000202,minus,ENST00000413631.1,PARP1P1,True,True
956,Pair22_3,ENST00000413631.1,95.0,20,6,25,1010,1029,0.69,plus,ENST00000413631.1,PARP1P1,True,True
957,Pair23_5,ENST00000413631.1,96.154,26,1,26,1174,1149,0.000202,minus,ENST00000413631.1,PARP1P1,True,True
958,Pair23_3,ENST00000413631.1,95.238,21,6,26,1010,1030,0.19,plus,ENST00000413631.1,PARP1P1,True,True
959,Pair24_5,ENST00000413631.1,100.0,18,1,18,1214,1197,0.025,minus,ENST00000413631.1,PARP1P1,True,True
960,Pair24_3,ENST00000413631.1,95.652,23,2,24,1010,1032,0.01,plus,ENST00000413631.1,PARP1P1,True,True
961,Pair25_5,ENST00000413631.1,100.0,20,1,20,1216,1197,0.002,minus,ENST00000413631.1,PARP1P1,True,True
962,Pair25_3,ENST00000413631.1,95.652,23,2,24,1010,1032,0.01,plus,ENST00000413631.1,PARP1P1,True,True
965,Pair28_5,ENST00000413631.1,100.0,17,1,17,1431,1415,0.097,minus,ENST00000413631.1,PARP1P1,True,True
966,Pair28_3,ENST00000413631.1,100.0,18,3,20,1197,1214,0.025,plus,ENST00000413631.1,PARP1P1,True,True
968,Pair29_3,ENST00000413631.1,100.0,18,3,20,1197,1214,0.025,plus,ENST00000413631.1,PARP1P1,True,True
969,Pair30_5,ENST00000413631.1,100.0,22,1,22,1543,1522,0.000121,minus,ENST00000413631.1,PARP1P1,True,True
971,Pair31_5,ENST00000413631.1,100.0,22,1,22,1543,1522,0.000121,minus,ENST00000413631.1,PARP1P1,True,True
973,Pair32_3,ENST00000413631.1,100.0,17,4,20,1415,1431,0.097,plus,ENST00000413631.1,PARP1P1,True,True
975,Pair33_3,ENST00000413631.1,100.0,17,4,20,1415,1431,0.097,plus,ENST00000413631.1,PARP1P1,True,True
976,Pair34_3,ENST00000413631.1,100.0,21,1,21,1569,1589,0.000398,plus,ENST00000413631.1,PARP1P1,True,True
977,Pair35_3,ENST00000413631.1,100.0,22,1,22,1568,1589,0.000121,plus,ENST00000413631.1,PARP1P1,True,True
978,Pair36_5,ENST00000413631.1,100.0,20,1,20,1923,1904,0.002,minus,ENST00000413631.1,PARP1P1,True,True
979,Pair37_5,ENST00000413631.1,100.0,20,1,20,1924,1905,0.002,minus,ENST00000413631.1,PARP1P1,True,True
980,Pair38_3,ENST00000413631.1,95.0,20,1,20,1624,1643,0.38,plus,ENST00000413631.1,PARP1P1,True,True
981,Pair39_3,ENST00000413631.1,100.0,20,1,20,1637,1656,0.002,plus,ENST00000413631.1,PARP1P1,True,True
982,Pair40_5,ENST00000413631.1,100.0,20,1,20,2261,2242,0.002,minus,ENST00000413631.1,PARP1P1,True,True
983,Pair40_3,ENST00000413631.1,100.0,20,1,20,2080,2099,0.002,plus,ENST00000413631.1,PARP1P1,True,True
984,Pair41_5,ENST00000413631.1,100.0,20,1,20,2261,2242,0.002,minus,ENST00000413631.1,PARP1P1,True,True
985,Pair41_3,ENST00000413631.1,100.0,20,1,20,2079,2098,0.002,plus,ENST00000413631.1,PARP1P1,True,True
