,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
592,Pair2_3,ENST00000428639.1,100.0,15,1,15,422,408,1.5,minus,ENST00000428639.1,WASF5P,True,True
593,Pair15_5,ENST00000428639.1,100.0,15,6,20,408,422,1.5,plus,ENST00000428639.1,WASF5P,True,True
594,Pair2_3,ENST00000414327.1,100.0,15,1,15,422,408,1.5,minus,ENST00000414327.1,WASF5P,True,True
595,Pair15_5,ENST00000414327.1,100.0,15,6,20,408,422,1.5,plus,ENST00000414327.1,WASF5P,True,True
596,Pair2_3,ENST00000441826.1,100.0,15,1,15,422,408,1.5,minus,ENST00000441826.1,WASF5P,True,True
597,Pair15_5,ENST00000441826.1,100.0,15,6,20,408,422,1.5,plus,ENST00000441826.1,WASF5P,True,True
598,Pair2_3,ENST00000438744.1,100.0,15,1,15,422,408,1.5,minus,ENST00000438744.1,WASF5P,True,True
599,Pair15_5,ENST00000438744.1,100.0,15,6,20,408,422,1.5,plus,ENST00000438744.1,WASF5P,True,True
600,Pair2_3,ENST00000456141.1,100.0,15,1,15,422,408,1.5,minus,ENST00000456141.1,WASF5P,True,True
601,Pair15_5,ENST00000456141.1,100.0,15,6,20,408,422,1.5,plus,ENST00000456141.1,WASF5P,True,True
602,Pair2_3,ENST00000420590.1,100.0,15,1,15,422,408,1.5,minus,ENST00000420590.1,WASF5P,True,True
603,Pair15_5,ENST00000420590.1,100.0,15,6,20,408,422,1.5,plus,ENST00000420590.1,WASF5P,True,True
604,Pair2_3,ENST00000411428.1,100.0,15,1,15,422,408,1.5,minus,ENST00000411428.1,WASF5P,True,True
605,Pair15_5,ENST00000411428.1,100.0,15,6,20,408,422,1.5,plus,ENST00000411428.1,WASF5P,True,True
919,Pair3_5,ENST00000423821.2,100.0,15,1,15,189,175,1.5,minus,ENST00000423821.2,,True,True
920,Pair4_5,ENST00000423821.2,100.0,15,1,15,189,175,1.5,minus,ENST00000423821.2,,True,True
1511,Pair4_3,ENST00000566076.1,100.0,15,1,15,350,336,1.5,minus,ENST00000566076.1,PLA2G4B,True,True
1513,Pair9_5,ENST00000566076.1,100.0,15,6,20,336,350,1.5,plus,ENST00000566076.1,PLA2G4B,True,True
1515,Pair11_5,ENST00000566076.1,100.0,15,6,20,336,350,1.5,plus,ENST00000566076.1,PLA2G4B,True,True
1516,Pair12_5,ENST00000566076.1,100.0,15,6,20,336,350,1.5,plus,ENST00000566076.1,PLA2G4B,True,True
1518,Pair14_5,ENST00000566076.1,100.0,15,6,20,336,350,1.5,plus,ENST00000566076.1,PLA2G4B,True,True
1520,Pair4_3,ENST00000483748.5,100.0,15,1,15,2192,2178,1.5,minus,ENST00000483748.5,PLA2G4B,True,True
1522,Pair9_5,ENST00000483748.5,100.0,15,6,20,2178,2192,1.5,plus,ENST00000483748.5,PLA2G4B,True,True
1524,Pair11_5,ENST00000483748.5,100.0,15,6,20,2178,2192,1.5,plus,ENST00000483748.5,PLA2G4B,True,True
1525,Pair12_5,ENST00000483748.5,100.0,15,6,20,2178,2192,1.5,plus,ENST00000483748.5,PLA2G4B,True,True
1527,Pair14_5,ENST00000483748.5,100.0,15,6,20,2178,2192,1.5,plus,ENST00000483748.5,PLA2G4B,True,True
1529,Pair4_3,ENST00000458483.4,100.0,15,1,15,1850,1836,1.5,minus,ENST00000458483.4,PLA2G4B,True,True
1531,Pair9_5,ENST00000458483.4,100.0,15,6,20,1836,1850,1.5,plus,ENST00000458483.4,PLA2G4B,True,True
1533,Pair11_5,ENST00000458483.4,100.0,15,6,20,1836,1850,1.5,plus,ENST00000458483.4,PLA2G4B,True,True
1534,Pair12_5,ENST00000458483.4,100.0,15,6,20,1836,1850,1.5,plus,ENST00000458483.4,PLA2G4B,True,True
