,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
308,Pair0_5,XM_047428614,100.0,22,1,22,1258,1237,0.000243,minus,XM_047428614,-,-,True,True
309,Pair0_3,XM_047428614,100.0,18,1,18,1089,1106,0.03,plus,XM_047428614,-,-,True,True
310,Pair1_5,XM_047428614,100.0,22,1,22,1259,1238,0.000243,minus,XM_047428614,-,-,True,True
311,Pair1_3,XM_047428614,100.0,18,1,18,1089,1106,0.03,plus,XM_047428614,-,-,True,True
312,Pair2_5,XM_047428614,100.0,22,1,22,1260,1239,0.000243,minus,XM_047428614,-,-,True,True
313,Pair2_3,XM_047428614,100.0,18,1,18,1089,1106,0.03,plus,XM_047428614,-,-,True,True
314,Pair3_5,XM_047428614,100.0,22,1,22,1259,1238,0.000243,minus,XM_047428614,-,-,True,True
315,Pair3_3,XM_047428614,100.0,18,1,18,1090,1107,0.03,plus,XM_047428614,-,-,True,True
316,Pair4_5,XM_047428614,100.0,22,1,22,1260,1239,0.000243,minus,XM_047428614,-,-,True,True
317,Pair4_3,XM_047428614,100.0,18,1,18,1090,1107,0.03,plus,XM_047428614,-,-,True,True
318,Pair5_5,XM_047428614,100.0,22,1,22,1258,1237,0.000243,minus,XM_047428614,-,-,True,True
319,Pair5_3,XM_047428614,100.0,19,1,19,1089,1107,0.008,plus,XM_047428614,-,-,True,True
320,Pair6_5,XM_047428614,100.0,22,1,22,1259,1238,0.000243,minus,XM_047428614,-,-,True,True
321,Pair6_3,XM_047428614,100.0,19,1,19,1089,1107,0.008,plus,XM_047428614,-,-,True,True
322,Pair7_5,XM_047428614,100.0,22,1,22,1260,1239,0.000243,minus,XM_047428614,-,-,True,True
323,Pair7_3,XM_047428614,100.0,19,1,19,1089,1107,0.008,plus,XM_047428614,-,-,True,True
324,Pair8_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
325,Pair8_3,XM_047428614,100.0,18,1,18,1089,1106,0.03,plus,XM_047428614,-,-,True,True
326,Pair9_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
327,Pair9_3,XM_047428614,100.0,18,1,18,1089,1106,0.03,plus,XM_047428614,-,-,True,True
328,Pair10_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
329,Pair10_3,XM_047428614,100.0,18,1,18,1090,1107,0.03,plus,XM_047428614,-,-,True,True
330,Pair11_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
331,Pair11_3,XM_047428614,100.0,19,1,19,1089,1107,0.008,plus,XM_047428614,-,-,True,True
332,Pair12_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
333,Pair12_3,XM_047428614,100.0,18,1,18,1090,1107,0.03,plus,XM_047428614,-,-,True,True
334,Pair13_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
335,Pair13_3,XM_047428614,100.0,19,1,19,1089,1107,0.008,plus,XM_047428614,-,-,True,True
336,Pair14_5,XM_047428614,100.0,23,1,23,1259,1237,7.19e-05,minus,XM_047428614,-,-,True,True
337,Pair14_3,XM_047428614,100.0,18,1,18,1089,1106,0.03,plus,XM_047428614,-,-,True,True
338,Pair15_5,XM_047428614,100.0,22,1,22,1258,1237,0.000243,minus,XM_047428614,-,-,True,True
339,Pair15_3,XM_047428614,100.0,17,1,17,1089,1105,0.078,plus,XM_047428614,-,-,True,True
340,Pair16_5,XM_047428614,100.0,22,1,22,1259,1238,0.000243,minus,XM_047428614,-,-,True,True
341,Pair16_3,XM_047428614,100.0,17,1,17,1089,1105,0.078,plus,XM_047428614,-,-,True,True
342,Pair17_5,XM_047428614,100.0,22,1,22,1260,1239,0.000243,minus,XM_047428614,-,-,True,True
343,Pair17_3,XM_047428614,100.0,17,1,17,1089,1105,0.078,plus,XM_047428614,-,-,True,True
344,Pair18_5,XM_047428614,100.0,23,1,23,1259,1237,7.19e-05,minus,XM_047428614,-,-,True,True
345,Pair18_3,XM_047428614,100.0,18,1,18,1090,1107,0.03,plus,XM_047428614,-,-,True,True
346,Pair19_5,XM_047428614,100.0,23,1,23,1259,1237,7.19e-05,minus,XM_047428614,-,-,True,True
347,Pair19_3,XM_047428614,100.0,19,1,19,1089,1107,0.008,plus,XM_047428614,-,-,True,True
348,Pair20_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
349,Pair20_3,XM_047428614,100.0,18,1,18,1092,1109,0.03,plus,XM_047428614,-,-,True,True
350,Pair21_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
351,Pair21_3,XM_047428614,100.0,17,1,17,1089,1105,0.078,plus,XM_047428614,-,-,True,True
352,Pair22_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
353,Pair22_3,XM_047428614,100.0,18,1,18,1092,1109,0.03,plus,XM_047428614,-,-,True,True
354,Pair23_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
355,Pair23_3,XM_047428614,100.0,17,1,17,1092,1108,0.078,plus,XM_047428614,-,-,True,True
356,Pair24_5,XM_047428614,100.0,22,1,22,1259,1238,0.000243,minus,XM_047428614,-,-,True,True
357,Pair24_3,XM_047428614,100.0,17,1,17,1090,1106,0.078,plus,XM_047428614,-,-,True,True
358,Pair25_5,XM_047428614,100.0,22,1,22,1260,1239,0.000243,minus,XM_047428614,-,-,True,True
359,Pair25_3,XM_047428614,100.0,17,1,17,1090,1106,0.078,plus,XM_047428614,-,-,True,True
360,Pair26_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
361,Pair26_3,XM_047428614,100.0,17,1,17,1089,1105,0.078,plus,XM_047428614,-,-,True,True
362,Pair27_5,XM_047428614,100.0,22,1,22,1260,1239,0.000243,minus,XM_047428614,-,-,True,True
363,Pair27_3,XM_047428614,100.0,17,1,17,1091,1107,0.078,plus,XM_047428614,-,-,True,True
364,Pair28_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
365,Pair28_3,XM_047428614,100.0,17,1,17,1092,1108,0.078,plus,XM_047428614,-,-,True,True
366,Pair29_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
367,Pair29_3,XM_047428614,100.0,17,1,17,1090,1106,0.078,plus,XM_047428614,-,-,True,True
368,Pair30_5,XM_047428614,100.0,23,1,23,1259,1237,7.19e-05,minus,XM_047428614,-,-,True,True
369,Pair30_3,XM_047428614,100.0,17,1,17,1089,1105,0.078,plus,XM_047428614,-,-,True,True
370,Pair31_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
371,Pair31_3,XM_047428614,100.0,17,1,17,1091,1107,0.078,plus,XM_047428614,-,-,True,True
372,Pair32_5,XM_047428614,100.0,23,1,23,1262,1240,7.19e-05,minus,XM_047428614,-,-,True,True
373,Pair32_3,XM_047428614,100.0,17,1,17,1093,1109,0.078,plus,XM_047428614,-,-,True,True
374,Pair33_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
375,Pair33_3,XM_047428614,100.0,17,1,17,1090,1106,0.078,plus,XM_047428614,-,-,True,True
376,Pair34_5,XM_047428614,100.0,23,1,23,1261,1239,7.19e-05,minus,XM_047428614,-,-,True,True
377,Pair34_3,XM_047428614,100.0,17,1,17,1091,1107,0.078,plus,XM_047428614,-,-,True,True
378,Pair35_5,XM_047428614,100.0,23,1,23,1259,1237,7.19e-05,minus,XM_047428614,-,-,True,True
379,Pair35_3,XM_047428614,100.0,17,1,17,1090,1106,0.078,plus,XM_047428614,-,-,True,True
380,Pair36_5,XM_047428614,100.0,20,1,20,1254,1235,0.003,minus,XM_047428614,-,-,True,True
381,Pair36_3,XM_047428614,100.0,20,1,20,1034,1053,0.003,plus,XM_047428614,-,-,True,True
382,Pair37_5,XM_047428614,100.0,20,1,20,1228,1209,0.003,minus,XM_047428614,-,-,True,True
383,Pair37_3,XM_047428614,100.0,20,1,20,1034,1053,0.003,plus,XM_047428614,-,-,True,True
384,Pair38_5,XM_047428614,100.0,20,1,20,1254,1235,0.003,minus,XM_047428614,-,-,True,True
385,Pair38_3,XM_047428614,100.0,20,1,20,1061,1080,0.003,plus,XM_047428614,-,-,True,True
