,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
1,Pair0_3,ENST00000514653.5,100.0,20,1,20,137,118,0.002,minus,ENST00000514653.5,IL15,True,True
2,Pair1_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
3,Pair1_3,ENST00000514653.5,100.0,20,1,20,135,116,0.002,minus,ENST00000514653.5,IL15,True,True
4,Pair2_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
5,Pair2_3,ENST00000514653.5,100.0,20,1,20,109,90,0.002,minus,ENST00000514653.5,IL15,True,True
6,Pair3_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
7,Pair3_3,ENST00000514653.5,100.0,20,1,20,133,114,0.002,minus,ENST00000514653.5,IL15,True,True
8,Pair4_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
9,Pair4_3,ENST00000514653.5,100.0,20,1,20,134,115,0.002,minus,ENST00000514653.5,IL15,True,True
10,Pair5_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
11,Pair5_3,ENST00000514653.5,100.0,20,1,20,138,119,0.002,minus,ENST00000514653.5,IL15,True,True
12,Pair6_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
13,Pair6_3,ENST00000514653.5,100.0,20,1,20,108,89,0.002,minus,ENST00000514653.5,IL15,True,True
14,Pair7_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
15,Pair7_3,ENST00000514653.5,100.0,20,1,20,137,118,0.002,minus,ENST00000514653.5,IL15,True,True
16,Pair8_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
17,Pair8_3,ENST00000514653.5,100.0,20,1,20,144,125,0.002,minus,ENST00000514653.5,IL15,True,True
18,Pair9_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
19,Pair9_3,ENST00000514653.5,100.0,20,1,20,98,79,0.002,minus,ENST00000514653.5,IL15,True,True
20,Pair10_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
21,Pair10_3,ENST00000514653.5,100.0,20,1,20,135,116,0.002,minus,ENST00000514653.5,IL15,True,True
22,Pair11_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
23,Pair11_3,ENST00000514653.5,100.0,20,1,20,107,88,0.002,minus,ENST00000514653.5,IL15,True,True
24,Pair12_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
25,Pair12_3,ENST00000514653.5,100.0,19,1,19,107,89,0.005,minus,ENST00000514653.5,IL15,True,True
26,Pair13_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
27,Pair13_3,ENST00000514653.5,100.0,20,1,20,109,90,0.002,minus,ENST00000514653.5,IL15,True,True
28,Pair14_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
29,Pair14_3,ENST00000514653.5,100.0,20,1,20,133,114,0.002,minus,ENST00000514653.5,IL15,True,True
30,Pair15_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
31,Pair15_3,ENST00000514653.5,100.0,20,1,20,134,115,0.002,minus,ENST00000514653.5,IL15,True,True
32,Pair16_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
33,Pair16_3,ENST00000514653.5,100.0,21,1,21,110,90,0.000398,minus,ENST00000514653.5,IL15,True,True
34,Pair17_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
35,Pair17_3,ENST00000514653.5,100.0,21,1,21,137,117,0.000398,minus,ENST00000514653.5,IL15,True,True
36,Pair18_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
37,Pair18_3,ENST00000514653.5,100.0,20,1,20,138,119,0.002,minus,ENST00000514653.5,IL15,True,True
38,Pair19_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
39,Pair19_3,ENST00000514653.5,100.0,20,1,20,108,89,0.002,minus,ENST00000514653.5,IL15,True,True
40,Pair20_5,ENST00000514653.5,100.0,18,1,18,3,20,0.015,plus,ENST00000514653.5,IL15,True,True
41,Pair20_3,ENST00000514653.5,100.0,20,1,20,137,118,0.002,minus,ENST00000514653.5,IL15,True,True
42,Pair21_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
43,Pair21_3,ENST00000514653.5,100.0,20,1,20,145,126,0.002,minus,ENST00000514653.5,IL15,True,True
44,Pair22_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
45,Pair22_3,ENST00000514653.5,100.0,19,1,19,93,75,0.005,minus,ENST00000514653.5,IL15,True,True
46,Pair23_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
47,Pair23_3,ENST00000514653.5,100.0,19,1,19,105,87,0.005,minus,ENST00000514653.5,IL15,True,True
48,Pair24_5,ENST00000514653.5,100.0,18,1,18,3,20,0.015,plus,ENST00000514653.5,IL15,True,True
49,Pair24_3,ENST00000514653.5,100.0,20,1,20,135,116,0.002,minus,ENST00000514653.5,IL15,True,True
50,Pair25_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
51,Pair25_3,ENST00000514653.5,100.0,20,1,20,105,86,0.002,minus,ENST00000514653.5,IL15,True,True
52,Pair26_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
53,Pair26_3,ENST00000514653.5,100.0,20,1,20,106,87,0.002,minus,ENST00000514653.5,IL15,True,True
54,Pair27_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
55,Pair27_3,ENST00000514653.5,100.0,20,1,20,136,117,0.002,minus,ENST00000514653.5,IL15,True,True
56,Pair28_5,ENST00000514653.5,100.0,18,1,18,3,20,0.015,plus,ENST00000514653.5,IL15,True,True
57,Pair28_3,ENST00000514653.5,100.0,20,1,20,109,90,0.002,minus,ENST00000514653.5,IL15,True,True
58,Pair29_5,ENST00000514653.5,100.0,18,1,18,5,22,0.015,plus,ENST00000514653.5,IL15,True,True
59,Pair29_3,ENST00000514653.5,100.0,20,1,20,137,118,0.002,minus,ENST00000514653.5,IL15,True,True
60,Pair30_5,ENST00000514653.5,100.0,18,1,18,3,20,0.015,plus,ENST00000514653.5,IL15,True,True
61,Pair30_3,ENST00000514653.5,100.0,20,1,20,133,114,0.002,minus,ENST00000514653.5,IL15,True,True
62,Pair31_5,ENST00000514653.5,100.0,18,1,18,3,20,0.015,plus,ENST00000514653.5,IL15,True,True
63,Pair31_3,ENST00000514653.5,100.0,20,1,20,134,115,0.002,minus,ENST00000514653.5,IL15,True,True
64,Pair32_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
65,Pair32_3,ENST00000514653.5,100.0,20,1,20,144,125,0.002,minus,ENST00000514653.5,IL15,True,True
66,Pair33_5,ENST00000514653.5,100.0,18,1,18,2,19,0.015,plus,ENST00000514653.5,IL15,True,True
67,Pair33_3,ENST00000514653.5,100.0,20,1,20,98,79,0.002,minus,ENST00000514653.5,IL15,True,True
68,Pair34_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
69,Pair34_3,ENST00000514653.5,100.0,19,1,19,104,86,0.005,minus,ENST00000514653.5,IL15,True,True
70,Pair35_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
71,Pair35_3,ENST00000514653.5,100.0,19,1,19,106,88,0.005,minus,ENST00000514653.5,IL15,True,True
72,Pair36_5,ENST00000514653.5,100.0,18,1,18,3,20,0.015,plus,ENST00000514653.5,IL15,True,True
73,Pair36_3,ENST00000514653.5,100.0,20,1,20,138,119,0.002,minus,ENST00000514653.5,IL15,True,True
74,Pair37_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
75,Pair37_3,ENST00000514653.5,100.0,19,1,19,97,79,0.005,minus,ENST00000514653.5,IL15,True,True
76,Pair38_5,ENST00000514653.5,100.0,19,1,19,5,23,0.005,plus,ENST00000514653.5,IL15,True,True
77,Pair38_3,ENST00000514653.5,100.0,19,1,19,98,80,0.005,minus,ENST00000514653.5,IL15,True,True
