,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
1235,Pair2_3,NM_172320,95.0,20,1,20,453,472,0.36,plus,NM_172320,ENSRNOT00000060535,Afm,True,True
1236,Pair9_3,NM_172320,95.0,20,1,20,453,472,0.36,plus,NM_172320,ENSRNOT00000060535,Afm,True,True
1237,Pair14_3,NM_172320,95.0,20,1,20,453,472,0.36,plus,NM_172320,ENSRNOT00000060535,Afm,True,True
1247,Pair2_3,XR_005488274,100.0,16,1,16,10550,10535,0.36,minus,XR_005488274,ENSRNOT00000109281,Vps13c,True,True
1248,Pair9_3,XR_005488274,100.0,16,1,16,10550,10535,0.36,minus,XR_005488274,ENSRNOT00000109281,Vps13c,True,True
1249,Pair14_3,XR_005488274,100.0,16,1,16,10550,10535,0.36,minus,XR_005488274,ENSRNOT00000109281,Vps13c,True,True
1253,Pair2_3,XM_039086078,100.0,16,1,16,394,379,0.36,minus,XM_039086078,ENSRNOT00000068083,Sp2,True,True
1254,Pair9_3,XM_039086078,100.0,16,1,16,394,379,0.36,minus,XM_039086078,ENSRNOT00000068083,Sp2,True,True
1255,Pair14_3,XM_039086078,100.0,16,1,16,394,379,0.36,minus,XM_039086078,ENSRNOT00000068083,Sp2,True,True
1256,Pair2_3,XR_005488276,100.0,16,1,16,10550,10535,0.36,minus,XR_005488276,ENSRNOT00000109281,Vps13c,True,True
1257,Pair9_3,XR_005488276,100.0,16,1,16,10550,10535,0.36,minus,XR_005488276,ENSRNOT00000109281,Vps13c,True,True
1258,Pair14_3,XR_005488276,100.0,16,1,16,10550,10535,0.36,minus,XR_005488276,ENSRNOT00000109281,Vps13c,True,True
1259,Pair2_3,XR_005488275,100.0,16,1,16,10511,10496,0.36,minus,XR_005488275,ENSRNOT00000111853,Vps13c,True,True
1260,Pair9_3,XR_005488275,100.0,16,1,16,10511,10496,0.36,minus,XR_005488275,ENSRNOT00000111853,Vps13c,True,True
1261,Pair14_3,XR_005488275,100.0,16,1,16,10511,10496,0.36,minus,XR_005488275,ENSRNOT00000111853,Vps13c,True,True
1262,Pair2_3,XR_005488277,100.0,16,1,16,8401,8386,0.36,minus,XR_005488277,ENSRNOT00000107499,Vps13c,True,True
1263,Pair9_3,XR_005488277,100.0,16,1,16,8401,8386,0.36,minus,XR_005488277,ENSRNOT00000107499,Vps13c,True,True
1264,Pair14_3,XR_005488277,100.0,16,1,16,8401,8386,0.36,minus,XR_005488277,ENSRNOT00000107499,Vps13c,True,True
