,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1226,Pair0_3,ENST00000564891.1,100.0,16,1,16,421,406,0.38,minus,ENST00000564891.1,KIFC3,True,True
1227,Pair2_3,ENST00000564891.1,100.0,16,1,16,421,406,0.38,minus,ENST00000564891.1,KIFC3,True,True
1231,Pair8_3,ENST00000564891.1,100.0,16,1,16,421,406,0.38,minus,ENST00000564891.1,KIFC3,True,True
1232,Pair9_3,ENST00000564891.1,100.0,16,1,16,421,406,0.38,minus,ENST00000564891.1,KIFC3,True,True
1233,Pair10_3,ENST00000564891.1,100.0,16,1,16,421,406,0.38,minus,ENST00000564891.1,KIFC3,True,True
1234,Pair11_3,ENST00000564891.1,100.0,16,1,16,421,406,0.38,minus,ENST00000564891.1,KIFC3,True,True
1235,Pair16_5,ENST00000564891.1,100.0,16,5,20,406,421,0.38,plus,ENST00000564891.1,KIFC3,True,True
1236,Pair17_5,ENST00000564891.1,100.0,16,5,20,406,421,0.38,plus,ENST00000564891.1,KIFC3,True,True
1237,Pair19_5,ENST00000564891.1,100.0,16,5,20,406,421,0.38,plus,ENST00000564891.1,KIFC3,True,True
1238,Pair20_5,ENST00000564891.1,100.0,16,6,21,406,421,0.38,plus,ENST00000564891.1,KIFC3,True,True
1240,Pair0_3,ENST00000563028.1,100.0,16,1,16,676,661,0.38,minus,ENST00000563028.1,KIFC3,True,True
1241,Pair2_3,ENST00000563028.1,100.0,16,1,16,676,661,0.38,minus,ENST00000563028.1,KIFC3,True,True
1245,Pair8_3,ENST00000563028.1,100.0,16,1,16,676,661,0.38,minus,ENST00000563028.1,KIFC3,True,True
1246,Pair9_3,ENST00000563028.1,100.0,16,1,16,676,661,0.38,minus,ENST00000563028.1,KIFC3,True,True
1247,Pair10_3,ENST00000563028.1,100.0,16,1,16,676,661,0.38,minus,ENST00000563028.1,KIFC3,True,True
1248,Pair11_3,ENST00000563028.1,100.0,16,1,16,676,661,0.38,minus,ENST00000563028.1,KIFC3,True,True
1249,Pair16_5,ENST00000563028.1,100.0,16,5,20,661,676,0.38,plus,ENST00000563028.1,KIFC3,True,True
1250,Pair17_5,ENST00000563028.1,100.0,16,5,20,661,676,0.38,plus,ENST00000563028.1,KIFC3,True,True
1251,Pair19_5,ENST00000563028.1,100.0,16,5,20,661,676,0.38,plus,ENST00000563028.1,KIFC3,True,True
1252,Pair20_5,ENST00000563028.1,100.0,16,6,21,661,676,0.38,plus,ENST00000563028.1,KIFC3,True,True
1254,Pair0_3,ENST00000567059.5,100.0,16,1,16,390,375,0.38,minus,ENST00000567059.5,KIFC3,True,True
1255,Pair2_3,ENST00000567059.5,100.0,16,1,16,390,375,0.38,minus,ENST00000567059.5,KIFC3,True,True
1259,Pair8_3,ENST00000567059.5,100.0,16,1,16,390,375,0.38,minus,ENST00000567059.5,KIFC3,True,True
1260,Pair9_3,ENST00000567059.5,100.0,16,1,16,390,375,0.38,minus,ENST00000567059.5,KIFC3,True,True
1261,Pair10_3,ENST00000567059.5,100.0,16,1,16,390,375,0.38,minus,ENST00000567059.5,KIFC3,True,True
1262,Pair11_3,ENST00000567059.5,100.0,16,1,16,390,375,0.38,minus,ENST00000567059.5,KIFC3,True,True
1263,Pair16_5,ENST00000567059.5,100.0,16,5,20,375,390,0.38,plus,ENST00000567059.5,KIFC3,True,True
1264,Pair17_5,ENST00000567059.5,100.0,16,5,20,375,390,0.38,plus,ENST00000567059.5,KIFC3,True,True
1265,Pair19_5,ENST00000567059.5,100.0,16,5,20,375,390,0.38,plus,ENST00000567059.5,KIFC3,True,True
1266,Pair20_5,ENST00000567059.5,100.0,16,6,21,375,390,0.38,plus,ENST00000567059.5,KIFC3,True,True
1268,Pair0_3,ENST00000566914.1,100.0,16,1,16,452,437,0.38,minus,ENST00000566914.1,KIFC3,True,True
1269,Pair2_3,ENST00000566914.1,100.0,16,1,16,452,437,0.38,minus,ENST00000566914.1,KIFC3,True,True
1273,Pair8_3,ENST00000566914.1,100.0,16,1,16,452,437,0.38,minus,ENST00000566914.1,KIFC3,True,True
1274,Pair9_3,ENST00000566914.1,100.0,16,1,16,452,437,0.38,minus,ENST00000566914.1,KIFC3,True,True
1275,Pair10_3,ENST00000566914.1,100.0,16,1,16,452,437,0.38,minus,ENST00000566914.1,KIFC3,True,True
1276,Pair11_3,ENST00000566914.1,100.0,16,1,16,452,437,0.38,minus,ENST00000566914.1,KIFC3,True,True
1277,Pair16_5,ENST00000566914.1,100.0,16,5,20,437,452,0.38,plus,ENST00000566914.1,KIFC3,True,True
1278,Pair17_5,ENST00000566914.1,100.0,16,5,20,437,452,0.38,plus,ENST00000566914.1,KIFC3,True,True
1279,Pair19_5,ENST00000566914.1,100.0,16,5,20,437,452,0.38,plus,ENST00000566914.1,KIFC3,True,True
1280,Pair20_5,ENST00000566914.1,100.0,16,6,21,437,452,0.38,plus,ENST00000566914.1,KIFC3,True,True
1282,Pair0_3,ENST00000565684.5,100.0,16,1,16,538,523,0.38,minus,ENST00000565684.5,KIFC3,True,True
1283,Pair2_3,ENST00000565684.5,100.0,16,1,16,538,523,0.38,minus,ENST00000565684.5,KIFC3,True,True
1287,Pair8_3,ENST00000565684.5,100.0,16,1,16,538,523,0.38,minus,ENST00000565684.5,KIFC3,True,True
1288,Pair9_3,ENST00000565684.5,100.0,16,1,16,538,523,0.38,minus,ENST00000565684.5,KIFC3,True,True
1289,Pair10_3,ENST00000565684.5,100.0,16,1,16,538,523,0.38,minus,ENST00000565684.5,KIFC3,True,True
1290,Pair11_3,ENST00000565684.5,100.0,16,1,16,538,523,0.38,minus,ENST00000565684.5,KIFC3,True,True
1291,Pair16_5,ENST00000565684.5,100.0,16,5,20,523,538,0.38,plus,ENST00000565684.5,KIFC3,True,True
1292,Pair17_5,ENST00000565684.5,100.0,16,5,20,523,538,0.38,plus,ENST00000565684.5,KIFC3,True,True
1293,Pair19_5,ENST00000565684.5,100.0,16,5,20,523,538,0.38,plus,ENST00000565684.5,KIFC3,True,True
1294,Pair20_5,ENST00000565684.5,100.0,16,6,21,523,538,0.38,plus,ENST00000565684.5,KIFC3,True,True
1296,Pair0_3,ENST00000566975.5,100.0,16,1,16,348,333,0.38,minus,ENST00000566975.5,KIFC3,True,True
1297,Pair2_3,ENST00000566975.5,100.0,16,1,16,348,333,0.38,minus,ENST00000566975.5,KIFC3,True,True
1301,Pair8_3,ENST00000566975.5,100.0,16,1,16,348,333,0.38,minus,ENST00000566975.5,KIFC3,True,True
1302,Pair9_3,ENST00000566975.5,100.0,16,1,16,348,333,0.38,minus,ENST00000566975.5,KIFC3,True,True
1303,Pair10_3,ENST00000566975.5,100.0,16,1,16,348,333,0.38,minus,ENST00000566975.5,KIFC3,True,True
1304,Pair11_3,ENST00000566975.5,100.0,16,1,16,348,333,0.38,minus,ENST00000566975.5,KIFC3,True,True
1305,Pair16_5,ENST00000566975.5,100.0,16,5,20,333,348,0.38,plus,ENST00000566975.5,KIFC3,True,True
1306,Pair17_5,ENST00000566975.5,100.0,16,5,20,333,348,0.38,plus,ENST00000566975.5,KIFC3,True,True
1307,Pair19_5,ENST00000566975.5,100.0,16,5,20,333,348,0.38,plus,ENST00000566975.5,KIFC3,True,True
1308,Pair20_5,ENST00000566975.5,100.0,16,6,21,333,348,0.38,plus,ENST00000566975.5,KIFC3,True,True
1310,Pair0_3,ENST00000561524.5,100.0,16,1,16,248,233,0.38,minus,ENST00000561524.5,KIFC3,True,True
1311,Pair2_3,ENST00000561524.5,100.0,16,1,16,248,233,0.38,minus,ENST00000561524.5,KIFC3,True,True
1315,Pair8_3,ENST00000561524.5,100.0,16,1,16,248,233,0.38,minus,ENST00000561524.5,KIFC3,True,True
1316,Pair9_3,ENST00000561524.5,100.0,16,1,16,248,233,0.38,minus,ENST00000561524.5,KIFC3,True,True
1317,Pair10_3,ENST00000561524.5,100.0,16,1,16,248,233,0.38,minus,ENST00000561524.5,KIFC3,True,True
1318,Pair11_3,ENST00000561524.5,100.0,16,1,16,248,233,0.38,minus,ENST00000561524.5,KIFC3,True,True
1319,Pair16_5,ENST00000561524.5,100.0,16,5,20,233,248,0.38,plus,ENST00000561524.5,KIFC3,True,True
1320,Pair17_5,ENST00000561524.5,100.0,16,5,20,233,248,0.38,plus,ENST00000561524.5,KIFC3,True,True
1321,Pair19_5,ENST00000561524.5,100.0,16,5,20,233,248,0.38,plus,ENST00000561524.5,KIFC3,True,True
1322,Pair20_5,ENST00000561524.5,100.0,16,6,21,233,248,0.38,plus,ENST00000561524.5,KIFC3,True,True
1324,Pair0_3,ENST00000566648.5,100.0,16,1,16,475,460,0.38,minus,ENST00000566648.5,KIFC3,True,True
1325,Pair2_3,ENST00000566648.5,100.0,16,1,16,475,460,0.38,minus,ENST00000566648.5,KIFC3,True,True
1329,Pair8_3,ENST00000566648.5,100.0,16,1,16,475,460,0.38,minus,ENST00000566648.5,KIFC3,True,True
1330,Pair9_3,ENST00000566648.5,100.0,16,1,16,475,460,0.38,minus,ENST00000566648.5,KIFC3,True,True
1331,Pair10_3,ENST00000566648.5,100.0,16,1,16,475,460,0.38,minus,ENST00000566648.5,KIFC3,True,True
1332,Pair11_3,ENST00000566648.5,100.0,16,1,16,475,460,0.38,minus,ENST00000566648.5,KIFC3,True,True
1333,Pair16_5,ENST00000566648.5,100.0,16,5,20,460,475,0.38,plus,ENST00000566648.5,KIFC3,True,True
1334,Pair17_5,ENST00000566648.5,100.0,16,5,20,460,475,0.38,plus,ENST00000566648.5,KIFC3,True,True
1335,Pair19_5,ENST00000566648.5,100.0,16,5,20,460,475,0.38,plus,ENST00000566648.5,KIFC3,True,True
1336,Pair20_5,ENST00000566648.5,100.0,16,6,21,460,475,0.38,plus,ENST00000566648.5,KIFC3,True,True
1338,Pair0_3,ENST00000562984.5,100.0,16,1,16,268,253,0.38,minus,ENST00000562984.5,KIFC3,True,True
1339,Pair2_3,ENST00000562984.5,100.0,16,1,16,268,253,0.38,minus,ENST00000562984.5,KIFC3,True,True
1343,Pair8_3,ENST00000562984.5,100.0,16,1,16,268,253,0.38,minus,ENST00000562984.5,KIFC3,True,True
1344,Pair9_3,ENST00000562984.5,100.0,16,1,16,268,253,0.38,minus,ENST00000562984.5,KIFC3,True,True
1345,Pair10_3,ENST00000562984.5,100.0,16,1,16,268,253,0.38,minus,ENST00000562984.5,KIFC3,True,True
1346,Pair11_3,ENST00000562984.5,100.0,16,1,16,268,253,0.38,minus,ENST00000562984.5,KIFC3,True,True
1347,Pair16_5,ENST00000562984.5,100.0,16,5,20,253,268,0.38,plus,ENST00000562984.5,KIFC3,True,True
1348,Pair17_5,ENST00000562984.5,100.0,16,5,20,253,268,0.38,plus,ENST00000562984.5,KIFC3,True,True
