,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
194,Pair4_5,ENST00000393640.8,100.0,16,5,20,8694,8709,0.38,plus,ENST00000393640.8,ST3GAL2,True,True
201,Pair18_5,ENST00000393640.8,100.0,16,5,20,8694,8709,0.38,plus,ENST00000393640.8,ST3GAL2,True,True
202,Pair19_5,ENST00000393640.8,100.0,16,5,20,8694,8709,0.38,plus,ENST00000393640.8,ST3GAL2,True,True
208,Pair43_5,ENST00000393640.8,100.0,16,5,20,8694,8709,0.38,plus,ENST00000393640.8,ST3GAL2,True,True
215,Pair70_3,ENST00000393640.8,100.0,16,1,16,8709,8694,0.38,minus,ENST00000393640.8,ST3GAL2,True,True
218,Pair78_3,ENST00000393640.8,100.0,16,1,16,8709,8694,0.38,minus,ENST00000393640.8,ST3GAL2,True,True
223,Pair4_5,ENST00000342907.3,100.0,16,5,20,7741,7756,0.38,plus,ENST00000342907.3,ST3GAL2,True,True
230,Pair18_5,ENST00000342907.3,100.0,16,5,20,7741,7756,0.38,plus,ENST00000342907.3,ST3GAL2,True,True
231,Pair19_5,ENST00000342907.3,100.0,16,5,20,7741,7756,0.38,plus,ENST00000342907.3,ST3GAL2,True,True
237,Pair43_5,ENST00000342907.3,100.0,16,5,20,7741,7756,0.38,plus,ENST00000342907.3,ST3GAL2,True,True
244,Pair70_3,ENST00000342907.3,100.0,16,1,16,7756,7741,0.38,minus,ENST00000342907.3,ST3GAL2,True,True
247,Pair78_3,ENST00000342907.3,100.0,16,1,16,7756,7741,0.38,minus,ENST00000342907.3,ST3GAL2,True,True
2692,Pair3_5,ENST00000555570.1,100.0,16,5,20,347,362,0.38,plus,ENST00000555570.1,AK7,True,True
2697,Pair16_5,ENST00000555570.1,100.0,16,5,20,347,362,0.38,plus,ENST00000555570.1,AK7,True,True
2698,Pair17_5,ENST00000555570.1,100.0,16,5,20,347,362,0.38,plus,ENST00000555570.1,AK7,True,True
2703,Pair42_5,ENST00000555570.1,100.0,16,5,20,347,362,0.38,plus,ENST00000555570.1,AK7,True,True
2710,Pair71_3,ENST00000555570.1,100.0,16,1,16,362,347,0.38,minus,ENST00000555570.1,AK7,True,True
2712,Pair79_3,ENST00000555570.1,100.0,16,1,16,362,347,0.38,minus,ENST00000555570.1,AK7,True,True
2784,Pair12_3,ENST00000447752.2,100.0,19,1,19,86,68,0.005,minus,ENST00000447752.2,SYN2,True,True
2785,Pair13_3,ENST00000447752.2,100.0,19,1,19,87,69,0.005,minus,ENST00000447752.2,SYN2,True,True
2786,Pair14_3,ENST00000447752.2,100.0,19,1,19,86,68,0.005,minus,ENST00000447752.2,SYN2,True,True
2787,Pair15_3,ENST00000447752.2,100.0,19,1,19,87,69,0.005,minus,ENST00000447752.2,SYN2,True,True
2788,Pair16_3,ENST00000447752.2,100.0,19,1,19,86,68,0.005,minus,ENST00000447752.2,SYN2,True,True
2789,Pair17_3,ENST00000447752.2,100.0,19,1,19,87,69,0.005,minus,ENST00000447752.2,SYN2,True,True
