,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
0,Pair0_5,NM_001406720,100.0,24,1,24,637,660,2.08e-05,plus,NM_001406720,-,-,True,True
1,Pair0_3,NM_001406720,100.0,20,1,20,688,669,0.003,minus,NM_001406720,-,-,True,True
2,Pair1_5,NM_001406720,100.0,24,1,24,637,660,2.08e-05,plus,NM_001406720,-,-,True,True
3,Pair1_3,NM_001406720,100.0,21,1,21,688,668,0.000801,minus,NM_001406720,-,-,True,True
4,Pair2_5,NM_001406720,100.0,24,1,24,637,660,2.08e-05,plus,NM_001406720,-,-,True,True
5,Pair2_3,NM_001406720,100.0,21,1,21,689,669,0.000801,minus,NM_001406720,-,-,True,True
6,Pair3_5,NM_001406720,100.0,24,1,24,637,660,2.08e-05,plus,NM_001406720,-,-,True,True
7,Pair3_3,NM_001406720,100.0,22,1,22,689,668,0.000243,minus,NM_001406720,-,-,True,True
8,Pair4_5,NM_001406720,100.0,23,1,23,644,666,7.19e-05,plus,NM_001406720,-,-,True,True
9,Pair4_3,NM_001406720,100.0,23,1,23,702,680,7.19e-05,minus,NM_001406720,-,-,True,True
10,Pair5_5,NM_001406720,100.0,23,1,23,644,666,7.19e-05,plus,NM_001406720,-,-,True,True
11,Pair5_3,NM_001406720,100.0,23,1,23,703,681,7.19e-05,minus,NM_001406720,-,-,True,True
12,Pair6_5,NM_001406720,100.0,23,1,23,644,666,7.19e-05,plus,NM_001406720,-,-,True,True
13,Pair6_3,NM_001406720,100.0,22,1,22,696,675,0.000243,minus,NM_001406720,-,-,True,True
14,Pair7_5,NM_001406720,100.0,23,1,23,644,666,7.19e-05,plus,NM_001406720,-,-,True,True
15,Pair7_3,NM_001406720,100.0,22,1,22,703,682,0.000243,minus,NM_001406720,-,-,True,True
16,Pair8_5,NM_001406720,100.0,21,1,21,701,721,0.000801,plus,NM_001406720,-,-,True,True
17,Pair8_3,NM_001406720,100.0,20,1,20,765,746,0.003,minus,NM_001406720,-,-,True,True
18,Pair9_5,NM_001406720,100.0,21,1,21,700,720,0.000801,plus,NM_001406720,-,-,True,True
19,Pair9_3,NM_001406720,100.0,20,1,20,765,746,0.003,minus,NM_001406720,-,-,True,True
20,Pair10_5,NM_001406720,100.0,21,1,21,701,721,0.000801,plus,NM_001406720,-,-,True,True
21,Pair10_3,NM_001406720,100.0,20,1,20,817,798,0.003,minus,NM_001406720,-,-,True,True
22,Pair11_5,NM_001406720,100.0,21,1,21,700,720,0.000801,plus,NM_001406720,-,-,True,True
23,Pair11_3,NM_001406720,100.0,20,1,20,817,798,0.003,minus,NM_001406720,-,-,True,True
24,Pair12_5,NM_001406720,100.0,23,1,23,681,703,7.19e-05,plus,NM_001406720,-,-,True,True
25,Pair12_3,NM_001406720,100.0,20,1,20,765,746,0.003,minus,NM_001406720,-,-,True,True
26,Pair13_5,NM_001406720,100.0,23,1,23,680,702,7.19e-05,plus,NM_001406720,-,-,True,True
27,Pair13_3,NM_001406720,100.0,20,1,20,765,746,0.003,minus,NM_001406720,-,-,True,True
28,Pair14_5,NM_001406720,100.0,22,1,22,682,703,0.000243,plus,NM_001406720,-,-,True,True
29,Pair14_3,NM_001406720,100.0,20,1,20,765,746,0.003,minus,NM_001406720,-,-,True,True
30,Pair15_5,NM_001406720,100.0,22,1,22,675,696,0.000243,plus,NM_001406720,-,-,True,True
31,Pair15_3,NM_001406720,100.0,20,1,20,765,746,0.003,minus,NM_001406720,-,-,True,True
32,Pair16_5,NM_001406720,100.0,20,1,20,746,765,0.003,plus,NM_001406720,-,-,True,True
33,Pair16_3,NM_001406720,100.0,23,1,23,840,818,7.19e-05,minus,NM_001406720,-,-,True,True
34,Pair17_5,NM_001406720,100.0,20,1,20,790,809,0.003,plus,NM_001406720,-,-,True,True
35,Pair17_3,NM_001406720,100.0,23,1,23,840,818,7.19e-05,minus,NM_001406720,-,-,True,True
36,Pair18_5,NM_001406720,100.0,20,1,20,749,768,0.003,plus,NM_001406720,-,-,True,True
37,Pair18_3,NM_001406720,100.0,23,1,23,840,818,7.19e-05,minus,NM_001406720,-,-,True,True
38,Pair19_5,NM_001406720,100.0,20,1,20,746,765,0.003,plus,NM_001406720,-,-,True,True
39,Pair19_3,NM_001406720,100.0,24,1,24,841,818,2.08e-05,minus,NM_001406720,-,-,True,True
40,Pair20_5,NM_001406720,100.0,20,1,20,746,765,0.003,plus,NM_001406720,-,-,True,True
41,Pair20_3,NM_001406720,100.0,24,1,24,867,844,2.08e-05,minus,NM_001406720,-,-,True,True
42,Pair21_5,NM_001406720,100.0,20,1,20,798,817,0.003,plus,NM_001406720,-,-,True,True
43,Pair21_3,NM_001406720,100.0,24,1,24,867,844,2.08e-05,minus,NM_001406720,-,-,True,True
44,Pair22_5,NM_001406720,100.0,20,1,20,797,816,0.003,plus,NM_001406720,-,-,True,True
45,Pair22_3,NM_001406720,100.0,24,1,24,867,844,2.08e-05,minus,NM_001406720,-,-,True,True
46,Pair23_5,NM_001406720,100.0,20,1,20,790,809,0.003,plus,NM_001406720,-,-,True,True
47,Pair23_3,NM_001406720,100.0,24,1,24,867,844,2.08e-05,minus,NM_001406720,-,-,True,True
48,Pair24_5,NM_001406720,100.0,25,1,25,863,887,5.92e-06,plus,NM_001406720,-,-,True,True
49,Pair24_3,NM_001406720,100.0,21,1,21,990,970,0.000801,minus,NM_001406720,-,-,True,True
50,Pair25_5,NM_001406720,100.0,25,1,25,862,886,5.92e-06,plus,NM_001406720,-,-,True,True
51,Pair25_3,NM_001406720,100.0,21,1,21,990,970,0.000801,minus,NM_001406720,-,-,True,True
52,Pair26_5,NM_001406720,100.0,26,1,26,862,887,1.5e-06,plus,NM_001406720,-,-,True,True
53,Pair26_3,NM_001406720,100.0,21,1,21,990,970,0.000801,minus,NM_001406720,-,-,True,True
54,Pair27_5,NM_001406720,100.0,26,1,26,868,893,1.5e-06,plus,NM_001406720,-,-,True,True
55,Pair27_3,NM_001406720,100.0,21,1,21,990,970,0.000801,minus,NM_001406720,-,-,True,True
56,Pair28_5,NM_001406720,100.0,24,1,24,844,867,2.08e-05,plus,NM_001406720,-,-,True,True
57,Pair28_3,NM_001406720,100.0,21,1,21,990,970,0.000801,minus,NM_001406720,-,-,True,True
58,Pair29_5,NM_001406720,100.0,25,1,25,843,867,5.92e-06,plus,NM_001406720,-,-,True,True
59,Pair29_3,NM_001406720,100.0,21,1,21,990,970,0.000801,minus,NM_001406720,-,-,True,True
60,Pair30_5,NM_001406720,100.0,24,1,24,844,867,2.08e-05,plus,NM_001406720,-,-,True,True
61,Pair30_3,NM_001406720,100.0,22,1,22,990,969,0.000243,minus,NM_001406720,-,-,True,True
62,Pair31_5,NM_001406720,100.0,24,1,24,844,867,2.08e-05,plus,NM_001406720,-,-,True,True
63,Pair31_3,NM_001406720,100.0,22,1,22,991,970,0.000243,minus,NM_001406720,-,-,True,True
64,Pair32_5,NM_001406720,100.0,20,1,20,7937,7956,0.003,plus,NM_001406720,-,-,True,True
65,Pair32_3,NM_001406720,100.0,20,1,20,8020,8001,0.003,minus,NM_001406720,-,-,True,True
66,Pair33_5,NM_001406720,100.0,20,1,20,7952,7971,0.003,plus,NM_001406720,-,-,True,True
67,Pair33_3,NM_001406720,100.0,20,1,20,8020,8001,0.003,minus,NM_001406720,-,-,True,True
68,Pair34_5,NM_001406720,100.0,20,1,20,7947,7966,0.003,plus,NM_001406720,-,-,True,True
69,Pair34_3,NM_001406720,100.0,20,1,20,8020,8001,0.003,minus,NM_001406720,-,-,True,True
70,Pair35_5,NM_001406720,100.0,20,1,20,7936,7955,0.003,plus,NM_001406720,-,-,True,True
71,Pair35_3,NM_001406720,100.0,20,1,20,8020,8001,0.003,minus,NM_001406720,-,-,True,True
72,Pair36_5,NM_001406720,100.0,20,1,20,7937,7956,0.003,plus,NM_001406720,-,-,True,True
73,Pair36_3,NM_001406720,100.0,20,1,20,8103,8084,0.003,minus,NM_001406720,-,-,True,True
74,Pair37_5,NM_001406720,100.0,20,1,20,7937,7956,0.003,plus,NM_001406720,-,-,True,True
