,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
4181,Pair8_3,ENST00000258888.6,100.0,16,4,19,2166,2181,0.31,plus,ENST00000258888.6,ALPK3,True,True
4182,Pair9_3,ENST00000258888.6,100.0,16,4,19,2166,2181,0.31,plus,ENST00000258888.6,ALPK3,True,True
4188,Pair15_3,ENST00000258888.6,100.0,19,1,19,2166,2184,0.005,plus,ENST00000258888.6,ALPK3,True,True
4189,Pair16_3,ENST00000258888.6,100.0,17,3,19,2166,2182,0.078,plus,ENST00000258888.6,ALPK3,True,True
4190,Pair17_3,ENST00000258888.6,100.0,17,4,20,2166,2182,0.097,plus,ENST00000258888.6,ALPK3,True,True
4192,Pair19_3,ENST00000258888.6,100.0,19,1,19,2166,2184,0.005,plus,ENST00000258888.6,ALPK3,True,True
4193,Pair20_3,ENST00000258888.6,100.0,17,3,19,2166,2182,0.078,plus,ENST00000258888.6,ALPK3,True,True
4194,Pair21_3,ENST00000258888.6,100.0,17,4,20,2166,2182,0.097,plus,ENST00000258888.6,ALPK3,True,True
4195,Pair22_3,ENST00000258888.6,100.0,18,2,19,2166,2183,0.02,plus,ENST00000258888.6,ALPK3,True,True
4946,Pair22_3,ENST00000222990.8,100.0,16,1,16,3916,3901,0.31,minus,ENST00000222990.8,SNX8,True,True
4949,Pair15_3,ENST00000308940.8,100.0,16,1,16,295,280,0.31,minus,ENST00000308940.8,OR10H5,True,True
4952,Pair19_3,ENST00000308940.8,100.0,16,1,16,295,280,0.31,minus,ENST00000308940.8,OR10H5,True,True
4958,Pair15_3,ENST00000642092.2,100.0,16,1,16,264,249,0.31,minus,ENST00000642092.2,OR10H5,True,True
4961,Pair19_3,ENST00000642092.2,100.0,16,1,16,264,249,0.31,minus,ENST00000642092.2,OR10H5,True,True
4973,Pair22_3,ENST00000597945.1,100.0,16,1,16,172,157,0.31,minus,ENST00000597945.1,ZNF526,True,True
5509,Pair25_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5510,Pair26_5,ENST00000591996.1,100.0,18,3,20,287,304,0.025,plus,ENST00000591996.1,PGS1,True,True
5511,Pair27_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5512,Pair28_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5513,Pair29_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5514,Pair31_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5515,Pair32_5,ENST00000591996.1,100.0,18,3,20,287,304,0.025,plus,ENST00000591996.1,PGS1,True,True
5516,Pair33_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5519,Pair36_5,ENST00000591996.1,100.0,16,5,20,287,302,0.38,plus,ENST00000591996.1,PGS1,True,True
5520,Pair37_5,ENST00000591996.1,100.0,16,5,20,287,302,0.38,plus,ENST00000591996.1,PGS1,True,True
5521,Pair38_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5522,Pair39_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5523,Pair43_5,ENST00000591996.1,100.0,19,2,20,287,305,0.006,plus,ENST00000591996.1,PGS1,True,True
5524,Pair44_5,ENST00000591996.1,100.0,18,3,20,287,304,0.025,plus,ENST00000591996.1,PGS1,True,True
5527,Pair48_5,ENST00000591996.1,100.0,17,4,20,287,303,0.097,plus,ENST00000591996.1,PGS1,True,True
5529,Pair25_5,ENST00000588281.5,100.0,19,2,20,690,708,0.006,plus,ENST00000588281.5,PGS1,True,True
5530,Pair26_5,ENST00000588281.5,100.0,18,3,20,690,707,0.025,plus,ENST00000588281.5,PGS1,True,True
5531,Pair27_5,ENST00000588281.5,100.0,19,2,20,690,708,0.006,plus,ENST00000588281.5,PGS1,True,True
5532,Pair28_5,ENST00000588281.5,100.0,17,4,20,690,706,0.097,plus,ENST00000588281.5,PGS1,True,True
5533,Pair29_5,ENST00000588281.5,100.0,17,4,20,690,706,0.097,plus,ENST00000588281.5,PGS1,True,True
5534,Pair31_5,ENST00000588281.5,100.0,19,2,20,690,708,0.006,plus,ENST00000588281.5,PGS1,True,True
5535,Pair32_5,ENST00000588281.5,100.0,18,3,20,690,707,0.025,plus,ENST00000588281.5,PGS1,True,True
5536,Pair33_5,ENST00000588281.5,100.0,19,2,20,690,708,0.006,plus,ENST00000588281.5,PGS1,True,True
5539,Pair36_5,ENST00000588281.5,100.0,16,5,20,690,705,0.38,plus,ENST00000588281.5,PGS1,True,True
5540,Pair37_5,ENST00000588281.5,100.0,16,5,20,690,705,0.38,plus,ENST00000588281.5,PGS1,True,True
5541,Pair38_5,ENST00000588281.5,100.0,17,4,20,690,706,0.097,plus,ENST00000588281.5,PGS1,True,True
5542,Pair39_5,ENST00000588281.5,100.0,17,4,20,690,706,0.097,plus,ENST00000588281.5,PGS1,True,True
5543,Pair43_5,ENST00000588281.5,100.0,19,2,20,690,708,0.006,plus,ENST00000588281.5,PGS1,True,True
5544,Pair44_5,ENST00000588281.5,100.0,18,3,20,690,707,0.025,plus,ENST00000588281.5,PGS1,True,True
5547,Pair48_5,ENST00000588281.5,100.0,17,4,20,690,706,0.097,plus,ENST00000588281.5,PGS1,True,True
5549,Pair25_5,ENST00000588169.5,100.0,19,2,20,1030,1048,0.006,plus,ENST00000588169.5,PGS1,True,True
5550,Pair26_5,ENST00000588169.5,100.0,18,3,20,1030,1047,0.025,plus,ENST00000588169.5,PGS1,True,True
5551,Pair27_5,ENST00000588169.5,100.0,19,2,20,1030,1048,0.006,plus,ENST00000588169.5,PGS1,True,True
5552,Pair28_5,ENST00000588169.5,100.0,17,4,20,1030,1046,0.097,plus,ENST00000588169.5,PGS1,True,True
5553,Pair29_5,ENST00000588169.5,100.0,17,4,20,1030,1046,0.097,plus,ENST00000588169.5,PGS1,True,True
5554,Pair31_5,ENST00000588169.5,100.0,19,2,20,1030,1048,0.006,plus,ENST00000588169.5,PGS1,True,True
5555,Pair32_5,ENST00000588169.5,100.0,18,3,20,1030,1047,0.025,plus,ENST00000588169.5,PGS1,True,True
5556,Pair33_5,ENST00000588169.5,100.0,19,2,20,1030,1048,0.006,plus,ENST00000588169.5,PGS1,True,True
5559,Pair36_5,ENST00000588169.5,100.0,16,5,20,1030,1045,0.38,plus,ENST00000588169.5,PGS1,True,True
5560,Pair37_5,ENST00000588169.5,100.0,16,5,20,1030,1045,0.38,plus,ENST00000588169.5,PGS1,True,True
5561,Pair38_5,ENST00000588169.5,100.0,17,4,20,1030,1046,0.097,plus,ENST00000588169.5,PGS1,True,True
5562,Pair39_5,ENST00000588169.5,100.0,17,4,20,1030,1046,0.097,plus,ENST00000588169.5,PGS1,True,True
5563,Pair43_5,ENST00000588169.5,100.0,19,2,20,1030,1048,0.006,plus,ENST00000588169.5,PGS1,True,True
5564,Pair44_5,ENST00000588169.5,100.0,18,3,20,1030,1047,0.025,plus,ENST00000588169.5,PGS1,True,True
5567,Pair48_5,ENST00000588169.5,100.0,17,4,20,1030,1046,0.097,plus,ENST00000588169.5,PGS1,True,True
5569,Pair25_5,ENST00000589426.5,100.0,19,2,20,1073,1091,0.006,plus,ENST00000589426.5,PGS1,True,True
5570,Pair26_5,ENST00000589426.5,100.0,18,3,20,1073,1090,0.025,plus,ENST00000589426.5,PGS1,True,True
5571,Pair27_5,ENST00000589426.5,100.0,19,2,20,1073,1091,0.006,plus,ENST00000589426.5,PGS1,True,True
5572,Pair28_5,ENST00000589426.5,100.0,17,4,20,1073,1089,0.097,plus,ENST00000589426.5,PGS1,True,True
5573,Pair29_5,ENST00000589426.5,100.0,17,4,20,1073,1089,0.097,plus,ENST00000589426.5,PGS1,True,True
5574,Pair31_5,ENST00000589426.5,100.0,19,2,20,1073,1091,0.006,plus,ENST00000589426.5,PGS1,True,True
5575,Pair32_5,ENST00000589426.5,100.0,18,3,20,1073,1090,0.025,plus,ENST00000589426.5,PGS1,True,True
5576,Pair33_5,ENST00000589426.5,100.0,19,2,20,1073,1091,0.006,plus,ENST00000589426.5,PGS1,True,True
5579,Pair36_5,ENST00000589426.5,100.0,16,5,20,1073,1088,0.38,plus,ENST00000589426.5,PGS1,True,True
5580,Pair37_5,ENST00000589426.5,100.0,16,5,20,1073,1088,0.38,plus,ENST00000589426.5,PGS1,True,True
5581,Pair38_5,ENST00000589426.5,100.0,17,4,20,1073,1089,0.097,plus,ENST00000589426.5,PGS1,True,True
5582,Pair39_5,ENST00000589426.5,100.0,17,4,20,1073,1089,0.097,plus,ENST00000589426.5,PGS1,True,True
5583,Pair43_5,ENST00000589426.5,100.0,19,2,20,1073,1091,0.006,plus,ENST00000589426.5,PGS1,True,True
5584,Pair44_5,ENST00000589426.5,100.0,18,3,20,1073,1090,0.025,plus,ENST00000589426.5,PGS1,True,True
5587,Pair48_5,ENST00000589426.5,100.0,17,4,20,1073,1089,0.097,plus,ENST00000589426.5,PGS1,True,True
5589,Pair25_5,ENST00000589689.5,100.0,19,2,20,1079,1097,0.006,plus,ENST00000589689.5,PGS1,True,True
5590,Pair26_5,ENST00000589689.5,100.0,18,3,20,1079,1096,0.025,plus,ENST00000589689.5,PGS1,True,True
5591,Pair27_5,ENST00000589689.5,100.0,19,2,20,1079,1097,0.006,plus,ENST00000589689.5,PGS1,True,True
5592,Pair28_5,ENST00000589689.5,100.0,17,4,20,1079,1095,0.097,plus,ENST00000589689.5,PGS1,True,True
