,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
783,Pair1_3,ENST00000485069.1,100.0,15,1,15,1380,1366,1.5,minus,ENST00000485069.1,SPEG,True,True
784,Pair2_3,ENST00000485069.1,100.0,15,1,15,1380,1366,1.5,minus,ENST00000485069.1,SPEG,True,True
785,Pair7_3,ENST00000485069.1,100.0,15,1,15,1380,1366,1.5,minus,ENST00000485069.1,SPEG,True,True
788,Pair1_3,ENST00000485813.5,100.0,15,1,15,3486,3472,1.5,minus,ENST00000485813.5,SPEG,True,True
789,Pair2_3,ENST00000485813.5,100.0,15,1,15,3486,3472,1.5,minus,ENST00000485813.5,SPEG,True,True
790,Pair7_3,ENST00000485813.5,100.0,15,1,15,3486,3472,1.5,minus,ENST00000485813.5,SPEG,True,True
793,Pair1_3,ENST00000312358.12,100.0,15,1,15,4378,4364,1.5,minus,ENST00000312358.12,SPEG,True,True
794,Pair2_3,ENST00000312358.12,100.0,15,1,15,4378,4364,1.5,minus,ENST00000312358.12,SPEG,True,True
795,Pair7_3,ENST00000312358.12,100.0,15,1,15,4378,4364,1.5,minus,ENST00000312358.12,SPEG,True,True
1412,Pair12_3,ENST00000685023.1,100.0,17,1,17,10242,10226,0.097,minus,ENST00000685023.1,CWC27,True,True
1413,Pair13_3,ENST00000685023.1,100.0,17,1,17,10242,10226,0.097,minus,ENST00000685023.1,CWC27,True,True
1416,Pair18_3,ENST00000685023.1,100.0,16,1,16,10241,10226,0.38,minus,ENST00000685023.1,CWC27,True,True
1417,Pair19_3,ENST00000685023.1,100.0,16,1,16,10241,10226,0.38,minus,ENST00000685023.1,CWC27,True,True
1418,Pair12_3,ENST00000368850.4,100.0,16,5,20,2988,3003,0.38,plus,ENST00000368850.4,SLC16A10,True,True
1419,Pair13_3,ENST00000368850.4,100.0,16,5,20,2988,3003,0.38,plus,ENST00000368850.4,SLC16A10,True,True
1420,Pair14_3,ENST00000368850.4,100.0,15,6,20,2988,3002,1.5,plus,ENST00000368850.4,SLC16A10,True,True
1421,Pair15_3,ENST00000368850.4,100.0,15,6,20,2988,3002,1.5,plus,ENST00000368850.4,SLC16A10,True,True
1424,Pair12_3,ENST00000368851.10,100.0,16,5,20,3694,3709,0.38,plus,ENST00000368851.10,SLC16A10,True,True
1425,Pair13_3,ENST00000368851.10,100.0,16,5,20,3694,3709,0.38,plus,ENST00000368851.10,SLC16A10,True,True
1426,Pair14_3,ENST00000368851.10,100.0,15,6,20,3694,3708,1.5,plus,ENST00000368851.10,SLC16A10,True,True
1427,Pair15_3,ENST00000368851.10,100.0,15,6,20,3694,3708,1.5,plus,ENST00000368851.10,SLC16A10,True,True
1514,Pair12_3,ENST00000691223.1,100.0,15,6,20,1232,1246,1.5,plus,ENST00000691223.1,CFAP70,True,True
1515,Pair13_3,ENST00000691223.1,100.0,15,6,20,1232,1246,1.5,plus,ENST00000691223.1,CFAP70,True,True
1640,Pair18_3,ENST00000582343.1,100.0,15,6,20,2701,2715,1.5,plus,ENST00000582343.1,LYRM9,True,True
1641,Pair19_3,ENST00000582343.1,100.0,15,6,20,2701,2715,1.5,plus,ENST00000582343.1,LYRM9,True,True
1650,Pair18_3,ENST00000492816.6,100.0,15,6,20,6073,6087,1.5,plus,ENST00000492816.6,FN1,True,True
1651,Pair19_3,ENST00000492816.6,100.0,15,6,20,6073,6087,1.5,plus,ENST00000492816.6,FN1,True,True
2419,Pair16_5,ENST00000075503.8,100.0,16,1,16,2017,2002,0.38,minus,ENST00000075503.8,STYK1,True,True
2420,Pair17_5,ENST00000075503.8,100.0,16,1,16,2017,2002,0.38,minus,ENST00000075503.8,STYK1,True,True
3401,Pair27_5,ENST00000489959.5,100.0,15,1,15,1364,1350,1.5,minus,ENST00000489959.5,CEACAMP10,True,True
3402,Pair28_5,ENST00000489959.5,100.0,15,1,15,1364,1350,1.5,minus,ENST00000489959.5,CEACAMP10,True,True
3403,Pair44_3,ENST00000489959.5,100.0,15,6,20,1350,1364,1.5,plus,ENST00000489959.5,CEACAMP10,True,True
3404,Pair46_3,ENST00000489959.5,100.0,15,6,20,1350,1364,1.5,plus,ENST00000489959.5,CEACAMP10,True,True
3405,Pair27_5,ENST00000403380.7,100.0,15,1,15,1382,1368,1.5,minus,ENST00000403380.7,PSG1,True,True
3406,Pair28_5,ENST00000403380.7,100.0,15,1,15,1382,1368,1.5,minus,ENST00000403380.7,PSG1,True,True
3407,Pair44_3,ENST00000403380.7,100.0,15,6,20,1368,1382,1.5,plus,ENST00000403380.7,PSG1,True,True
3408,Pair46_3,ENST00000403380.7,100.0,15,6,20,1368,1382,1.5,plus,ENST00000403380.7,PSG1,True,True
3409,Pair27_5,ENST00000595356.5,100.0,15,1,15,1551,1537,1.5,minus,ENST00000595356.5,PSG1,True,True
3410,Pair28_5,ENST00000595356.5,100.0,15,1,15,1551,1537,1.5,minus,ENST00000595356.5,PSG1,True,True
3411,Pair44_3,ENST00000595356.5,100.0,15,6,20,1537,1551,1.5,plus,ENST00000595356.5,PSG1,True,True
3412,Pair46_3,ENST00000595356.5,100.0,15,6,20,1537,1551,1.5,plus,ENST00000595356.5,PSG1,True,True
3413,Pair27_5,ENST00000595124.5,100.0,15,1,15,1335,1321,1.5,minus,ENST00000595124.5,PSG1,True,True
3414,Pair28_5,ENST00000595124.5,100.0,15,1,15,1335,1321,1.5,minus,ENST00000595124.5,PSG1,True,True
3415,Pair44_3,ENST00000595124.5,100.0,15,6,20,1321,1335,1.5,plus,ENST00000595124.5,PSG1,True,True
3416,Pair46_3,ENST00000595124.5,100.0,15,6,20,1321,1335,1.5,plus,ENST00000595124.5,PSG1,True,True
3417,Pair27_5,ENST00000602039.1,100.0,15,1,15,2473,2459,1.5,minus,ENST00000602039.1,PSG1,True,True
3418,Pair28_5,ENST00000602039.1,100.0,15,1,15,2473,2459,1.5,minus,ENST00000602039.1,PSG1,True,True
3419,Pair44_3,ENST00000602039.1,100.0,15,6,20,2459,2473,1.5,plus,ENST00000602039.1,PSG1,True,True
3420,Pair46_3,ENST00000602039.1,100.0,15,6,20,2459,2473,1.5,plus,ENST00000602039.1,PSG1,True,True
3421,Pair27_5,ENST00000436291.7,100.0,15,1,15,1703,1689,1.5,minus,ENST00000436291.7,PSG1,True,True
3422,Pair28_5,ENST00000436291.7,100.0,15,1,15,1703,1689,1.5,minus,ENST00000436291.7,PSG1,True,True
3423,Pair44_3,ENST00000436291.7,100.0,15,6,20,1689,1703,1.5,plus,ENST00000436291.7,PSG1,True,True
3424,Pair46_3,ENST00000436291.7,100.0,15,6,20,1689,1703,1.5,plus,ENST00000436291.7,PSG1,True,True
3425,Pair27_5,ENST00000406636.7,100.0,15,1,15,1286,1272,1.5,minus,ENST00000406636.7,PSG8,True,True
3426,Pair28_5,ENST00000406636.7,100.0,15,1,15,1286,1272,1.5,minus,ENST00000406636.7,PSG8,True,True
3427,Pair44_3,ENST00000406636.7,100.0,15,6,20,1272,1286,1.5,plus,ENST00000406636.7,PSG8,True,True
3428,Pair46_3,ENST00000406636.7,100.0,15,6,20,1272,1286,1.5,plus,ENST00000406636.7,PSG8,True,True
