,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1040,Pair30_3,ENST00000617064.1,100.0,16,1,16,339,324,0.38,minus,ENST00000617064.1,,True,True
1041,Pair31_3,ENST00000617064.1,100.0,16,1,16,339,324,0.38,minus,ENST00000617064.1,,True,True
1042,Pair32_3,ENST00000617064.1,100.0,16,1,16,339,324,0.38,minus,ENST00000617064.1,,True,True
1044,Pair44_3,ENST00000617064.1,100.0,16,1,16,339,324,0.38,minus,ENST00000617064.1,,True,True
1045,Pair45_3,ENST00000617064.1,100.0,16,1,16,339,324,0.38,minus,ENST00000617064.1,,True,True
1046,Pair46_3,ENST00000617064.1,100.0,16,1,16,339,324,0.38,minus,ENST00000617064.1,,True,True
1465,Pair3_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
1466,Pair4_5,ENST00000442682.7,100.0,17,1,17,1753,1737,0.097,minus,ENST00000442682.7,TMEM213,True,True
1467,Pair5_5,ENST00000442682.7,100.0,18,1,18,1754,1737,0.025,minus,ENST00000442682.7,TMEM213,True,True
1468,Pair14_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
1469,Pair15_5,ENST00000442682.7,100.0,17,1,17,1753,1737,0.097,minus,ENST00000442682.7,TMEM213,True,True
1470,Pair16_5,ENST00000442682.7,100.0,18,1,18,1754,1737,0.025,minus,ENST00000442682.7,TMEM213,True,True
1471,Pair18_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
1472,Pair19_5,ENST00000442682.7,100.0,17,1,17,1753,1737,0.097,minus,ENST00000442682.7,TMEM213,True,True
1473,Pair20_5,ENST00000442682.7,100.0,18,1,18,1754,1737,0.025,minus,ENST00000442682.7,TMEM213,True,True
1474,Pair23_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
1475,Pair24_5,ENST00000442682.7,100.0,17,1,17,1753,1737,0.097,minus,ENST00000442682.7,TMEM213,True,True
1476,Pair25_5,ENST00000442682.7,100.0,18,1,18,1754,1737,0.025,minus,ENST00000442682.7,TMEM213,True,True
1477,Pair27_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
1478,Pair28_5,ENST00000442682.7,100.0,17,1,17,1753,1737,0.097,minus,ENST00000442682.7,TMEM213,True,True
1479,Pair29_5,ENST00000442682.7,100.0,18,1,18,1754,1737,0.025,minus,ENST00000442682.7,TMEM213,True,True
1480,Pair38_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
1481,Pair39_5,ENST00000442682.7,100.0,17,1,17,1753,1737,0.097,minus,ENST00000442682.7,TMEM213,True,True
1482,Pair40_5,ENST00000442682.7,100.0,18,1,18,1754,1737,0.025,minus,ENST00000442682.7,TMEM213,True,True
1483,Pair44_5,ENST00000442682.7,100.0,19,1,19,1755,1737,0.006,minus,ENST00000442682.7,TMEM213,True,True
