,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
0,Pair0_5,NM_001170536,100.0,20,1,20,663,682,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
2,Pair1_5,NM_001170536,100.0,20,1,20,663,682,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
3,Pair1_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
4,Pair2_5,NM_001170536,100.0,20,1,20,664,683,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
6,Pair3_5,NM_001170536,100.0,20,1,20,664,683,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
7,Pair3_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
8,Pair4_5,NM_001170536,100.0,20,1,20,660,679,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
10,Pair5_5,NM_001170536,100.0,20,1,20,660,679,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
11,Pair5_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
12,Pair6_5,NM_001170536,95.0,20,1,20,675,694,0.62,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
14,Pair7_5,NM_001170536,95.0,20,1,20,674,693,0.62,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
16,Pair8_5,NM_001170536,95.0,20,1,20,675,694,0.62,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
17,Pair8_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
18,Pair9_5,NM_001170536,95.0,20,1,20,674,693,0.62,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
19,Pair9_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
20,Pair10_5,NM_001170536,100.0,20,1,20,662,681,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
22,Pair11_5,NM_001170536,100.0,20,1,20,662,681,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
23,Pair11_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
24,Pair12_5,NM_001170536,100.0,20,1,20,659,678,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
26,Pair13_5,NM_001170536,100.0,20,1,20,659,678,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
27,Pair13_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
28,Pair14_5,NM_001170536,100.0,20,1,20,661,680,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
30,Pair15_5,NM_001170536,100.0,20,1,20,661,680,0.003,plus,NM_001170536,ENST00000536055,ATAD3A,True,True
31,Pair15_3,NM_001170536,100.0,20,1,20,753,734,0.003,minus,NM_001170536,ENST00000536055,ATAD3A,True,True
