,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
2150,Pair0_3,ENST00000650172.1,100.0,20,1,20,112,93,0.002,minus,ENST00000650172.1,OR4F4,True,True
2151,Pair1_3,ENST00000650172.1,100.0,20,1,20,113,94,0.002,minus,ENST00000650172.1,OR4F4,True,True
2152,Pair2_3,ENST00000650172.1,100.0,21,1,21,112,92,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2153,Pair3_3,ENST00000650172.1,100.0,21,1,21,111,91,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2154,Pair4_3,ENST00000650172.1,100.0,21,1,21,113,93,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2155,Pair5_3,ENST00000650172.1,100.0,21,1,21,110,90,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2156,Pair6_3,ENST00000650172.1,100.0,22,1,22,111,90,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2157,Pair7_3,ENST00000650172.1,100.0,22,1,22,109,88,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2158,Pair8_3,ENST00000650172.1,100.0,22,1,22,159,138,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2159,Pair9_3,ENST00000650172.1,100.0,22,1,22,161,140,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2160,Pair10_3,ENST00000650172.1,100.0,21,1,21,109,89,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2161,Pair11_3,ENST00000650172.1,100.0,21,1,21,158,138,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2162,Pair12_3,ENST00000650172.1,100.0,21,1,21,161,141,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2163,Pair13_3,ENST00000650172.1,100.0,21,1,21,157,137,0.000398,minus,ENST00000650172.1,OR4F4,True,True
2164,Pair14_3,ENST00000650172.1,100.0,22,1,22,110,89,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2165,Pair15_3,ENST00000650172.1,100.0,22,1,22,162,141,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2166,Pair16_3,ENST00000650172.1,100.0,22,1,22,158,137,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2167,Pair17_3,ENST00000650172.1,100.0,22,1,22,160,139,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2168,Pair18_3,ENST00000650172.1,100.0,22,1,22,163,142,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2169,Pair19_3,ENST00000650172.1,100.0,22,1,22,155,134,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2170,Pair20_3,ENST00000650172.1,100.0,22,1,22,156,135,0.000121,minus,ENST00000650172.1,OR4F4,True,True
2171,Pair21_3,ENST00000650172.1,100.0,23,1,23,156,134,3.57e-05,minus,ENST00000650172.1,OR4F4,True,True
2172,Pair22_3,ENST00000650172.1,100.0,23,1,23,162,140,3.57e-05,minus,ENST00000650172.1,OR4F4,True,True
2173,Pair23_3,ENST00000650172.1,100.0,23,1,23,163,141,3.57e-05,minus,ENST00000650172.1,OR4F4,True,True
2174,Pair24_3,ENST00000650172.1,100.0,23,1,23,164,142,3.57e-05,minus,ENST00000650172.1,OR4F4,True,True
2175,Pair25_3,ENST00000650172.1,100.0,20,1,20,211,192,0.002,minus,ENST00000650172.1,OR4F4,True,True
2176,Pair26_3,ENST00000650172.1,100.0,20,1,20,211,192,0.002,minus,ENST00000650172.1,OR4F4,True,True
2177,Pair27_3,ENST00000650172.1,100.0,20,1,20,206,187,0.002,minus,ENST00000650172.1,OR4F4,True,True
