,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
4292,Pair20_5,ENST00000470354.1,100.0,18,1,18,752,735,0.025,minus,ENST00000470354.1,GNB2,True,True
4293,Pair21_5,ENST00000470354.1,100.0,20,1,20,755,736,0.002,minus,ENST00000470354.1,GNB2,True,True
4297,Pair27_5,ENST00000470354.1,95.0,20,1,20,761,742,0.38,minus,ENST00000470354.1,GNB2,True,True
4298,Pair28_5,ENST00000470354.1,100.0,18,1,18,752,735,0.025,minus,ENST00000470354.1,GNB2,True,True
4299,Pair29_5,ENST00000470354.1,100.0,16,1,16,750,735,0.38,minus,ENST00000470354.1,GNB2,True,True
4300,Pair40_5,ENST00000470354.1,100.0,20,1,20,46,27,0.002,minus,ENST00000470354.1,GNB2,True,True
4301,Pair41_5,ENST00000470354.1,100.0,20,1,20,46,27,0.002,minus,ENST00000470354.1,GNB2,True,True
4302,Pair42_5,ENST00000470354.1,100.0,21,1,21,46,26,0.000398,minus,ENST00000470354.1,GNB2,True,True
4303,Pair43_5,ENST00000470354.1,100.0,21,1,21,46,26,0.000398,minus,ENST00000470354.1,GNB2,True,True
4304,Pair44_5,ENST00000470354.1,100.0,20,1,20,45,26,0.002,minus,ENST00000470354.1,GNB2,True,True
4305,Pair45_5,ENST00000470354.1,100.0,20,1,20,46,27,0.002,minus,ENST00000470354.1,GNB2,True,True
4306,Pair46_5,ENST00000470354.1,100.0,21,1,21,46,26,0.000398,minus,ENST00000470354.1,GNB2,True,True
4307,Pair47_5,ENST00000470354.1,100.0,20,1,20,45,26,0.002,minus,ENST00000470354.1,GNB2,True,True
4308,Pair48_5,ENST00000470354.1,100.0,20,1,20,46,27,0.002,minus,ENST00000470354.1,GNB2,True,True
4309,Pair49_5,ENST00000470354.1,100.0,21,1,21,46,26,0.000398,minus,ENST00000470354.1,GNB2,True,True
4310,Pair50_3,ENST00000470354.1,100.0,19,1,19,40,58,0.005,plus,ENST00000470354.1,GNB2,True,True
4311,Pair51_3,ENST00000470354.1,100.0,19,1,19,40,58,0.005,plus,ENST00000470354.1,GNB2,True,True
4312,Pair52_3,ENST00000470354.1,100.0,18,1,18,40,57,0.015,plus,ENST00000470354.1,GNB2,True,True
4313,Pair53_3,ENST00000470354.1,100.0,18,1,18,39,56,0.015,plus,ENST00000470354.1,GNB2,True,True
4314,Pair54_3,ENST00000470354.1,100.0,18,1,18,39,56,0.015,plus,ENST00000470354.1,GNB2,True,True
4315,Pair55_3,ENST00000470354.1,100.0,17,1,17,39,55,0.039,plus,ENST00000470354.1,GNB2,True,True
4316,Pair56_3,ENST00000470354.1,100.0,17,1,17,39,55,0.039,plus,ENST00000470354.1,GNB2,True,True
4317,Pair57_3,ENST00000470354.1,100.0,18,1,18,39,56,0.015,plus,ENST00000470354.1,GNB2,True,True
4318,Pair58_3,ENST00000470354.1,100.0,18,1,18,40,57,0.015,plus,ENST00000470354.1,GNB2,True,True
4319,Pair59_3,ENST00000470354.1,100.0,18,1,18,39,56,0.015,plus,ENST00000470354.1,GNB2,True,True
4330,Pair20_5,ENST00000469287.5,100.0,18,1,18,1195,1178,0.025,minus,ENST00000469287.5,GNB2,True,True
4331,Pair21_5,ENST00000469287.5,100.0,20,1,20,1198,1179,0.002,minus,ENST00000469287.5,GNB2,True,True
4335,Pair27_5,ENST00000469287.5,95.0,20,1,20,1204,1185,0.38,minus,ENST00000469287.5,GNB2,True,True
4336,Pair28_5,ENST00000469287.5,100.0,18,1,18,1195,1178,0.025,minus,ENST00000469287.5,GNB2,True,True
4337,Pair29_5,ENST00000469287.5,100.0,16,1,16,1193,1178,0.38,minus,ENST00000469287.5,GNB2,True,True
4338,Pair40_5,ENST00000469287.5,100.0,20,1,20,580,561,0.002,minus,ENST00000469287.5,GNB2,True,True
4339,Pair41_5,ENST00000469287.5,100.0,20,1,20,580,561,0.002,minus,ENST00000469287.5,GNB2,True,True
4340,Pair42_5,ENST00000469287.5,100.0,21,1,21,580,560,0.000398,minus,ENST00000469287.5,GNB2,True,True
4341,Pair43_5,ENST00000469287.5,100.0,21,1,21,580,560,0.000398,minus,ENST00000469287.5,GNB2,True,True
4342,Pair44_5,ENST00000469287.5,100.0,20,1,20,579,560,0.002,minus,ENST00000469287.5,GNB2,True,True
4343,Pair45_5,ENST00000469287.5,100.0,20,1,20,580,561,0.002,minus,ENST00000469287.5,GNB2,True,True
4344,Pair46_5,ENST00000469287.5,100.0,21,1,21,580,560,0.000398,minus,ENST00000469287.5,GNB2,True,True
4345,Pair47_5,ENST00000469287.5,100.0,20,1,20,579,560,0.002,minus,ENST00000469287.5,GNB2,True,True
4346,Pair48_5,ENST00000469287.5,100.0,20,1,20,580,561,0.002,minus,ENST00000469287.5,GNB2,True,True
4347,Pair49_5,ENST00000469287.5,100.0,21,1,21,580,560,0.000398,minus,ENST00000469287.5,GNB2,True,True
4348,Pair50_3,ENST00000469287.5,100.0,19,1,19,574,592,0.005,plus,ENST00000469287.5,GNB2,True,True
4349,Pair51_3,ENST00000469287.5,100.0,19,1,19,574,592,0.005,plus,ENST00000469287.5,GNB2,True,True
4350,Pair52_3,ENST00000469287.5,100.0,18,1,18,574,591,0.015,plus,ENST00000469287.5,GNB2,True,True
4351,Pair53_3,ENST00000469287.5,100.0,18,1,18,573,590,0.015,plus,ENST00000469287.5,GNB2,True,True
4352,Pair54_3,ENST00000469287.5,100.0,18,1,18,573,590,0.015,plus,ENST00000469287.5,GNB2,True,True
4353,Pair55_3,ENST00000469287.5,100.0,17,1,17,573,589,0.039,plus,ENST00000469287.5,GNB2,True,True
4354,Pair56_3,ENST00000469287.5,100.0,17,1,17,573,589,0.039,plus,ENST00000469287.5,GNB2,True,True
4355,Pair57_3,ENST00000469287.5,100.0,18,1,18,573,590,0.015,plus,ENST00000469287.5,GNB2,True,True
4356,Pair58_3,ENST00000469287.5,100.0,18,1,18,574,591,0.015,plus,ENST00000469287.5,GNB2,True,True
4357,Pair59_3,ENST00000469287.5,100.0,18,1,18,573,590,0.015,plus,ENST00000469287.5,GNB2,True,True
4368,Pair20_5,ENST00000393924.1,100.0,18,1,18,1010,993,0.025,minus,ENST00000393924.1,GNB2,True,True
4369,Pair21_5,ENST00000393924.1,100.0,20,1,20,1013,994,0.002,minus,ENST00000393924.1,GNB2,True,True
4373,Pair27_5,ENST00000393924.1,95.0,20,1,20,1019,1000,0.38,minus,ENST00000393924.1,GNB2,True,True
4374,Pair28_5,ENST00000393924.1,100.0,18,1,18,1010,993,0.025,minus,ENST00000393924.1,GNB2,True,True
4375,Pair29_5,ENST00000393924.1,100.0,16,1,16,1008,993,0.38,minus,ENST00000393924.1,GNB2,True,True
4376,Pair40_5,ENST00000393924.1,100.0,20,1,20,395,376,0.002,minus,ENST00000393924.1,GNB2,True,True
4377,Pair41_5,ENST00000393924.1,100.0,20,1,20,395,376,0.002,minus,ENST00000393924.1,GNB2,True,True
4378,Pair42_5,ENST00000393924.1,100.0,21,1,21,395,375,0.000398,minus,ENST00000393924.1,GNB2,True,True
4379,Pair43_5,ENST00000393924.1,100.0,21,1,21,395,375,0.000398,minus,ENST00000393924.1,GNB2,True,True
4380,Pair44_5,ENST00000393924.1,100.0,20,1,20,394,375,0.002,minus,ENST00000393924.1,GNB2,True,True
4381,Pair45_5,ENST00000393924.1,100.0,20,1,20,395,376,0.002,minus,ENST00000393924.1,GNB2,True,True
4382,Pair46_5,ENST00000393924.1,100.0,21,1,21,395,375,0.000398,minus,ENST00000393924.1,GNB2,True,True
4383,Pair47_5,ENST00000393924.1,100.0,20,1,20,394,375,0.002,minus,ENST00000393924.1,GNB2,True,True
4384,Pair48_5,ENST00000393924.1,100.0,20,1,20,395,376,0.002,minus,ENST00000393924.1,GNB2,True,True
4385,Pair49_5,ENST00000393924.1,100.0,21,1,21,395,375,0.000398,minus,ENST00000393924.1,GNB2,True,True
4386,Pair50_3,ENST00000393924.1,100.0,19,1,19,389,407,0.005,plus,ENST00000393924.1,GNB2,True,True
4387,Pair51_3,ENST00000393924.1,100.0,19,1,19,389,407,0.005,plus,ENST00000393924.1,GNB2,True,True
4388,Pair52_3,ENST00000393924.1,100.0,18,1,18,389,406,0.015,plus,ENST00000393924.1,GNB2,True,True
4389,Pair53_3,ENST00000393924.1,100.0,18,1,18,388,405,0.015,plus,ENST00000393924.1,GNB2,True,True
4390,Pair54_3,ENST00000393924.1,100.0,18,1,18,388,405,0.015,plus,ENST00000393924.1,GNB2,True,True
4391,Pair55_3,ENST00000393924.1,100.0,17,1,17,388,404,0.039,plus,ENST00000393924.1,GNB2,True,True
4392,Pair56_3,ENST00000393924.1,100.0,17,1,17,388,404,0.039,plus,ENST00000393924.1,GNB2,True,True
4393,Pair57_3,ENST00000393924.1,100.0,18,1,18,388,405,0.015,plus,ENST00000393924.1,GNB2,True,True
4394,Pair58_3,ENST00000393924.1,100.0,18,1,18,389,406,0.015,plus,ENST00000393924.1,GNB2,True,True
4395,Pair59_3,ENST00000393924.1,100.0,18,1,18,388,405,0.015,plus,ENST00000393924.1,GNB2,True,True
4406,Pair40_5,ENST00000431068.5,100.0,20,1,20,480,461,0.002,minus,ENST00000431068.5,GNB2,True,True
4407,Pair41_5,ENST00000431068.5,100.0,20,1,20,480,461,0.002,minus,ENST00000431068.5,GNB2,True,True
4408,Pair42_5,ENST00000431068.5,100.0,21,1,21,480,460,0.000398,minus,ENST00000431068.5,GNB2,True,True
4409,Pair43_5,ENST00000431068.5,100.0,21,1,21,480,460,0.000398,minus,ENST00000431068.5,GNB2,True,True
4410,Pair44_5,ENST00000431068.5,100.0,20,1,20,479,460,0.002,minus,ENST00000431068.5,GNB2,True,True
4411,Pair45_5,ENST00000431068.5,100.0,20,1,20,480,461,0.002,minus,ENST00000431068.5,GNB2,True,True
4412,Pair46_5,ENST00000431068.5,100.0,21,1,21,480,460,0.000398,minus,ENST00000431068.5,GNB2,True,True
4413,Pair47_5,ENST00000431068.5,100.0,20,1,20,479,460,0.002,minus,ENST00000431068.5,GNB2,True,True
4414,Pair48_5,ENST00000431068.5,100.0,20,1,20,480,461,0.002,minus,ENST00000431068.5,GNB2,True,True
4415,Pair49_5,ENST00000431068.5,100.0,21,1,21,480,460,0.000398,minus,ENST00000431068.5,GNB2,True,True
4416,Pair50_3,ENST00000431068.5,100.0,19,1,19,474,492,0.005,plus,ENST00000431068.5,GNB2,True,True
4417,Pair51_3,ENST00000431068.5,100.0,19,1,19,474,492,0.005,plus,ENST00000431068.5,GNB2,True,True
4418,Pair52_3,ENST00000431068.5,100.0,18,1,18,474,491,0.015,plus,ENST00000431068.5,GNB2,True,True
4419,Pair53_3,ENST00000431068.5,100.0,18,1,18,473,490,0.015,plus,ENST00000431068.5,GNB2,True,True
4420,Pair54_3,ENST00000431068.5,100.0,18,1,18,473,490,0.015,plus,ENST00000431068.5,GNB2,True,True
4421,Pair55_3,ENST00000431068.5,100.0,17,1,17,473,489,0.039,plus,ENST00000431068.5,GNB2,True,True
4422,Pair56_3,ENST00000431068.5,100.0,17,1,17,473,489,0.039,plus,ENST00000431068.5,GNB2,True,True
4423,Pair57_3,ENST00000431068.5,100.0,18,1,18,473,490,0.015,plus,ENST00000431068.5,GNB2,True,True
4424,Pair58_3,ENST00000431068.5,100.0,18,1,18,474,491,0.015,plus,ENST00000431068.5,GNB2,True,True
