,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
301,Pair0_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
302,Pair1_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
303,Pair2_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
304,Pair3_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
305,Pair4_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
306,Pair5_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
307,Pair6_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
308,Pair28_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
309,Pair29_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
310,Pair30_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
311,Pair31_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
312,Pair32_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
313,Pair33_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
314,Pair34_5,ENST00000318203.9,100.0,16,5,20,1120,1135,0.38,plus,ENST00000318203.9,ZSCAN4,True,True
1067,Pair2_3,ENST00000526632.5,100.0,15,1,15,1414,1400,0.91,minus,ENST00000526632.5,PKD1L2,True,True
1070,Pair2_3,ENST00000531391.5,100.0,15,1,15,893,879,0.91,minus,ENST00000531391.5,PKD1L2,True,True
1073,Pair2_3,ENST00000299598.11,100.0,15,1,15,1161,1147,0.91,minus,ENST00000299598.11,PKD1L2,True,True
1076,Pair2_3,ENST00000525539.5,100.0,15,1,15,2832,2818,0.91,minus,ENST00000525539.5,PKD1L2,True,True
1079,Pair2_3,ENST00000533478.5,100.0,15,1,15,888,874,0.91,minus,ENST00000533478.5,PKD1L2,True,True
1085,Pair14_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
1087,Pair16_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
1088,Pair17_3,ENST00000408909.6,100.0,15,4,18,4604,4618,0.91,plus,ENST00000408909.6,TRPM3,True,True
1092,Pair14_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
1094,Pair16_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
1095,Pair17_3,ENST00000396292.8,100.0,15,4,18,4643,4657,0.91,plus,ENST00000396292.8,TRPM3,True,True
1099,Pair14_3,ENST00000396285.5,100.0,15,4,18,4604,4618,0.91,plus,ENST00000396285.5,TRPM3,True,True
1101,Pair16_3,ENST00000396285.5,100.0,15,4,18,4604,4618,0.91,plus,ENST00000396285.5,TRPM3,True,True
1102,Pair17_3,ENST00000396285.5,100.0,15,4,18,4604,4618,0.91,plus,ENST00000396285.5,TRPM3,True,True
1106,Pair14_3,ENST00000396280.9,100.0,15,4,18,4574,4588,0.91,plus,ENST00000396280.9,TRPM3,True,True
1108,Pair16_3,ENST00000396280.9,100.0,15,4,18,4574,4588,0.91,plus,ENST00000396280.9,TRPM3,True,True
1109,Pair17_3,ENST00000396280.9,100.0,15,4,18,4574,4588,0.91,plus,ENST00000396280.9,TRPM3,True,True
1113,Pair14_3,ENST00000358082.7,100.0,15,4,18,4613,4627,0.91,plus,ENST00000358082.7,TRPM3,True,True
1115,Pair16_3,ENST00000358082.7,100.0,15,4,18,4613,4627,0.91,plus,ENST00000358082.7,TRPM3,True,True
1116,Pair17_3,ENST00000358082.7,100.0,15,4,18,4613,4627,0.91,plus,ENST00000358082.7,TRPM3,True,True
1120,Pair14_3,ENST00000357533.6,100.0,15,4,18,5039,5053,0.91,plus,ENST00000357533.6,TRPM3,True,True
1122,Pair16_3,ENST00000357533.6,100.0,15,4,18,5039,5053,0.91,plus,ENST00000357533.6,TRPM3,True,True
1123,Pair17_3,ENST00000357533.6,100.0,15,4,18,5039,5053,0.91,plus,ENST00000357533.6,TRPM3,True,True
1127,Pair14_3,ENST00000704573.1,100.0,15,4,18,4624,4638,0.91,plus,ENST00000704573.1,TRPM3,True,True
1129,Pair16_3,ENST00000704573.1,100.0,15,4,18,4624,4638,0.91,plus,ENST00000704573.1,TRPM3,True,True
1130,Pair17_3,ENST00000704573.1,100.0,15,4,18,4624,4638,0.91,plus,ENST00000704573.1,TRPM3,True,True
1134,Pair14_3,ENST00000377105.5,100.0,15,4,18,4959,4973,0.91,plus,ENST00000377105.5,TRPM3,True,True
1136,Pair16_3,ENST00000377105.5,100.0,15,4,18,4959,4973,0.91,plus,ENST00000377105.5,TRPM3,True,True
1137,Pair17_3,ENST00000377105.5,100.0,15,4,18,4959,4973,0.91,plus,ENST00000377105.5,TRPM3,True,True
1141,Pair14_3,ENST00000360823.6,100.0,15,4,18,4968,4982,0.91,plus,ENST00000360823.6,TRPM3,True,True
1143,Pair16_3,ENST00000360823.6,100.0,15,4,18,4968,4982,0.91,plus,ENST00000360823.6,TRPM3,True,True
1144,Pair17_3,ENST00000360823.6,100.0,15,4,18,4968,4982,0.91,plus,ENST00000360823.6,TRPM3,True,True
1148,Pair14_3,ENST00000377110.9,100.0,15,4,18,5271,5285,0.91,plus,ENST00000377110.9,TRPM3,True,True
1150,Pair16_3,ENST00000377110.9,100.0,15,4,18,5271,5285,0.91,plus,ENST00000377110.9,TRPM3,True,True
1151,Pair17_3,ENST00000377110.9,100.0,15,4,18,5271,5285,0.91,plus,ENST00000377110.9,TRPM3,True,True
1155,Pair14_3,ENST00000677713.2,100.0,15,4,18,5330,5344,0.91,plus,ENST00000677713.2,TRPM3,True,True
1157,Pair16_3,ENST00000677713.2,100.0,15,4,18,5330,5344,0.91,plus,ENST00000677713.2,TRPM3,True,True
1158,Pair17_3,ENST00000677713.2,100.0,15,4,18,5330,5344,0.91,plus,ENST00000677713.2,TRPM3,True,True
1631,Pair9_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
1632,Pair10_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
1635,Pair13_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
1639,Pair21_5,ENST00000559695.1,100.0,16,1,16,628,613,0.38,minus,ENST00000559695.1,,True,True
1644,Pair37_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
1645,Pair38_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
1648,Pair41_3,ENST00000559695.1,100.0,16,5,20,613,628,0.38,plus,ENST00000559695.1,,True,True
3062,Pair14_3,ENST00000394748.5,100.0,15,1,15,3710,3696,0.91,minus,ENST00000394748.5,ABCC11,True,True
3064,Pair16_3,ENST00000394748.5,100.0,15,1,15,3710,3696,0.91,minus,ENST00000394748.5,ABCC11,True,True
3065,Pair17_3,ENST00000394748.5,100.0,15,1,15,3710,3696,0.91,minus,ENST00000394748.5,ABCC11,True,True
3069,Pair14_3,ENST00000394747.5,100.0,15,1,15,3996,3982,0.91,minus,ENST00000394747.5,ABCC11,True,True
3071,Pair16_3,ENST00000394747.5,100.0,15,1,15,3996,3982,0.91,minus,ENST00000394747.5,ABCC11,True,True
3072,Pair17_3,ENST00000394747.5,100.0,15,1,15,3996,3982,0.91,minus,ENST00000394747.5,ABCC11,True,True
3076,Pair14_3,ENST00000353782.9,100.0,15,1,15,3710,3696,0.91,minus,ENST00000353782.9,ABCC11,True,True
3078,Pair16_3,ENST00000353782.9,100.0,15,1,15,3710,3696,0.91,minus,ENST00000353782.9,ABCC11,True,True
3079,Pair17_3,ENST00000353782.9,100.0,15,1,15,3710,3696,0.91,minus,ENST00000353782.9,ABCC11,True,True
3083,Pair14_3,ENST00000565329.1,100.0,15,1,15,946,932,0.91,minus,ENST00000565329.1,ABCC11,True,True
3085,Pair16_3,ENST00000565329.1,100.0,15,1,15,946,932,0.91,minus,ENST00000565329.1,ABCC11,True,True
3086,Pair17_3,ENST00000565329.1,100.0,15,1,15,946,932,0.91,minus,ENST00000565329.1,ABCC11,True,True
3090,Pair14_3,ENST00000356608.7,100.0,15,1,15,3890,3876,0.91,minus,ENST00000356608.7,ABCC11,True,True
3092,Pair16_3,ENST00000356608.7,100.0,15,1,15,3890,3876,0.91,minus,ENST00000356608.7,ABCC11,True,True
3093,Pair17_3,ENST00000356608.7,100.0,15,1,15,3890,3876,0.91,minus,ENST00000356608.7,ABCC11,True,True
4093,Pair23_3,ENST00000683175.1,100.0,15,1,15,39,25,0.61,minus,ENST00000683175.1,EYA4,True,True
4094,Pair24_3,ENST00000683175.1,100.0,16,1,16,40,25,0.15,minus,ENST00000683175.1,EYA4,True,True
4095,Pair26_3,ENST00000683175.1,100.0,15,1,15,39,25,0.61,minus,ENST00000683175.1,EYA4,True,True
4096,Pair42_3,ENST00000683175.1,100.0,15,1,15,39,25,0.61,minus,ENST00000683175.1,EYA4,True,True
4097,Pair43_3,ENST00000683175.1,100.0,15,1,15,39,25,0.61,minus,ENST00000683175.1,EYA4,True,True
4098,Pair44_3,ENST00000683175.1,100.0,16,1,16,40,25,0.15,minus,ENST00000683175.1,EYA4,True,True
4099,Pair45_3,ENST00000683175.1,100.0,15,1,15,39,25,0.61,minus,ENST00000683175.1,EYA4,True,True
4100,Pair46_3,ENST00000683175.1,100.0,16,1,16,40,25,0.15,minus,ENST00000683175.1,EYA4,True,True
4101,Pair47_3,ENST00000683175.1,100.0,15,1,15,39,25,0.61,minus,ENST00000683175.1,EYA4,True,True
4102,Pair48_3,ENST00000683175.1,100.0,16,1,16,40,25,0.15,minus,ENST00000683175.1,EYA4,True,True
