,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
457,Pair5_5,ENST00000565074.1,100.0,15,6,20,2825,2839,1.5,plus,ENST00000565074.1,C15orf39,True,True
463,Pair37_5,ENST00000565074.1,100.0,15,6,20,2825,2839,1.5,plus,ENST00000565074.1,C15orf39,True,True
637,Pair1_3,ENST00000582540.5,100.0,18,3,20,72,89,0.025,plus,ENST00000582540.5,PRR29,True,True
643,Pair7_3,ENST00000582540.5,100.0,18,3,20,72,89,0.025,plus,ENST00000582540.5,PRR29,True,True
645,Pair33_3,ENST00000582540.5,100.0,18,3,20,72,89,0.025,plus,ENST00000582540.5,PRR29,True,True
651,Pair39_3,ENST00000582540.5,100.0,18,3,20,72,89,0.025,plus,ENST00000582540.5,PRR29,True,True
653,Pair1_3,ENST00000225760.5,100.0,16,5,20,328,343,0.38,plus,ENST00000225760.5,PRR29,True,True
659,Pair7_3,ENST00000225760.5,100.0,16,5,20,328,343,0.38,plus,ENST00000225760.5,PRR29,True,True
661,Pair33_3,ENST00000225760.5,100.0,16,5,20,328,343,0.38,plus,ENST00000225760.5,PRR29,True,True
667,Pair39_3,ENST00000225760.5,100.0,16,5,20,328,343,0.38,plus,ENST00000225760.5,PRR29,True,True
669,Pair1_3,ENST00000582530.5,100.0,16,5,20,331,346,0.38,plus,ENST00000582530.5,PRR29,True,True
675,Pair7_3,ENST00000582530.5,100.0,16,5,20,331,346,0.38,plus,ENST00000582530.5,PRR29,True,True
677,Pair33_3,ENST00000582530.5,100.0,16,5,20,331,346,0.38,plus,ENST00000582530.5,PRR29,True,True
683,Pair39_3,ENST00000582530.5,100.0,16,5,20,331,346,0.38,plus,ENST00000582530.5,PRR29,True,True
685,Pair1_3,ENST00000583891.5,100.0,16,5,20,125,140,0.38,plus,ENST00000583891.5,PRR29,True,True
691,Pair7_3,ENST00000583891.5,100.0,16,5,20,125,140,0.38,plus,ENST00000583891.5,PRR29,True,True
693,Pair33_3,ENST00000583891.5,100.0,16,5,20,125,140,0.38,plus,ENST00000583891.5,PRR29,True,True
699,Pair39_3,ENST00000583891.5,100.0,16,5,20,125,140,0.38,plus,ENST00000583891.5,PRR29,True,True
701,Pair1_3,ENST00000412177.6,100.0,16,5,20,150,165,0.38,plus,ENST00000412177.6,PRR29,True,True
707,Pair7_3,ENST00000412177.6,100.0,16,5,20,150,165,0.38,plus,ENST00000412177.6,PRR29,True,True
709,Pair33_3,ENST00000412177.6,100.0,16,5,20,150,165,0.38,plus,ENST00000412177.6,PRR29,True,True
715,Pair39_3,ENST00000412177.6,100.0,16,5,20,150,165,0.38,plus,ENST00000412177.6,PRR29,True,True
717,Pair1_3,ENST00000425164.7,100.0,16,5,20,150,165,0.38,plus,ENST00000425164.7,PRR29,True,True
723,Pair7_3,ENST00000425164.7,100.0,16,5,20,150,165,0.38,plus,ENST00000425164.7,PRR29,True,True
725,Pair33_3,ENST00000425164.7,100.0,16,5,20,150,165,0.38,plus,ENST00000425164.7,PRR29,True,True
731,Pair39_3,ENST00000425164.7,100.0,16,5,20,150,165,0.38,plus,ENST00000425164.7,PRR29,True,True
733,Pair1_3,ENST00000579184.5,100.0,16,5,20,129,144,0.38,plus,ENST00000579184.5,PRR29,True,True
739,Pair7_3,ENST00000579184.5,100.0,16,5,20,129,144,0.38,plus,ENST00000579184.5,PRR29,True,True
741,Pair33_3,ENST00000579184.5,100.0,16,5,20,129,144,0.38,plus,ENST00000579184.5,PRR29,True,True
747,Pair39_3,ENST00000579184.5,100.0,16,5,20,129,144,0.38,plus,ENST00000579184.5,PRR29,True,True
749,Pair1_3,ENST00000577953.5,100.0,16,5,20,150,165,0.38,plus,ENST00000577953.5,PRR29,True,True
755,Pair7_3,ENST00000577953.5,100.0,16,5,20,150,165,0.38,plus,ENST00000577953.5,PRR29,True,True
757,Pair33_3,ENST00000577953.5,100.0,16,5,20,150,165,0.38,plus,ENST00000577953.5,PRR29,True,True
763,Pair39_3,ENST00000577953.5,100.0,16,5,20,150,165,0.38,plus,ENST00000577953.5,PRR29,True,True
780,Pair0_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
782,Pair2_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
783,Pair3_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
784,Pair4_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
785,Pair5_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
786,Pair6_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
788,Pair32_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
790,Pair34_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
791,Pair35_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
792,Pair36_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
793,Pair37_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
794,Pair38_3,ENST00000675375.1,100.0,15,6,20,3674,3688,1.5,plus,ENST00000675375.1,CEP104,True,True
796,Pair0_3,ENST00000674544.1,100.0,15,6,20,3643,3657,1.5,plus,ENST00000674544.1,CEP104,True,True
