,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000664374.2,100.0,20,1,20,441,422,0.002,minus,ENST00000664374.2,IL10,True,True
1,Pair0_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
2,Pair1_5,ENST00000664374.2,100.0,20,1,20,441,422,0.002,minus,ENST00000664374.2,IL10,True,True
3,Pair1_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
4,Pair2_5,ENST00000664374.2,100.0,20,1,20,466,447,0.002,minus,ENST00000664374.2,IL10,True,True
5,Pair2_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
6,Pair3_5,ENST00000664374.2,100.0,20,1,20,466,447,0.002,minus,ENST00000664374.2,IL10,True,True
7,Pair3_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
8,Pair4_5,ENST00000664374.2,100.0,20,1,20,418,399,0.002,minus,ENST00000664374.2,IL10,True,True
9,Pair4_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
10,Pair5_5,ENST00000664374.2,100.0,20,1,20,418,399,0.002,minus,ENST00000664374.2,IL10,True,True
11,Pair5_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
12,Pair6_5,ENST00000664374.2,100.0,20,1,20,441,422,0.002,minus,ENST00000664374.2,IL10,True,True
13,Pair6_3,ENST00000664374.2,100.0,20,1,20,213,232,0.002,plus,ENST00000664374.2,IL10,True,True
14,Pair7_5,ENST00000664374.2,100.0,20,1,20,440,421,0.002,minus,ENST00000664374.2,IL10,True,True
15,Pair7_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
16,Pair8_5,ENST00000664374.2,100.0,20,1,20,438,419,0.002,minus,ENST00000664374.2,IL10,True,True
17,Pair8_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
18,Pair9_5,ENST00000664374.2,100.0,20,1,20,440,421,0.002,minus,ENST00000664374.2,IL10,True,True
19,Pair9_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
20,Pair10_5,ENST00000664374.2,100.0,20,1,20,367,348,0.002,minus,ENST00000664374.2,IL10,True,True
21,Pair11_5,ENST00000664374.2,100.0,20,1,20,438,419,0.002,minus,ENST00000664374.2,IL10,True,True
22,Pair11_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
23,Pair12_5,ENST00000664374.2,100.0,20,1,20,418,399,0.002,minus,ENST00000664374.2,IL10,True,True
24,Pair12_3,ENST00000664374.2,100.0,20,1,20,213,232,0.002,plus,ENST00000664374.2,IL10,True,True
25,Pair13_5,ENST00000664374.2,100.0,20,1,20,418,399,0.002,minus,ENST00000664374.2,IL10,True,True
26,Pair14_5,ENST00000664374.2,100.0,20,1,20,440,421,0.002,minus,ENST00000664374.2,IL10,True,True
27,Pair14_3,ENST00000664374.2,100.0,20,1,20,213,232,0.002,plus,ENST00000664374.2,IL10,True,True
28,Pair15_5,ENST00000664374.2,100.0,20,1,20,438,419,0.002,minus,ENST00000664374.2,IL10,True,True
29,Pair15_3,ENST00000664374.2,100.0,20,1,20,213,232,0.002,plus,ENST00000664374.2,IL10,True,True
30,Pair16_5,ENST00000664374.2,100.0,20,1,20,419,400,0.002,minus,ENST00000664374.2,IL10,True,True
31,Pair16_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
32,Pair17_5,ENST00000664374.2,100.0,20,1,20,420,401,0.002,minus,ENST00000664374.2,IL10,True,True
33,Pair17_3,ENST00000664374.2,100.0,20,1,20,233,252,0.002,plus,ENST00000664374.2,IL10,True,True
34,Pair18_5,ENST00000664374.2,100.0,20,1,20,419,400,0.002,minus,ENST00000664374.2,IL10,True,True
35,Pair18_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
36,Pair19_5,ENST00000664374.2,100.0,20,1,20,420,401,0.002,minus,ENST00000664374.2,IL10,True,True
37,Pair19_3,ENST00000664374.2,100.0,20,1,20,231,250,0.002,plus,ENST00000664374.2,IL10,True,True
38,Pair20_5,ENST00000664374.2,100.0,20,1,20,441,422,0.002,minus,ENST00000664374.2,IL10,True,True
39,Pair20_3,ENST00000664374.2,100.0,20,1,20,217,236,0.002,plus,ENST00000664374.2,IL10,True,True
40,Pair21_5,ENST00000664374.2,100.0,20,1,20,466,447,0.002,minus,ENST00000664374.2,IL10,True,True
41,Pair21_3,ENST00000664374.2,100.0,20,1,20,217,236,0.002,plus,ENST00000664374.2,IL10,True,True
42,Pair22_5,ENST00000664374.2,100.0,20,1,20,367,348,0.002,minus,ENST00000664374.2,IL10,True,True
43,Pair23_5,ENST00000664374.2,100.0,20,1,20,367,348,0.002,minus,ENST00000664374.2,IL10,True,True
44,Pair24_5,ENST00000664374.2,100.0,20,1,20,350,331,0.002,minus,ENST00000664374.2,IL10,True,True
45,Pair25_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
46,Pair25_3,ENST00000664374.2,100.0,20,1,20,480,499,0.002,plus,ENST00000664374.2,IL10,True,True
47,Pair26_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
48,Pair26_3,ENST00000664374.2,100.0,20,1,20,422,441,0.002,plus,ENST00000664374.2,IL10,True,True
49,Pair27_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
50,Pair27_3,ENST00000664374.2,100.0,20,1,20,447,466,0.002,plus,ENST00000664374.2,IL10,True,True
51,Pair28_5,ENST00000664374.2,100.0,20,1,20,717,698,0.002,minus,ENST00000664374.2,IL10,True,True
52,Pair28_3,ENST00000664374.2,100.0,20,1,20,480,499,0.002,plus,ENST00000664374.2,IL10,True,True
53,Pair29_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
54,Pair29_3,ENST00000664374.2,100.0,20,1,20,421,440,0.002,plus,ENST00000664374.2,IL10,True,True
55,Pair30_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
56,Pair30_3,ENST00000664374.2,100.0,20,1,20,419,438,0.002,plus,ENST00000664374.2,IL10,True,True
57,Pair31_5,ENST00000664374.2,100.0,20,1,20,724,705,0.002,minus,ENST00000664374.2,IL10,True,True
58,Pair31_3,ENST00000664374.2,100.0,20,1,20,480,499,0.002,plus,ENST00000664374.2,IL10,True,True
59,Pair32_5,ENST00000664374.2,100.0,20,1,20,717,698,0.002,minus,ENST00000664374.2,IL10,True,True
60,Pair32_3,ENST00000664374.2,100.0,20,1,20,523,542,0.002,plus,ENST00000664374.2,IL10,True,True
61,Pair33_5,ENST00000664374.2,100.0,20,1,20,716,697,0.002,minus,ENST00000664374.2,IL10,True,True
62,Pair33_3,ENST00000664374.2,100.0,20,1,20,480,499,0.002,plus,ENST00000664374.2,IL10,True,True
63,Pair34_5,ENST00000664374.2,100.0,20,1,20,724,705,0.002,minus,ENST00000664374.2,IL10,True,True
64,Pair34_3,ENST00000664374.2,100.0,20,1,20,523,542,0.002,plus,ENST00000664374.2,IL10,True,True
65,Pair35_5,ENST00000664374.2,100.0,20,1,20,716,697,0.002,minus,ENST00000664374.2,IL10,True,True
66,Pair35_3,ENST00000664374.2,100.0,20,1,20,523,542,0.002,plus,ENST00000664374.2,IL10,True,True
67,Pair36_5,ENST00000664374.2,100.0,20,1,20,717,698,0.002,minus,ENST00000664374.2,IL10,True,True
68,Pair36_3,ENST00000664374.2,100.0,20,1,20,524,543,0.002,plus,ENST00000664374.2,IL10,True,True
69,Pair37_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
70,Pair37_3,ENST00000664374.2,100.0,20,1,20,443,462,0.002,plus,ENST00000664374.2,IL10,True,True
71,Pair38_5,ENST00000664374.2,100.0,20,1,20,724,705,0.002,minus,ENST00000664374.2,IL10,True,True
72,Pair38_3,ENST00000664374.2,100.0,20,1,20,524,543,0.002,plus,ENST00000664374.2,IL10,True,True
73,Pair39_5,ENST00000664374.2,100.0,20,1,20,716,697,0.002,minus,ENST00000664374.2,IL10,True,True
74,Pair39_3,ENST00000664374.2,100.0,20,1,20,524,543,0.002,plus,ENST00000664374.2,IL10,True,True
75,Pair40_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
76,Pair40_3,ENST00000664374.2,100.0,20,1,20,455,474,0.002,plus,ENST00000664374.2,IL10,True,True
77,Pair41_5,ENST00000664374.2,100.0,20,1,20,668,649,0.002,minus,ENST00000664374.2,IL10,True,True
78,Pair41_3,ENST00000664374.2,100.0,20,1,20,420,439,0.002,plus,ENST00000664374.2,IL10,True,True
79,Pair42_5,ENST00000664374.2,100.0,20,1,20,718,699,0.002,minus,ENST00000664374.2,IL10,True,True
80,Pair42_3,ENST00000664374.2,100.0,20,1,20,480,499,0.002,plus,ENST00000664374.2,IL10,True,True
81,Pair43_5,ENST00000664374.2,100.0,20,1,20,717,698,0.002,minus,ENST00000664374.2,IL10,True,True
82,Pair43_3,ENST00000664374.2,100.0,20,1,20,506,525,0.002,plus,ENST00000664374.2,IL10,True,True
83,Pair44_5,ENST00000664374.2,100.0,20,1,20,717,698,0.002,minus,ENST00000664374.2,IL10,True,True
84,Pair44_3,ENST00000664374.2,100.0,20,1,20,505,524,0.002,plus,ENST00000664374.2,IL10,True,True
85,Pair45_5,ENST00000664374.2,100.0,20,1,20,724,705,0.002,minus,ENST00000664374.2,IL10,True,True
86,Pair45_3,ENST00000664374.2,100.0,20,1,20,506,525,0.002,plus,ENST00000664374.2,IL10,True,True
87,Pair46_5,ENST00000664374.2,100.0,20,1,20,724,705,0.002,minus,ENST00000664374.2,IL10,True,True
88,Pair46_3,ENST00000664374.2,100.0,20,1,20,505,524,0.002,plus,ENST00000664374.2,IL10,True,True
89,Pair47_5,ENST00000664374.2,100.0,20,1,20,718,699,0.002,minus,ENST00000664374.2,IL10,True,True
90,Pair47_3,ENST00000664374.2,100.0,20,1,20,523,542,0.002,plus,ENST00000664374.2,IL10,True,True
91,Pair48_5,ENST00000664374.2,100.0,20,1,20,716,697,0.002,minus,ENST00000664374.2,IL10,True,True
92,Pair48_3,ENST00000664374.2,100.0,20,1,20,506,525,0.002,plus,ENST00000664374.2,IL10,True,True
93,Pair49_5,ENST00000664374.2,100.0,20,1,20,716,697,0.002,minus,ENST00000664374.2,IL10,True,True
94,Pair49_3,ENST00000664374.2,100.0,20,1,20,505,524,0.002,plus,ENST00000664374.2,IL10,True,True
95,Pair0_5,ENST00000659065.2,100.0,20,1,20,571,552,0.002,minus,ENST00000659065.2,IL10,True,True
96,Pair0_3,ENST00000659065.2,100.0,20,1,20,363,382,0.002,plus,ENST00000659065.2,IL10,True,True
97,Pair1_5,ENST00000659065.2,100.0,20,1,20,571,552,0.002,minus,ENST00000659065.2,IL10,True,True
98,Pair1_3,ENST00000659065.2,100.0,20,1,20,361,380,0.002,plus,ENST00000659065.2,IL10,True,True
99,Pair2_5,ENST00000659065.2,100.0,20,1,20,596,577,0.002,minus,ENST00000659065.2,IL10,True,True
