,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
6067,Pair8_5,XM_047429062,95.0,20,1,20,521,502,0.62,minus,XM_047429062,-,-,True,True
6068,Pair12_3,XM_047429062,95.0,20,1,20,502,521,0.62,plus,XM_047429062,-,-,True,True
6069,Pair38_5,XM_047429062,95.0,20,1,20,521,502,0.62,minus,XM_047429062,-,-,True,True
6070,Pair42_3,XM_047429062,95.0,20,1,20,502,521,0.62,plus,XM_047429062,-,-,True,True
6071,Pair68_5,XM_047429062,95.0,20,1,20,521,502,0.62,minus,XM_047429062,-,-,True,True
6072,Pair72_3,XM_047429062,95.0,20,1,20,502,521,0.62,plus,XM_047429062,-,-,True,True
6073,Pair8_5,XM_011538531,95.0,20,1,20,1531,1512,0.62,minus,XM_011538531,ENST00000539978,APPL2,True,True
6074,Pair12_3,XM_011538531,95.0,20,1,20,1512,1531,0.62,plus,XM_011538531,ENST00000539978,APPL2,True,True
6075,Pair38_5,XM_011538531,95.0,20,1,20,1531,1512,0.62,minus,XM_011538531,ENST00000539978,APPL2,True,True
6076,Pair42_3,XM_011538531,95.0,20,1,20,1512,1531,0.62,plus,XM_011538531,ENST00000539978,APPL2,True,True
6077,Pair68_5,XM_011538531,95.0,20,1,20,1531,1512,0.62,minus,XM_011538531,ENST00000539978,APPL2,True,True
6078,Pair72_3,XM_011538531,95.0,20,1,20,1512,1531,0.62,plus,XM_011538531,ENST00000539978,APPL2,True,True
6079,Pair8_5,XM_047429064,95.0,20,1,20,3272,3253,0.62,minus,XM_047429064,-,-,True,True
6080,Pair12_3,XM_047429064,95.0,20,1,20,3253,3272,0.62,plus,XM_047429064,-,-,True,True
6081,Pair38_5,XM_047429064,95.0,20,1,20,3272,3253,0.62,minus,XM_047429064,-,-,True,True
6082,Pair42_3,XM_047429064,95.0,20,1,20,3253,3272,0.62,plus,XM_047429064,-,-,True,True
6083,Pair68_5,XM_047429064,95.0,20,1,20,3272,3253,0.62,minus,XM_047429064,-,-,True,True
6084,Pair72_3,XM_047429064,95.0,20,1,20,3253,3272,0.62,plus,XM_047429064,-,-,True,True
6085,Pair8_5,XM_047429065,95.0,20,1,20,245,226,0.62,minus,XM_047429065,-,-,True,True
6086,Pair12_3,XM_047429065,95.0,20,1,20,226,245,0.62,plus,XM_047429065,-,-,True,True
6087,Pair38_5,XM_047429065,95.0,20,1,20,245,226,0.62,minus,XM_047429065,-,-,True,True
6088,Pair42_3,XM_047429065,95.0,20,1,20,226,245,0.62,plus,XM_047429065,-,-,True,True
6089,Pair68_5,XM_047429065,95.0,20,1,20,245,226,0.62,minus,XM_047429065,-,-,True,True
6090,Pair72_3,XM_047429065,95.0,20,1,20,226,245,0.62,plus,XM_047429065,-,-,True,True
6091,Pair8_5,XM_047429063,95.0,20,1,20,3272,3253,0.62,minus,XM_047429063,-,-,True,True
6092,Pair12_3,XM_047429063,95.0,20,1,20,3253,3272,0.62,plus,XM_047429063,-,-,True,True
6093,Pair38_5,XM_047429063,95.0,20,1,20,3272,3253,0.62,minus,XM_047429063,-,-,True,True
6094,Pair42_3,XM_047429063,95.0,20,1,20,3253,3272,0.62,plus,XM_047429063,-,-,True,True
6095,Pair68_5,XM_047429063,95.0,20,1,20,3272,3253,0.62,minus,XM_047429063,-,-,True,True
6096,Pair72_3,XM_047429063,95.0,20,1,20,3253,3272,0.62,plus,XM_047429063,-,-,True,True
6097,Pair8_5,XM_017019554,95.0,20,1,20,331,312,0.62,minus,XM_017019554,ENST00000258530,APPL2,True,True
6098,Pair12_3,XM_017019554,95.0,20,1,20,312,331,0.62,plus,XM_017019554,ENST00000258530,APPL2,True,True
6099,Pair38_5,XM_017019554,95.0,20,1,20,331,312,0.62,minus,XM_017019554,ENST00000258530,APPL2,True,True
6100,Pair42_3,XM_017019554,95.0,20,1,20,312,331,0.62,plus,XM_017019554,ENST00000258530,APPL2,True,True
6101,Pair68_5,XM_017019554,95.0,20,1,20,331,312,0.62,minus,XM_017019554,ENST00000258530,APPL2,True,True
6102,Pair72_3,XM_017019554,95.0,20,1,20,312,331,0.62,plus,XM_017019554,ENST00000258530,APPL2,True,True
6109,Pair8_5,NM_018171,95.0,20,1,20,331,312,0.62,minus,NM_018171,ENST00000258530,APPL2,True,True
6110,Pair12_3,NM_018171,95.0,20,1,20,312,331,0.62,plus,NM_018171,ENST00000258530,APPL2,True,True
6111,Pair38_5,NM_018171,95.0,20,1,20,331,312,0.62,minus,NM_018171,ENST00000258530,APPL2,True,True
6112,Pair42_3,NM_018171,95.0,20,1,20,312,331,0.62,plus,NM_018171,ENST00000258530,APPL2,True,True
6113,Pair68_5,NM_018171,95.0,20,1,20,331,312,0.62,minus,NM_018171,ENST00000258530,APPL2,True,True
6114,Pair72_3,NM_018171,95.0,20,1,20,312,331,0.62,plus,NM_018171,ENST00000258530,APPL2,True,True
6115,Pair8_5,XM_047429066,95.0,20,1,20,331,312,0.62,minus,XM_047429066,-,-,True,True
6116,Pair12_3,XM_047429066,95.0,20,1,20,312,331,0.62,plus,XM_047429066,-,-,True,True
6117,Pair38_5,XM_047429066,95.0,20,1,20,331,312,0.62,minus,XM_047429066,-,-,True,True
6118,Pair42_3,XM_047429066,95.0,20,1,20,312,331,0.62,plus,XM_047429066,-,-,True,True
6119,Pair68_5,XM_047429066,95.0,20,1,20,331,312,0.62,minus,XM_047429066,-,-,True,True
6120,Pair72_3,XM_047429066,95.0,20,1,20,312,331,0.62,plus,XM_047429066,-,-,True,True
6121,Pair8_5,NM_001251905,95.0,20,1,20,245,226,0.62,minus,NM_001251905,ENST00000539978,APPL2,True,True
6122,Pair12_3,NM_001251905,95.0,20,1,20,226,245,0.62,plus,NM_001251905,ENST00000539978,APPL2,True,True
6123,Pair38_5,NM_001251905,95.0,20,1,20,245,226,0.62,minus,NM_001251905,ENST00000539978,APPL2,True,True
6124,Pair42_3,NM_001251905,95.0,20,1,20,226,245,0.62,plus,NM_001251905,ENST00000539978,APPL2,True,True
6125,Pair68_5,NM_001251905,95.0,20,1,20,245,226,0.62,minus,NM_001251905,ENST00000539978,APPL2,True,True
6126,Pair72_3,NM_001251905,95.0,20,1,20,226,245,0.62,plus,NM_001251905,ENST00000539978,APPL2,True,True
6133,Pair8_5,XM_006719472,95.0,20,1,20,331,312,0.62,minus,XM_006719472,ENST00000551662,APPL2,True,True
6134,Pair12_3,XM_006719472,95.0,20,1,20,312,331,0.62,plus,XM_006719472,ENST00000551662,APPL2,True,True
6135,Pair38_5,XM_006719472,95.0,20,1,20,331,312,0.62,minus,XM_006719472,ENST00000551662,APPL2,True,True
6136,Pair42_3,XM_006719472,95.0,20,1,20,312,331,0.62,plus,XM_006719472,ENST00000551662,APPL2,True,True
6137,Pair68_5,XM_006719472,95.0,20,1,20,331,312,0.62,minus,XM_006719472,ENST00000551662,APPL2,True,True
6138,Pair72_3,XM_006719472,95.0,20,1,20,312,331,0.62,plus,XM_006719472,ENST00000551662,APPL2,True,True
6139,Pair8_5,NM_001251904,95.0,20,1,20,331,312,0.62,minus,NM_001251904,ENST00000551662,APPL2,True,True
6140,Pair12_3,NM_001251904,95.0,20,1,20,312,331,0.62,plus,NM_001251904,ENST00000551662,APPL2,True,True
6141,Pair38_5,NM_001251904,95.0,20,1,20,331,312,0.62,minus,NM_001251904,ENST00000551662,APPL2,True,True
6142,Pair42_3,NM_001251904,95.0,20,1,20,312,331,0.62,plus,NM_001251904,ENST00000551662,APPL2,True,True
6143,Pair68_5,NM_001251904,95.0,20,1,20,331,312,0.62,minus,NM_001251904,ENST00000551662,APPL2,True,True
6144,Pair72_3,NM_001251904,95.0,20,1,20,312,331,0.62,plus,NM_001251904,ENST00000551662,APPL2,True,True
6145,Pair8_5,XM_017019551,95.0,20,1,20,6662,6643,0.62,minus,XM_017019551,ENST00000539978,APPL2,True,True
6146,Pair12_3,XM_017019551,95.0,20,1,20,6643,6662,0.62,plus,XM_017019551,ENST00000539978,APPL2,True,True
6147,Pair38_5,XM_017019551,95.0,20,1,20,6662,6643,0.62,minus,XM_017019551,ENST00000539978,APPL2,True,True
6148,Pair42_3,XM_017019551,95.0,20,1,20,6643,6662,0.62,plus,XM_017019551,ENST00000539978,APPL2,True,True
6149,Pair68_5,XM_017019551,95.0,20,1,20,6662,6643,0.62,minus,XM_017019551,ENST00000539978,APPL2,True,True
6150,Pair72_3,XM_017019551,95.0,20,1,20,6643,6662,0.62,plus,XM_017019551,ENST00000539978,APPL2,True,True
6151,Pair8_5,XM_011538530,95.0,20,1,20,3272,3253,0.62,minus,XM_011538530,ENST00000551662,APPL2,True,True
6152,Pair12_3,XM_011538530,95.0,20,1,20,3253,3272,0.62,plus,XM_011538530,ENST00000551662,APPL2,True,True
6153,Pair38_5,XM_011538530,95.0,20,1,20,3272,3253,0.62,minus,XM_011538530,ENST00000551662,APPL2,True,True
6154,Pair42_3,XM_011538530,95.0,20,1,20,3253,3272,0.62,plus,XM_011538530,ENST00000551662,APPL2,True,True
6155,Pair68_5,XM_011538530,95.0,20,1,20,3272,3253,0.62,minus,XM_011538530,ENST00000551662,APPL2,True,True
6156,Pair72_3,XM_011538530,95.0,20,1,20,3253,3272,0.62,plus,XM_011538530,ENST00000551662,APPL2,True,True
6157,Pair8_5,XM_011538532,95.0,20,1,20,245,226,0.62,minus,XM_011538532,ENST00000539978,APPL2,True,True
6158,Pair12_3,XM_011538532,95.0,20,1,20,226,245,0.62,plus,XM_011538532,ENST00000539978,APPL2,True,True
6159,Pair38_5,XM_011538532,95.0,20,1,20,245,226,0.62,minus,XM_011538532,ENST00000539978,APPL2,True,True
6160,Pair42_3,XM_011538532,95.0,20,1,20,226,245,0.62,plus,XM_011538532,ENST00000539978,APPL2,True,True
6161,Pair68_5,XM_011538532,95.0,20,1,20,245,226,0.62,minus,XM_011538532,ENST00000539978,APPL2,True,True
