,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
563,Pair0_3,ENST00000234198.9,100.0,16,2,17,1487,1502,0.15,plus,ENST00000234198.9,DLX2,True,True
564,Pair1_3,ENST00000234198.9,100.0,16,2,17,1487,1502,0.15,plus,ENST00000234198.9,DLX2,True,True
565,Pair0_3,ENST00000582783.5,100.0,15,1,15,2500,2486,0.61,minus,ENST00000582783.5,C19orf47,True,True
566,Pair1_3,ENST00000582783.5,100.0,15,1,15,2500,2486,0.61,minus,ENST00000582783.5,C19orf47,True,True
567,Pair0_3,ENST00000683109.1,100.0,15,1,15,2483,2469,0.61,minus,ENST00000683109.1,C19orf47,True,True
568,Pair1_3,ENST00000683109.1,100.0,15,1,15,2483,2469,0.61,minus,ENST00000683109.1,C19orf47,True,True
871,Pair48_5,ENST00000693433.1,100.0,15,1,15,5431,5417,0.61,minus,ENST00000693433.1,CDK5RAP2,True,True
872,Pair49_5,ENST00000693433.1,100.0,15,1,15,5431,5417,0.61,minus,ENST00000693433.1,CDK5RAP2,True,True
2550,Pair21_5,ENST00000377223.6,100.0,16,1,16,4456,4441,0.38,minus,ENST00000377223.6,LZIC,True,True
2551,Pair24_3,ENST00000377223.6,100.0,16,5,20,4441,4456,0.38,plus,ENST00000377223.6,LZIC,True,True
3439,Pair28_5,ENST00000473054.1,95.0,20,1,20,712,731,0.38,plus,ENST00000473054.1,RPL7AP5,True,True
3440,Pair29_5,ENST00000473054.1,95.0,20,1,20,712,731,0.38,plus,ENST00000473054.1,RPL7AP5,True,True
3441,Pair28_5,ENST00000496515.2,95.0,20,1,20,657,676,0.38,plus,ENST00000496515.2,RPL7AP2,True,True
3442,Pair29_5,ENST00000496515.2,95.0,20,1,20,657,676,0.38,plus,ENST00000496515.2,RPL7AP2,True,True
3588,Pair29_3,ENST00000591149.5,100.0,16,5,20,17,32,0.38,plus,ENST00000591149.5,THOP1,True,True
3589,Pair29_3,ENST00000589087.5,100.0,16,5,20,985,1000,0.38,plus,ENST00000589087.5,THOP1,True,True
3590,Pair29_3,ENST00000586677.5,100.0,16,5,20,531,546,0.38,plus,ENST00000586677.5,THOP1,True,True
3591,Pair29_3,ENST00000307741.11,100.0,16,5,20,995,1010,0.38,plus,ENST00000307741.11,THOP1,True,True
4024,Pair34_3,ENST00000412994.1,100.0,18,1,18,142,125,0.02,minus,ENST00000412994.1,,True,True
4025,Pair35_3,ENST00000412994.1,100.0,18,1,18,142,125,0.02,minus,ENST00000412994.1,,True,True
4242,Pair36_5,ENST00000636769.1,100.0,16,1,16,2326,2311,0.23,minus,ENST00000636769.1,SCN2A,True,True
4243,Pair37_5,ENST00000636769.1,100.0,16,1,16,2326,2311,0.23,minus,ENST00000636769.1,SCN2A,True,True
4244,Pair36_5,ENST00000637367.1,100.0,16,1,16,4113,4098,0.23,minus,ENST00000637367.1,SCN2A,True,True
4245,Pair37_5,ENST00000637367.1,100.0,16,1,16,4113,4098,0.23,minus,ENST00000637367.1,SCN2A,True,True
4246,Pair36_5,ENST00000636384.2,100.0,16,1,16,2596,2581,0.23,minus,ENST00000636384.2,SCN2A,True,True
4247,Pair37_5,ENST00000636384.2,100.0,16,1,16,2596,2581,0.23,minus,ENST00000636384.2,SCN2A,True,True
4356,Pair41_5,ENST00000490660.2,95.0,20,1,20,370,351,0.38,minus,ENST00000490660.2,MAPK7,True,True
4358,Pair41_5,ENST00000603493.1,95.0,20,1,20,511,492,0.38,minus,ENST00000603493.1,MAPK7,True,True
4360,Pair41_5,ENST00000572853.1,95.0,20,1,20,513,494,0.38,minus,ENST00000572853.1,MAPK7,True,True
4362,Pair41_5,ENST00000486905.1,95.0,20,1,20,442,423,0.38,minus,ENST00000486905.1,MAPK7,True,True
4364,Pair41_5,ENST00000570306.5,95.0,20,1,20,1382,1363,0.38,minus,ENST00000570306.5,MAPK7,True,True
4366,Pair41_5,ENST00000581260.5,95.0,20,1,20,483,464,0.38,minus,ENST00000581260.5,MAPK7,True,True
4368,Pair41_5,ENST00000573466.5,95.0,20,1,20,405,386,0.38,minus,ENST00000573466.5,MAPK7,True,True
4370,Pair41_5,ENST00000395604.8,95.0,20,1,20,499,480,0.38,minus,ENST00000395604.8,MAPK7,True,True
4372,Pair41_5,ENST00000572968.5,95.0,20,1,20,441,422,0.38,minus,ENST00000572968.5,MAPK7,True,True
4374,Pair41_5,ENST00000443215.5,95.0,20,1,20,487,468,0.38,minus,ENST00000443215.5,MAPK7,True,True
4376,Pair41_5,ENST00000579284.5,95.0,20,1,20,505,486,0.38,minus,ENST00000579284.5,MAPK7,True,True
4378,Pair41_5,ENST00000395602.8,95.0,20,1,20,656,637,0.38,minus,ENST00000395602.8,MAPK7,True,True
4380,Pair41_5,ENST00000308406.9,95.0,20,1,20,747,728,0.38,minus,ENST00000308406.9,MAPK7,True,True
4654,Pair42_3,ENST00000309234.10,100.0,18,1,18,875,858,0.015,minus,ENST00000309234.10,HFE,True,True
4655,Pair43_3,ENST00000309234.10,100.0,16,1,16,873,858,0.23,minus,ENST00000309234.10,HFE,True,True
4656,Pair42_3,ENST00000357618.10,100.0,18,1,18,885,868,0.015,minus,ENST00000357618.10,HFE,True,True
4657,Pair43_3,ENST00000357618.10,100.0,16,1,16,883,868,0.23,minus,ENST00000357618.10,HFE,True,True
4658,Pair42_3,ENST00000488199.5,100.0,18,1,18,603,586,0.015,minus,ENST00000488199.5,HFE,True,True
4659,Pair43_3,ENST00000488199.5,100.0,16,1,16,601,586,0.23,minus,ENST00000488199.5,HFE,True,True
4660,Pair42_3,ENST00000461397.5,100.0,18,1,18,867,850,0.015,minus,ENST00000461397.5,HFE,True,True
4661,Pair43_3,ENST00000461397.5,100.0,16,1,16,865,850,0.23,minus,ENST00000461397.5,HFE,True,True
4662,Pair42_3,ENST00000486147.1,100.0,18,1,18,716,699,0.015,minus,ENST00000486147.1,HFE,True,True
4663,Pair43_3,ENST00000486147.1,100.0,16,1,16,714,699,0.23,minus,ENST00000486147.1,HFE,True,True
4664,Pair42_3,ENST00000336625.12,100.0,18,1,18,599,582,0.015,minus,ENST00000336625.12,HFE,True,True
4665,Pair43_3,ENST00000336625.12,100.0,16,1,16,597,582,0.23,minus,ENST00000336625.12,HFE,True,True
4666,Pair42_3,ENST00000470149.5,100.0,18,1,18,913,896,0.015,minus,ENST00000470149.5,HFE,True,True
4667,Pair43_3,ENST00000470149.5,100.0,16,1,16,911,896,0.23,minus,ENST00000470149.5,HFE,True,True
4668,Pair42_3,ENST00000483782.1,100.0,18,1,18,1204,1187,0.015,minus,ENST00000483782.1,HFE,True,True
4669,Pair43_3,ENST00000483782.1,100.0,16,1,16,1202,1187,0.23,minus,ENST00000483782.1,HFE,True,True
4670,Pair42_3,ENST00000317896.11,100.0,18,1,18,757,740,0.015,minus,ENST00000317896.11,HFE,True,True
4671,Pair43_3,ENST00000317896.11,100.0,16,1,16,755,740,0.23,minus,ENST00000317896.11,HFE,True,True
4672,Pair42_3,ENST00000349999.8,100.0,18,1,18,769,752,0.015,minus,ENST00000349999.8,HFE,True,True
4673,Pair43_3,ENST00000349999.8,100.0,16,1,16,767,752,0.23,minus,ENST00000349999.8,HFE,True,True
4674,Pair42_3,ENST00000397022.7,100.0,18,1,18,964,947,0.015,minus,ENST00000397022.7,HFE,True,True
4675,Pair43_3,ENST00000397022.7,100.0,16,1,16,962,947,0.23,minus,ENST00000397022.7,HFE,True,True
4676,Pair42_3,ENST00000353147.9,100.0,18,1,18,493,476,0.015,minus,ENST00000353147.9,HFE,True,True
4677,Pair43_3,ENST00000353147.9,100.0,16,1,16,491,476,0.23,minus,ENST00000353147.9,HFE,True,True
4678,Pair42_3,ENST00000391694.4,100.0,16,3,18,338,353,0.23,plus,ENST00000391694.4,ZNF446,True,True
4680,Pair42_3,ENST00000610298.1,100.0,16,3,18,345,360,0.23,plus,ENST00000610298.1,ZNF446,True,True
4682,Pair42_3,ENST00000335841.8,100.0,16,3,18,360,375,0.23,plus,ENST00000335841.8,ZNF446,True,True
4684,Pair42_3,ENST00000594369.6,100.0,16,3,18,436,451,0.23,plus,ENST00000594369.6,ZNF446,True,True
4686,Pair42_3,ENST00000600013.5,100.0,16,3,18,389,404,0.23,plus,ENST00000600013.5,ZNF446,True,True
4688,Pair42_3,ENST00000594468.1,100.0,16,3,18,334,349,0.23,plus,ENST00000594468.1,ZNF446,True,True
4690,Pair42_3,ENST00000596341.5,100.0,16,3,18,2463,2478,0.23,plus,ENST00000596341.5,ZNF446,True,True
5017,Pair48_5,ENST00000676868.1,100.0,16,1,16,905,890,0.15,minus,ENST00000676868.1,DNMT1,True,True
5018,Pair49_5,ENST00000676868.1,100.0,16,1,16,905,890,0.15,minus,ENST00000676868.1,DNMT1,True,True
5019,Pair48_5,ENST00000677783.1,100.0,16,1,16,691,676,0.15,minus,ENST00000677783.1,DNMT1,True,True
5020,Pair49_5,ENST00000677783.1,100.0,16,1,16,691,676,0.15,minus,ENST00000677783.1,DNMT1,True,True
5027,Pair48_5,ENST00000483412.5,100.0,15,1,15,5943,5929,0.61,minus,ENST00000483412.5,CDK5RAP2,True,True
5028,Pair49_5,ENST00000483412.5,100.0,15,1,15,5943,5929,0.61,minus,ENST00000483412.5,CDK5RAP2,True,True
5029,Pair48_5,ENST00000586329.5,100.0,15,1,15,97,83,0.61,minus,ENST00000586329.5,EPS8L1,True,True
5031,Pair49_5,ENST00000586329.5,100.0,15,1,15,97,83,0.61,minus,ENST00000586329.5,EPS8L1,True,True
5845,Pair52_3,ENST00000413771.1,100.0,18,3,20,707,724,0.025,plus,ENST00000413771.1,OR2P1P,True,True
5846,Pair53_3,ENST00000413771.1,100.0,18,3,20,707,724,0.025,plus,ENST00000413771.1,OR2P1P,True,True
5847,Pair52_3,ENST00000412953.1,100.0,18,3,20,707,724,0.025,plus,ENST00000412953.1,OR2P1P,True,True
5848,Pair53_3,ENST00000412953.1,100.0,18,3,20,707,724,0.025,plus,ENST00000412953.1,OR2P1P,True,True
5849,Pair52_3,ENST00000444153.1,100.0,18,3,20,707,724,0.025,plus,ENST00000444153.1,OR2P1P,True,True
5850,Pair53_3,ENST00000444153.1,100.0,18,3,20,707,724,0.025,plus,ENST00000444153.1,OR2P1P,True,True
5851,Pair52_3,ENST00000449414.1,100.0,18,3,20,707,724,0.025,plus,ENST00000449414.1,OR2P1P,True,True
5852,Pair53_3,ENST00000449414.1,100.0,18,3,20,707,724,0.025,plus,ENST00000449414.1,OR2P1P,True,True
5853,Pair52_3,ENST00000414137.1,100.0,18,3,20,707,724,0.025,plus,ENST00000414137.1,OR2P1P,True,True
5854,Pair53_3,ENST00000414137.1,100.0,18,3,20,707,724,0.025,plus,ENST00000414137.1,OR2P1P,True,True
5855,Pair52_3,ENST00000427909.1,100.0,18,3,20,707,724,0.025,plus,ENST00000427909.1,OR2P1P,True,True
5856,Pair53_3,ENST00000427909.1,100.0,18,3,20,707,724,0.025,plus,ENST00000427909.1,OR2P1P,True,True
5857,Pair52_3,ENST00000437015.1,100.0,18,3,20,704,721,0.025,plus,ENST00000437015.1,OR2P1P,True,True
5858,Pair53_3,ENST00000437015.1,100.0,18,3,20,704,721,0.025,plus,ENST00000437015.1,OR2P1P,True,True
6226,Pair58_5,ENST00000295927.4,100.0,17,1,17,981,965,0.097,minus,ENST00000295927.4,PTX3,True,True
6227,Pair59_5,ENST00000295927.4,100.0,17,1,17,981,965,0.097,minus,ENST00000295927.4,PTX3,True,True
6228,Pair62_3,ENST00000295927.4,100.0,17,4,20,965,981,0.097,plus,ENST00000295927.4,PTX3,True,True
6229,Pair63_3,ENST00000295927.4,100.0,17,4,20,965,981,0.097,plus,ENST00000295927.4,PTX3,True,True
6674,Pair60_3,ENST00000370397.8,95.0,20,1,20,617,636,0.38,plus,ENST00000370397.8,CHUK,True,True
6746,Pair65_3,ENST00000521367.5,100.0,15,1,15,245,231,0.61,minus,ENST00000521367.5,RELL2,True,True
6748,Pair65_3,ENST00000518025.5,100.0,15,1,15,252,238,0.61,minus,ENST00000518025.5,RELL2,True,True
6750,Pair65_3,ENST00000297164.8,100.0,15,1,15,260,246,0.61,minus,ENST00000297164.8,RELL2,True,True
6752,Pair65_3,ENST00000520674.5,100.0,15,1,15,307,293,0.61,minus,ENST00000520674.5,RELL2,True,True
6754,Pair65_3,ENST00000444782.5,100.0,15,1,15,307,293,0.61,minus,ENST00000444782.5,RELL2,True,True
