,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
2159,Pair20_3,ENST00000392953.8,100.0,15,1,15,138,124,1.5,minus,ENST00000392953.8,ARHGEF4,True,True
2161,Pair20_3,ENST00000438985.5,100.0,15,1,15,604,590,1.5,minus,ENST00000438985.5,ARHGEF4,True,True
2163,Pair20_3,ENST00000611048.4,100.0,15,1,15,583,569,1.5,minus,ENST00000611048.4,ARHGEF4,True,True
2165,Pair20_3,ENST00000428230.6,100.0,15,1,15,583,569,1.5,minus,ENST00000428230.6,ARHGEF4,True,True
2167,Pair20_3,ENST00000326016.10,100.0,15,1,15,583,569,1.5,minus,ENST00000326016.10,ARHGEF4,True,True
2169,Pair20_3,ENST00000636987.1,100.0,15,1,15,583,569,1.5,minus,ENST00000636987.1,ARHGEF4,True,True
2171,Pair20_3,ENST00000526381.2,100.0,15,1,15,3830,3816,1.5,minus,ENST00000526381.2,ARHGEF4,True,True
2173,Pair20_3,ENST00000409359.7,100.0,15,1,15,3662,3648,1.5,minus,ENST00000409359.7,ARHGEF4,True,True
2174,Pair15_3,ENST00000575011.1,100.0,15,6,20,336,350,1.5,plus,ENST00000575011.1,MYO1C,True,True
2175,Pair20_3,ENST00000575011.1,100.0,16,5,20,336,351,0.38,plus,ENST00000575011.1,MYO1C,True,True
2176,Pair15_3,ENST00000572615.1,100.0,15,6,20,96,110,1.5,plus,ENST00000572615.1,MYO1C,True,True
2177,Pair20_3,ENST00000572615.1,100.0,16,5,20,96,111,0.38,plus,ENST00000572615.1,MYO1C,True,True
2178,Pair15_3,ENST00000545534.6,100.0,15,6,20,2583,2597,1.5,plus,ENST00000545534.6,MYO1C,True,True
2179,Pair20_3,ENST00000545534.6,100.0,16,5,20,2583,2598,0.38,plus,ENST00000545534.6,MYO1C,True,True
2180,Pair15_3,ENST00000570984.7,100.0,15,6,20,2368,2382,1.5,plus,ENST00000570984.7,MYO1C,True,True
2181,Pair20_3,ENST00000570984.7,100.0,16,5,20,2368,2383,0.38,plus,ENST00000570984.7,MYO1C,True,True
2182,Pair15_3,ENST00000646049.1,100.0,15,6,20,2495,2509,1.5,plus,ENST00000646049.1,MYO1C,True,True
2183,Pair20_3,ENST00000646049.1,100.0,16,5,20,2495,2510,0.38,plus,ENST00000646049.1,MYO1C,True,True
2184,Pair15_3,ENST00000361007.7,100.0,15,6,20,2420,2434,1.5,plus,ENST00000361007.7,MYO1C,True,True
2185,Pair20_3,ENST00000361007.7,100.0,16,5,20,2420,2435,0.38,plus,ENST00000361007.7,MYO1C,True,True
2186,Pair15_3,ENST00000648651.1,100.0,15,6,20,2611,2625,1.5,plus,ENST00000648651.1,MYO1C,True,True
2187,Pair20_3,ENST00000648651.1,100.0,16,5,20,2611,2626,0.38,plus,ENST00000648651.1,MYO1C,True,True
2188,Pair15_3,ENST00000575158.5,100.0,15,6,20,2484,2498,1.5,plus,ENST00000575158.5,MYO1C,True,True
2189,Pair20_3,ENST00000575158.5,100.0,16,5,20,2484,2499,0.38,plus,ENST00000575158.5,MYO1C,True,True
2190,Pair15_3,ENST00000648446.1,100.0,15,6,20,2404,2418,1.5,plus,ENST00000648446.1,MYO1C,True,True
2191,Pair20_3,ENST00000648446.1,100.0,16,5,20,2404,2419,0.38,plus,ENST00000648446.1,MYO1C,True,True
2263,Pair43_3,ENST00000046640.9,100.0,15,6,20,829,843,1.5,plus,ENST00000046640.9,CTNS,True,True
2271,Pair43_3,ENST00000488623.6,100.0,15,6,20,744,758,1.5,plus,ENST00000488623.6,CTNS,True,True
2279,Pair43_3,ENST00000574776.6,100.0,15,6,20,592,606,1.5,plus,ENST00000574776.6,CTNS,True,True
2287,Pair43_3,ENST00000673669.1,100.0,15,6,20,698,712,1.5,plus,ENST00000673669.1,CTNS,True,True
