,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000664374.2,100.0,24,1,24,293,270,1.03e-05,minus,ENST00000664374.2,IL10,True,True
1,Pair1_5,ENST00000664374.2,100.0,20,1,20,499,480,0.002,minus,ENST00000664374.2,IL10,True,True
2,Pair1_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
3,Pair2_5,ENST00000664374.2,100.0,20,1,20,441,422,0.002,minus,ENST00000664374.2,IL10,True,True
4,Pair2_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
5,Pair3_5,ENST00000664374.2,100.0,20,1,20,466,447,0.002,minus,ENST00000664374.2,IL10,True,True
6,Pair3_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
7,Pair4_5,ENST00000664374.2,100.0,24,1,24,293,270,1.03e-05,minus,ENST00000664374.2,IL10,True,True
8,Pair5_5,ENST00000664374.2,100.0,20,1,20,440,421,0.002,minus,ENST00000664374.2,IL10,True,True
9,Pair5_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
10,Pair6_5,ENST00000664374.2,100.0,20,1,20,438,419,0.002,minus,ENST00000664374.2,IL10,True,True
11,Pair6_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
12,Pair7_5,ENST00000664374.2,100.0,24,1,24,293,270,1.03e-05,minus,ENST00000664374.2,IL10,True,True
13,Pair8_5,ENST00000664374.2,100.0,24,1,24,293,270,1.03e-05,minus,ENST00000664374.2,IL10,True,True
14,Pair9_5,ENST00000664374.2,100.0,24,1,24,293,270,1.03e-05,minus,ENST00000664374.2,IL10,True,True
15,Pair10_5,ENST00000664374.2,100.0,20,1,20,462,443,0.002,minus,ENST00000664374.2,IL10,True,True
16,Pair10_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
17,Pair11_5,ENST00000664374.2,100.0,20,1,20,429,410,0.002,minus,ENST00000664374.2,IL10,True,True
18,Pair11_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
19,Pair12_5,ENST00000664374.2,100.0,20,1,20,474,455,0.002,minus,ENST00000664374.2,IL10,True,True
20,Pair12_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
21,Pair13_5,ENST00000664374.2,100.0,20,1,20,439,420,0.002,minus,ENST00000664374.2,IL10,True,True
22,Pair13_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
23,Pair14_5,ENST00000664374.2,100.0,20,1,20,467,448,0.002,minus,ENST00000664374.2,IL10,True,True
24,Pair14_3,ENST00000664374.2,100.0,24,1,24,254,277,1.03e-05,plus,ENST00000664374.2,IL10,True,True
25,Pair15_5,ENST00000664374.2,100.0,20,1,20,499,480,0.002,minus,ENST00000664374.2,IL10,True,True
26,Pair15_3,ENST00000664374.2,100.0,25,1,25,254,278,2.94e-06,plus,ENST00000664374.2,IL10,True,True
