,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
1,Pair1_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
2,Pair2_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
3,Pair3_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
4,Pair4_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
5,Pair5_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
6,Pair6_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
7,Pair7_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
8,Pair8_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
9,Pair9_5,ENST00000267843.9,100.0,20,1,20,24,43,0.002,plus,ENST00000267843.9,FGF7,True,True
10,Pair9_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
11,Pair10_5,ENST00000267843.9,100.0,19,1,19,5,23,0.005,plus,ENST00000267843.9,FGF7,True,True
12,Pair10_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
13,Pair11_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
14,Pair12_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
15,Pair13_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
16,Pair14_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
17,Pair15_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
18,Pair16_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
19,Pair17_5,ENST00000267843.9,100.0,20,1,20,23,42,0.002,plus,ENST00000267843.9,FGF7,True,True
20,Pair17_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
21,Pair18_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
22,Pair19_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
23,Pair20_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
24,Pair21_5,ENST00000267843.9,100.0,21,1,21,24,44,0.000398,plus,ENST00000267843.9,FGF7,True,True
25,Pair21_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
26,Pair22_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
27,Pair23_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
28,Pair24_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
29,Pair25_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
30,Pair26_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
31,Pair27_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
32,Pair28_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
33,Pair29_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
34,Pair30_3,ENST00000267843.9,100.0,27,1,27,211,185,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
35,Pair31_5,ENST00000267843.9,100.0,19,1,19,23,41,0.005,plus,ENST00000267843.9,FGF7,True,True
36,Pair31_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
37,Pair32_3,ENST00000267843.9,100.0,26,1,26,211,186,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
38,Pair33_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
39,Pair34_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
40,Pair35_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
41,Pair36_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
42,Pair37_3,ENST00000267843.9,100.0,27,1,27,211,185,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
43,Pair38_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
44,Pair39_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
45,Pair40_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
46,Pair41_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
47,Pair42_5,ENST00000267843.9,100.0,20,1,20,24,43,0.002,plus,ENST00000267843.9,FGF7,True,True
48,Pair42_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
49,Pair43_3,ENST00000267843.9,100.0,26,1,26,208,183,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
50,Pair44_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
51,Pair45_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
52,Pair46_5,ENST00000267843.9,100.0,19,1,19,5,23,0.005,plus,ENST00000267843.9,FGF7,True,True
53,Pair46_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
54,Pair47_3,ENST00000267843.9,100.0,26,1,26,207,182,8.27e-07,minus,ENST00000267843.9,FGF7,True,True
55,Pair48_3,ENST00000267843.9,100.0,27,1,27,208,182,2.3e-07,minus,ENST00000267843.9,FGF7,True,True
56,Pair49_5,ENST00000267843.9,100.0,22,1,22,24,45,0.000121,plus,ENST00000267843.9,FGF7,True,True
57,Pair49_3,ENST00000267843.9,100.0,25,1,25,211,187,2.94e-06,minus,ENST00000267843.9,FGF7,True,True
58,Pair50_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
59,Pair51_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
60,Pair52_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
61,Pair53_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
62,Pair54_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
63,Pair55_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
64,Pair56_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
65,Pair57_3,ENST00000267843.9,100.0,19,1,19,231,213,0.005,minus,ENST00000267843.9,FGF7,True,True
66,Pair58_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
67,Pair59_3,ENST00000267843.9,100.0,19,1,19,231,213,0.005,minus,ENST00000267843.9,FGF7,True,True
68,Pair60_3,ENST00000267843.9,100.0,21,1,21,237,217,0.000398,minus,ENST00000267843.9,FGF7,True,True
69,Pair61_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
70,Pair62_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
71,Pair63_3,ENST00000267843.9,100.0,21,1,21,237,217,0.000398,minus,ENST00000267843.9,FGF7,True,True
72,Pair64_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
73,Pair65_3,ENST00000267843.9,100.0,19,1,19,233,215,0.005,minus,ENST00000267843.9,FGF7,True,True
74,Pair66_3,ENST00000267843.9,100.0,19,1,19,234,216,0.005,minus,ENST00000267843.9,FGF7,True,True
75,Pair67_3,ENST00000267843.9,100.0,19,1,19,235,217,0.005,minus,ENST00000267843.9,FGF7,True,True
76,Pair68_5,ENST00000267843.9,100.0,20,1,20,24,43,0.002,plus,ENST00000267843.9,FGF7,True,True
77,Pair68_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
78,Pair69_3,ENST00000267843.9,100.0,19,1,19,231,213,0.005,minus,ENST00000267843.9,FGF7,True,True
79,Pair70_3,ENST00000267843.9,100.0,19,1,19,231,213,0.005,minus,ENST00000267843.9,FGF7,True,True
80,Pair71_3,ENST00000267843.9,100.0,19,1,19,231,213,0.005,minus,ENST00000267843.9,FGF7,True,True
81,Pair72_3,ENST00000267843.9,100.0,19,1,19,231,213,0.005,minus,ENST00000267843.9,FGF7,True,True
82,Pair73_3,ENST00000267843.9,100.0,19,1,19,233,215,0.005,minus,ENST00000267843.9,FGF7,True,True
